Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	15_R1	15_R2	15_R3	Entity	Symbol	is_outlier	outlier_info
gene-PA2589	12	13	24	4	10	119	1	2	19	0	0	203	host	gene-PA2589	False	
gene-PA4119	14	15	14	17	21	96	9	4	10	6	3	175	host	aph	False	
gene-PA2246	30	21	8	9	21	101	1	2	8	0	2	72	host	bkdR	False	
gene-PA1033	22	20	28	13	11	125	3	4	15	3	1	122	host	gene-PA1033	False	
gene-PA2214	3	2	21	3	1	222	0	2	23	0	0	306	host	gene-PA2214	False	
gene-PA3210	25	18	37	14	25	323	7	3	33	2	8	253	host	trkH	False	
gene-PA4724	66	42	25	179	40	97	8	5	15	2	2	177	host	gene-PA4724	False	
gene-PA1496	17	24	13	9	13	121	0	1	15	3	4	110	host	gene-PA1496	False	
gene-PA3440	56	46	36	33	40	111	8	6	21	3	3	95	host	gene-PA3440	False	
gene-PA2568	110	65	31	43	74	73	8	15	10	4	5	46	host	gene-PA2568	False	
gene-PA3091	244	166	38	68	83	176	16	16	16	11	8	176	host	gene-PA3091	False	
gene-PA0925	24	14	18	26	28	106	3	8	22	11	4	121	host	gene-PA0925	False	
gene-PA5205	105	81	71	17	35	191	1	11	45	8	2	186	host	gene-PA5205	False	
gene-PA1439	35	31	16	22	26	48	8	6	8	2	6	53	host	gene-PA1439	False	
gene-PA1503	7	4	8	4	3	47	1	0	5	0	0	61	host	gene-PA1503	False	
gene-PA1695	45	13	11	14	8	65	6	6	6	1	4	81	host	pscP	False	
gene-PA4506	37	34	31	14	19	130	2	6	23	1	2	246	host	gene-PA4506	False	
gene-PA0550	26	36	29	31	67	206	7	7	27	10	2	215	host	gene-PA0550	False	
gene-PA4637	22	128	24	56	92	65	27	44	10	28	9	40	host	gene-PA4637	False	
gene-PA2937	4	8	14	1	2	39	1	2	10	0	0	54	host	gene-PA2937	False	
gene-PA1816	154	243	72	135	230	119	28	48	11	22	19	75	host	dnaQ	False	
gene-PA4733	202	189	77	102	120	310	15	9	25	11	5	266	host	acsB	False	
gene-PA0027	249	263	60	92	195	194	18	11	18	13	8	476	host	gene-PA0027	False	
gene-PA4819	0	3	11	1	5	195	1	1	15	0	0	398	host	gene-PA4819	False	
gene-PA1563	51	48	20	33	37	144	9	8	12	3	4	209	host	gene-PA1563	False	
gene-PA0532	21	24	29	14	23	220	1	4	19	1	3	118	host	gene-PA0532	False	
gene-PA3666	94	84	60	142	195	221	34	21	16	11	10	264	host	dapD	False	
gene-PA3294	45	50	53	23	28	324	9	8	37	6	1	407	host	gene-PA3294	False	
gene-PA3088	54	84	36	51	64	153	17	18	19	5	4	221	host	gene-PA3088	False	
gene-PA1664	2	3	25	2	4	40	0	1	6	4	1	22	host	gene-PA1664	False	
gene-PA3738	25	26	35	18	28	183	2	3	26	3	1	147	host	xerD	False	
gene-PA2029	23	39	17	15	14	75	6	2	14	2	2	68	host	gene-PA2029	False	
gene-PA3760	30	29	37	7	21	188	7	6	32	2	2	341	host	gene-PA3760	False	
gene-PA1501	46	39	21	18	18	161	2	3	15	4	5	283	host	gene-PA1501	False	
gene-PA4008	21	8	20	13	15	155	2	1	18	0	5	198	host	gene-PA4008	False	
gene-PA5103	60	40	50	21	28	199	2	7	31	1	3	265	host	gene-PA5103	False	
gene-PA2972	35	44	37	75	105	172	15	13	13	4	6	75	host	gene-PA2972	False	
gene-PA5432	1	3	18	2	8	116	0	4	7	1	1	237	host	gene-PA5432	False	
gene-PA3512	6	7	22	5	6	135	2	1	15	0	1	221	host	gene-PA3512	False	
gene-PA5095	25	37	37	25	25	207	6	6	26	0	1	241	host	gene-PA5095	False	
gene-PA0035	52	43	40	23	33	149	1	4	16	6	2	177	host	trpA	False	
gene-PA2709	241	172	99	109	102	217	21	26	20	9	3	214	host	cysK	False	
gene-PA0803	30	34	19	22	42	57	3	9	7	3	4	148	host	gene-PA0803	False	
gene-PA4870	5	8	25	6	12	71	5	2	23	0	0	82	host	gene-PA4870	False	
gene-PA2594	16	25	21	19	19	109	2	5	19	4	2	160	host	gene-PA2594	False	
gene-PA0495	42	42	23	18	29	168	6	5	19	4	2	136	host	gene-PA0495	False	
gene-PA1915	83	79	39	30	40	198	11	7	20	7	7	298	host	gene-PA1915	False	
gene-PPLUZ19_gp40	0	0	4	97	195	60908	14	69	13429	18846	12573	141670	phage	gp40	False	
gene-PA3417	25	9	17	4	9	74	3	1	5	2	1	195	host	gene-PA3417	False	
gene-PA2962	88	74	20	73	114	96	7	20	6	5	7	100	host	tmk	False	
gene-PA5216	149	173	52	28	39	209	4	5	44	8	3	313	host	gene-PA5216	False	
gene-PA1281	5	6	12	4	8	43	0	2	3	1	0	72	host	cobV	False	
gene-PA2057	14	16	34	5	6	216	4	0	22	1	1	289	host	gene-PA2057	False	
gene-PPLUZ19_gp44	0	0	0	48	58	11919	9	39	2170	1816	1163	21991	phage	gp44	False	
gene-PA2279	8	4	12	4	10	92	2	3	9	2	2	230	host	arsC	False	
gene-PA4180	122	93	161	58	42	342	14	6	38	3	10	378	host	gene-PA4180	False	
gene-PA2433	14	9	6	13	13	69	4	1	6	0	2	98	host	gene-PA2433	False	
gene-PA3526	104	86	41	81	97	104	15	23	13	11	6	114	host	gene-PA3526	False	
gene-PA1143	11	6	5	3	2	60	1	1	2	1	0	65	host	gene-PA1143	False	
gene-PA5496	84	130	108	60	114	186	4	13	18	11	1	78	host	nrdJb	False	
gene-PA5428	56	34	64	25	27	160	8	9	20	3	2	479	host	gene-PA5428	False	
gene-PA2908	32	20	8	17	24	59	5	6	11	0	2	127	host	cbiD	False	
gene-PA0435	20	14	21	16	37	187	3	4	14	2	1	389	host	gene-PA0435	False	
gene-PA1259	14	6	21	3	4	122	0	2	19	2	1	173	host	gene-PA1259	False	
gene-PA3303	27	19	27	12	17	162	5	2	27	2	0	196	host	gene-PA3303	False	
gene-PPLUZ19_gp48	0	0	0	150	232	20327	32	118	5462	1100	717	31034	phage	gp48	False	
gene-PA1831	81	138	39	88	94	146	18	23	24	11	8	155	host	gene-PA1831	False	
gene-PA1023	51	58	39	33	34	170	6	3	16	1	0	291	host	gene-PA1023	False	
gene-PA3303a	9	11	3	9	7	61	0	1	5	0	0	67	host	gene-PA3303a	False	
gene-PA3368	12	16	23	13	26	91	3	5	12	2	0	103	host	gene-PA3368	False	
gene-PA1542	8	12	23	6	25	145	6	2	16	1	1	78	host	gene-PA1542	False	
gene-PA0516	12	7	32	4	5	237	3	1	19	1	1	478	host	nirF	False	
gene-PA0955	211	183	66	206	289	230	40	45	16	29	18	158	host	gene-PA0955	False	
gene-PA1947	74	52	22	69	89	96	12	9	13	2	4	171	host	rbsA	False	
gene-PA3110	95	118	58	170	263	124	47	40	10	20	12	76	host	gene-PA3110	False	
gene-PA0542	182	101	132	51	88	185	14	16	18	6	5	217	host	gene-PA0542	False	
gene-PA5193	121	140	50	71	127	216	21	23	22	21	10	342	host	yrfI	False	
gene-PA2231	45	60	52	47	75	254	11	7	33	4	7	233	host	pslA	False	
gene-PA1870	3	13	6	2	9	71	1	2	8	4	0	93	host	gene-PA1870	False	
gene-PA4977	45	48	32	37	88	181	4	5	32	1	3	260	host	aruI	False	
gene-PA2659	75	86	21	57	68	81	14	25	7	5	7	50	host	gene-PA2659	False	
gene-PA0358	17	23	24	32	51	140	10	15	20	4	2	137	host	gene-PA0358	False	
gene-PA2692	45	21	9	25	24	79	9	5	6	7	0	198	host	gene-PA2692	False	
gene-PA2922	3	1	22	0	3	167	0	0	16	0	1	214	host	gene-PA2922	False	
gene-PA5149.1	105	156	20	29	56	197	6	9	41	5	6	75	host	gene-PA5149.1	False	
gene-PA3314	19	17	12	8	15	38	6	5	5	5	3	91	host	gene-PA3314	False	
gene-PA0710	3	5	134	3	0	70	0	0	38	0	0	143	host	gloA2	False	
gene-PA4439	163	140	66	115	137	224	25	26	31	13	12	231	host	trpS	False	
gene-PA0332	29	42	6	27	37	52	7	10	3	4	1	39	host	gene-PA0332	False	
gene-PA4721	117	144	44	54	71	163	7	11	14	6	6	215	host	gene-PA4721	False	
gene-PA2102	29	44	37	14	19	100	2	1	15	1	1	34	host	gene-PA2102	False	
gene-PA2936	1	3	6	1	5	70	0	0	7	0	2	73	host	gene-PA2936	False	
gene-PA5408	64	21	8	17	22	44	4	4	3	1	0	91	host	gene-PA5408	False	
gene-PA1373	19	8	23	15	16	99	3	8	11	4	1	155	host	fabF2	False	
gene-PA3109	61	71	20	66	117	82	20	22	12	11	10	95	host	gene-PA3109	False	
gene-PA0499	37	27	40	15	20	245	5	4	26	4	3	217	host	gene-PA0499	False	
gene-PA2932	11	5	24	1	4	120	2	2	20	1	0	238	host	morB	False	
gene-PA2109	48	2	4	53	15	39	6	5	8	1	2	117	host	gene-PA2109	False	
gene-PA1364	81	51	14	5	6	87	1	4	19	1	1	176	host	gene-PA1364	False	
gene-PA0163	24	17	33	6	10	213	3	2	16	3	1	400	host	gene-PA0163	False	
gene-PA2021	5	8	2	4	8	27	4	2	1	0	0	65	host	gene-PA2021	False	
gene-PA3208	40	30	7	29	32	35	9	7	7	7	0	49	host	gene-PA3208	False	
gene-PA2258	8	11	13	4	11	129	0	4	9	0	0	170	host	ptxR	False	
gene-PA3581	24	31	20	44	74	160	5	5	18	3	0	307	host	glpF	False	
gene-PA4926	29	19	19	13	23	134	1	4	26	1	2	160	host	gene-PA4926	False	
