Geneid	0_R1	0_R2	5_R1	5_R2	10_R1	10_R2	15_R1	15_R2	Entity	Symbol	is_outlier	outlier_info
gene-PA2589	12	13	4	10	1	2	0	0	host	gene-PA2589	False	
gene-PA4119	14	15	17	21	9	4	6	3	host	aph	False	
gene-PA2246	30	21	9	21	1	2	0	2	host	bkdR	False	
gene-PA1033	22	20	13	11	3	4	3	1	host	gene-PA1033	False	
gene-PA2214	3	2	3	1	0	2	0	0	host	gene-PA2214	False	
gene-PA3210	25	18	14	25	7	3	2	8	host	trkH	False	
gene-PA4724	66	42	179	40	8	5	2	2	host	gene-PA4724	False	
gene-PA5368	46	37	42	61	23	27	24	9	host	pstC	False	
gene-PA1496	17	24	9	13	0	1	3	4	host	gene-PA1496	False	
gene-PA3978	53	53	36	59	15	14	8	10	host	gene-PA3978	False	
gene-PA3440	56	46	33	40	8	6	3	3	host	gene-PA3440	False	
gene-PA2568	110	65	43	74	8	15	4	5	host	gene-PA2568	False	
gene-PA3091	244	166	68	83	16	16	11	8	host	gene-PA3091	False	
gene-PA0504	40	35	40	67	13	11	3	1	host	bioD	False	
gene-PA4546	65	52	44	67	14	9	6	6	host	pilS	False	
gene-PA0925	24	14	26	28	3	8	11	4	host	gene-PA0925	False	
gene-PA5205	105	81	17	35	1	11	8	2	host	gene-PA5205	False	
gene-PA1439	35	31	22	26	8	6	2	6	host	gene-PA1439	False	
gene-PA1503	7	4	4	3	1	0	0	0	host	gene-PA1503	False	
gene-PA0730	75	67	36	60	9	6	9	2	host	gene-PA0730	False	
gene-PA1695	45	13	14	8	6	6	1	4	host	pscP	False	
gene-PA4506	37	34	14	19	2	6	1	2	host	gene-PA4506	False	
gene-PA0550	26	36	31	67	7	7	10	2	host	gene-PA0550	False	
gene-PA4637	22	128	56	92	27	44	28	9	host	gene-PA4637	False	
gene-PA2937	4	8	1	2	1	2	0	0	host	gene-PA2937	False	
gene-PA1816	154	243	135	230	28	48	22	19	host	dnaQ	False	
gene-PA4733	202	189	102	120	15	9	11	5	host	acsB	False	
gene-PA0027	249	263	92	195	18	11	13	8	host	gene-PA0027	False	
gene-PA4819	0	3	1	5	1	1	0	0	host	gene-PA4819	False	
gene-PA1563	51	48	33	37	9	8	3	4	host	gene-PA1563	False	
gene-PA0532	21	24	14	23	1	4	1	3	host	gene-PA0532	False	
gene-PA3666	94	84	142	195	34	21	11	10	host	dapD	False	
gene-PA3294	45	50	23	28	9	8	6	1	host	gene-PA3294	False	
gene-PA5347	96	118	60	114	9	13	4	17	host	gene-PA5347	False	
gene-PA3088	54	84	51	64	17	18	5	4	host	gene-PA3088	False	
gene-PA1664	2	3	2	4	0	1	4	1	host	gene-PA1664	False	
gene-PA3738	25	26	18	28	2	3	3	1	host	xerD	False	
gene-PA2029	23	39	15	14	6	2	2	2	host	gene-PA2029	False	
gene-PA4085	6	10	3	7	0	1	0	1	host	cupB2	False	
gene-PA3760	30	29	7	21	7	6	2	2	host	gene-PA3760	False	
gene-PA1501	46	39	18	18	2	3	4	5	host	gene-PA1501	False	
gene-PA4300	27	14	16	32	8	5	7	4	host	tadC	False	
gene-PA4008	21	8	13	15	2	1	0	5	host	gene-PA4008	False	
gene-PA4214	8	90	8	206	2	27	9	2	host	phzE1	False	
gene-PA5103	60	40	21	28	2	7	1	3	host	gene-PA5103	False	
gene-PA2972	35	44	75	105	15	13	4	6	host	gene-PA2972	False	
gene-PA5432	1	3	2	8	0	4	1	1	host	gene-PA5432	False	
gene-PA3512	6	7	5	6	2	1	0	1	host	gene-PA3512	False	
gene-PA5095	25	37	25	25	6	6	0	1	host	gene-PA5095	False	
gene-PA0035	52	43	23	33	1	4	6	2	host	trpA	False	
gene-PA2709	241	172	109	102	21	26	9	3	host	cysK	False	
gene-PA1304	83	74	62	92	9	18	11	8	host	gene-PA1304	False	
gene-PA0803	30	34	22	42	3	9	3	4	host	gene-PA0803	False	
gene-PA4870	5	8	6	12	5	2	0	0	host	gene-PA4870	False	
gene-PA2594	16	25	19	19	2	5	4	2	host	gene-PA2594	False	
gene-PA0495	42	42	18	29	6	5	4	2	host	gene-PA0495	False	
gene-PA1915	83	79	30	40	11	7	7	7	host	gene-PA1915	False	
gene-PPLUZ19_gp40	0	0	97	195	14	69	18846	12573	phage	gp40	False	
gene-PA5320	163	170	101	164	29	14	21	11	host	coaC	False	
gene-PA4147	93	34	21	38	4	10	3	3	host	acoR	False	
gene-PA3417	25	9	4	9	3	1	2	1	host	gene-PA3417	False	
gene-PA2962	88	74	73	114	7	20	5	7	host	tmk	False	
gene-PA5216	149	173	28	39	4	5	8	3	host	gene-PA5216	False	
gene-PA1281	5	6	4	8	0	2	1	0	host	cobV	False	
gene-PA2037	48	67	28	56	5	12	5	2	host	gene-PA2037	False	
gene-PA2057	14	16	5	6	4	0	1	1	host	gene-PA2057	False	
gene-PPLUZ19_gp44	0	0	48	58	9	39	1816	1163	phage	gp44	False	
gene-PA2279	8	4	4	10	2	3	2	2	host	arsC	False	
gene-PA4180	122	93	58	42	14	6	3	10	host	gene-PA4180	False	
gene-PA2433	14	9	13	13	4	1	0	2	host	gene-PA2433	False	
gene-PA4222	213	173	124	180	52	55	7	7	host	gene-PA4222	False	
gene-PA3526	104	86	81	97	15	23	11	6	host	gene-PA3526	False	
gene-PA1143	11	6	3	2	1	1	1	0	host	gene-PA1143	False	
gene-PA5496	84	130	60	114	4	13	11	1	host	nrdJb	False	
gene-PA5428	56	34	25	27	8	9	3	2	host	gene-PA5428	False	
gene-PA2908	32	20	17	24	5	6	0	2	host	cbiD	False	
gene-PA0435	20	14	16	37	3	4	2	1	host	gene-PA0435	False	
gene-PA1259	14	6	3	4	0	2	2	1	host	gene-PA1259	False	
gene-PA3303	27	19	12	17	5	2	2	0	host	gene-PA3303	False	
gene-PA5354	6	6	1	4	0	0	0	0	host	glcE	False	
gene-PPLUZ19_gp48	0	0	150	232	32	118	1100	717	phage	gp48	False	
gene-PA1831	81	138	88	94	18	23	11	8	host	gene-PA1831	False	
gene-PA1023	51	58	33	34	6	3	1	0	host	gene-PA1023	False	
gene-PA3303a	9	11	9	7	0	1	0	0	host	gene-PA3303a	False	
gene-PA3368	12	16	13	26	3	5	2	0	host	gene-PA3368	False	
gene-PA1542	8	12	6	25	6	2	1	1	host	gene-PA1542	False	
gene-PA0516	12	7	4	5	3	1	1	1	host	nirF	False	
gene-PA0955	211	183	206	289	40	45	29	18	host	gene-PA0955	False	
gene-PA1947	74	52	69	89	12	9	2	4	host	rbsA	False	
gene-PA3110	95	118	170	263	47	40	20	12	host	gene-PA3110	False	
gene-PA0542	182	101	51	88	14	16	6	5	host	gene-PA0542	False	
gene-PA5193	121	140	71	127	21	23	21	10	host	yrfI	False	
gene-PA2231	45	60	47	75	11	7	4	7	host	pslA	False	
gene-PA1870	3	13	2	9	1	2	4	0	host	gene-PA1870	False	
gene-PA4977	45	48	37	88	4	5	1	3	host	aruI	False	
gene-PA2659	75	86	57	68	14	25	5	7	host	gene-PA2659	False	
gene-PA0358	17	23	32	51	10	15	4	2	host	gene-PA0358	False	
gene-PA2692	45	21	25	24	9	5	7	0	host	gene-PA2692	False	
gene-PA2922	3	1	0	3	0	0	0	1	host	gene-PA2922	False	
gene-PA5149.1	105	156	29	56	6	9	5	6	host	gene-PA5149.1	False	
gene-PA3314	19	17	8	15	6	5	5	3	host	gene-PA3314	False	
gene-PA0710	3	5	3	0	0	0	0	0	host	gloA2	False	
gene-PA4439	163	140	115	137	25	26	13	12	host	trpS	False	
gene-PA0332	29	42	27	37	7	10	4	1	host	gene-PA0332	False	
gene-PA4721	117	144	54	71	7	11	6	6	host	gene-PA4721	False	
gene-PA2102	29	44	14	19	2	1	1	1	host	gene-PA2102	False	
gene-PA2936	1	3	1	5	0	0	0	2	host	gene-PA2936	False	
gene-PA5408	64	21	17	22	4	4	1	0	host	gene-PA5408	False	
gene-PA1373	19	8	15	16	3	8	4	1	host	fabF2	False	
gene-PA3109	61	71	66	117	20	22	11	10	host	gene-PA3109	False	
gene-PA0499	37	27	15	20	5	4	4	3	host	gene-PA0499	False	
gene-PA1022	68	69	49	53	9	7	9	4	host	gene-PA1022	False	
gene-PA2932	11	5	1	4	2	2	1	0	host	morB	False	
gene-PA2109	48	2	53	15	6	5	1	2	host	gene-PA2109	False	
gene-PA1364	81	51	5	6	1	4	1	1	host	gene-PA1364	False	
gene-PA0163	24	17	6	10	3	2	3	1	host	gene-PA0163	False	
gene-PA2021	5	8	4	8	4	2	0	0	host	gene-PA2021	False	
gene-PA3208	40	30	29	32	9	7	7	0	host	gene-PA3208	False	
gene-PA2258	8	11	4	11	0	4	0	0	host	ptxR	False	
gene-PA3581	24	31	44	74	5	5	3	0	host	glpF	False	
gene-PA4551	50	57	62	82	10	12	5	2	host	pilV	False	
gene-PA4926	29	19	13	23	1	4	1	2	host	gene-PA4926	False	
gene-PA1885	29	19	3	6	2	3	0	0	host	gene-PA1885	False	
gene-PA0077	153	145	124	222	34	43	34	22	host	icmF1	False	
gene-PA2060	4	3	3	1	0	2	0	0	host	gene-PA2060	False	
gene-PA2916	2	1	1	0	1	0	0	1	host	gene-PA2916	False	
gene-PA1009	72	56	52	53	8	17	3	5	host	gene-PA1009	False	
gene-PA3833	32	34	16	27	5	5	2	2	host	gene-PA3833	False	
gene-PA0195.1	8	12	2	7	2	0	1	1	host	pntAB	False	
gene-PA0155	17	4	8	4	6	3	4	1	host	pcaR	False	
gene-PA4459	120	138	88	146	35	46	22	19	host	gene-PA4459	False	
gene-PA0580	124	137	100	174	37	51	21	12	host	gcp	False	
gene-PA3915	2	4	3	6	3	1	1	0	host	moaB1	False	
gene-PA0831	64	44	15	25	8	12	6	6	host	oruR	False	
gene-PA2083	13	12	8	9	1	0	1	1	host	gene-PA2083	False	
gene-PA5052	20	28	24	30	6	7	5	4	host	gene-PA5052	False	
gene-PA0361	74	69	62	92	14	16	11	5	host	gene-PA0361	False	
gene-PA5439	120	74	29	37	13	12	4	7	host	gene-PA5439	False	
gene-PA3424	12	16	14	19	5	5	3	2	host	gene-PA3424	False	
gene-PA2905	1	2	1	8	1	1	0	0	host	cobH	False	
gene-PA3302	136	97	93	117	33	23	8	11	host	gene-PA3302	False	
gene-PA3602	35	70	27	42	7	8	5	2	host	gene-PA3602	False	
gene-PA0207	16	12	4	7	4	0	1	1	host	gene-PA0207	False	
gene-PA2257	2	0	2	2	0	0	0	0	host	pvcD	False	
gene-PA0728	39	46	16	29	3	4	3	4	host	gene-PA0728	False	
gene-PA2882	9	11	9	13	2	7	2	2	host	gene-PA2882	False	
gene-PA3446	5	3	1	4	1	0	2	2	host	gene-PA3446	False	
gene-PA0511	6	5	1	2	1	0	0	0	host	nirJ	False	
gene-PA0940	38	21	37	24	12	17	1	3	host	gene-PA0940	False	
gene-PA4807	88	56	41	45	6	9	6	6	host	selB	False	
gene-PA4840	31	43	22	37	11	18	20	7	host	gene-PA4840	False	
gene-PA4994	42	32	15	33	6	4	1	2	host	gene-PA4994	False	
gene-PA0326	4	6	3	6	0	2	1	1	host	gene-PA0326	False	
gene-PA4524	86	72	86	94	22	22	10	13	host	nadC	False	
gene-PA3839	54	36	55	49	10	7	4	6	host	gene-PA3839	False	
gene-PA3336	10	19	2	27	1	8	3	1	host	gene-PA3336	False	
gene-PA1116	51	71	61	86	22	27	12	16	host	gene-PA1116	False	
gene-PA2115	37	23	18	27	9	8	3	2	host	gene-PA2115	False	
gene-PA0220	43	28	9	9	2	10	2	3	host	gene-PA0220	False	
gene-PA4350	15	6	5	5	0	2	0	1	host	gene-PA4350	False	
gene-PA4552	82	93	169	154	21	12	7	10	host	pilW	False	
gene-PA2565	14	15	12	17	2	3	2	1	host	gene-PA2565	False	
gene-PA0312	222	148	56	86	20	8	3	11	host	gene-PA0312	False	
gene-PA0824	21	27	9	14	4	7	9	4	host	gene-PA0824	False	
gene-PA0348	17	17	22	21	3	5	4	2	host	gene-PA0348	False	
gene-PA0221	15	7	7	13	2	2	0	1	host	gene-PA0221	False	
gene-PA2064	8	6	9	12	0	2	0	1	host	pcoB	False	
gene-PA0274	9	5	6	5	1	0	0	2	host	gene-PA0274	False	
gene-PA1325	5	4	7	11	2	5	1	0	host	gene-PA1325	False	
gene-PA0076	26	40	20	42	4	9	3	6	host	gene-PA0076	False	
gene-PA0859	16	19	18	54	5	8	3	2	host	gene-PA0859	False	
gene-PA1231	3	7	0	6	1	2	0	0	host	gene-PA1231	False	
gene-PA3597	16	21	7	18	4	4	1	0	host	gene-PA3597	False	
gene-PA0846	34	33	33	53	8	6	4	1	host	gene-PA0846	False	
gene-PA4049	55	44	45	70	15	15	8	5	host	gene-PA4049	False	
gene-PA1640	142	148	59	107	25	23	6	5	host	gene-PA1640	False	
gene-PA3456	19	21	16	26	3	3	3	1	host	gene-PA3456	False	
gene-PA2229	36	13	15	14	3	2	1	2	host	gene-PA2229	False	
gene-PA0305	53	50	59	67	11	14	3	6	host	gene-PA0305	False	
gene-PA3223	5	6	23	30	1	3	2	1	host	azoR3	False	
gene-PA2028	6	15	8	11	2	2	3	0	host	gene-PA2028	False	
gene-PA2845	8	2	3	1	0	0	0	0	host	gene-PA2845	False	
gene-PA1473	7	14	13	8	0	1	1	1	host	gene-PA1473	False	
gene-PA0142	12	17	20	28	6	4	3	3	host	gene-PA0142	False	
gene-PA3668	61	41	22	36	6	5	5	0	host	gene-PA3668	False	
gene-PA5085	69	54	24	29	6	8	2	2	host	gene-PA5085	False	
gene-PA1275	3	6	4	5	1	0	0	0	host	cobD	False	
gene-PA1303	42	48	58	116	5	6	2	1	host	gene-PA1303	False	
gene-PA4445	63	81	38	61	11	17	10	4	host	gene-PA4445	False	
gene-PA0907	27	31	25	22	7	4	3	4	host	gene-PA0907	False	
gene-PA2096	16	14	8	7	1	4	1	2	host	gene-PA2096	False	
gene-PA2656	75	93	77	123	16	21	8	7	host	gene-PA2656	False	
gene-PA3555	2	2	1	0	0	0	0	0	host	arnD	False	
gene-PA0935	352	219	146	199	37	36	25	16	host	gene-PA0935	False	
gene-PA2628	25	33	14	35	1	10	7	1	host	gene-PA2628	False	
gene-PA1296	68	59	43	61	12	12	8	6	host	gene-PA1296	False	
gene-PA1115	63	71	44	46	2	11	1	4	host	gene-PA1115	False	
gene-PA2051	2	2	0	2	0	0	2	1	host	gene-PA2051	False	
gene-PA2885	76	47	14	20	5	5	2	2	host	atuR	False	
gene-PA0109	34	27	12	15	4	4	1	2	host	gene-PA0109	False	
gene-PA3674	40	37	21	31	4	6	2	1	host	gene-PA3674	False	
gene-PA3131	159	143	43	51	7	13	7	5	host	gene-PA3131	False	
gene-PA1868	18	12	10	46	3	2	2	3	host	xqhA	False	
gene-PA3918	59	42	17	36	12	7	10	3	host	moaC	False	
gene-PA5234	49	29	25	34	5	11	0	1	host	gene-PA5234	False	
gene-PA4770	110	68	46	54	9	8	6	5	host	lldP	False	
gene-PA1979	4	6	1	2	2	1	1	0	host	eraS	False	
gene-PA5382	11	8	2	10	2	1	0	3	host	gene-PA5382	False	
gene-PA1986	23	19	19	23	3	1	1	3	host	pqqB	False	
gene-PA0507	40	29	23	25	4	3	2	3	host	gene-PA0507	False	
gene-PA2513	3	1	5	3	1	0	0	0	host	antB	False	
gene-PA0235	9	11	6	3	0	2	1	0	host	pcaK	False	
gene-PA3659	81	56	62	57	7	17	4	9	host	gene-PA3659	False	
gene-PA3767	276	241	49	60	5	10	2	0	host	gene-PA3767	False	
gene-PA5146	167	138	114	170	38	39	31	12	host	gene-PA5146	False	
gene-PA3381	2	0	1	1	2	1	0	0	host	gene-PA3381	False	
gene-PA0819	10	5	4	8	1	2	2	2	host	gene-PA0819	False	
gene-PA0524	16	16	5	11	6	1	1	2	host	norB	False	
gene-PA4961	284	284	124	184	30	51	27	18	host	gene-PA4961	False	
gene-PA2752	16	8	5	11	1	1	0	0	host	gene-PA2752	False	
gene-PA0775	6	16	18	26	6	4	4	3	host	gene-PA0775	False	
gene-PA0243	37	40	16	34	8	5	3	2	host	gene-PA0243	False	
gene-PA2806	42	35	22	48	11	8	8	1	host	gene-PA2806	False	
gene-PA4777	25	12	8	15	2	3	0	1	host	pmrB	False	
gene-PA1784	5	11	5	10	2	1	2	5	host	gene-PA1784	False	
gene-PA1228	4	8	5	6	1	0	0	0	host	gene-PA1228	False	
gene-PA0276	14	8	5	7	1	6	4	1	host	gene-PA0276	False	
gene-PA0957	35	43	19	50	5	4	6	2	host	gene-PA0957	False	
gene-PA2879	31	20	11	12	0	2	2	2	host	gene-PA2879	False	
gene-PA1125	67	46	30	47	8	10	3	1	host	gene-PA1125	False	
gene-PA1875	51	49	28	45	6	20	8	6	host	gene-PA1875	False	
gene-PA1360	34	25	29	43	13	9	5	6	host	gene-PA1360	False	
gene-PA3197	112	87	62	68	9	16	4	1	host	gene-PA3197	False	
gene-PA2875	109	89	35	44	8	6	4	5	host	gene-PA2875	False	
gene-PA2434	43	22	25	35	4	3	0	3	host	gene-PA2434	False	
gene-PA1494	20	13	29	27	8	8	2	4	host	gene-PA1494	False	
gene-PA0308	101	88	47	67	9	12	4	2	host	gene-PA0308	False	
gene-PA1246	128	165	73	123	9	11	6	1	host	aprD	False	
gene-PA0205	23	17	7	9	1	5	0	2	host	gene-PA0205	False	
gene-PA4125	5	2	5	6	1	1	0	0	host	hpcD	False	
gene-PA4175	143	144	132	252	24	47	16	12	host	piv	False	
gene-PA3052	37	34	26	40	2	3	4	2	host	gene-PA3052	False	
gene-PA2117	136	43	56	44	20	19	11	9	host	gene-PA2117	False	
gene-PA1305	36	36	52	67	9	11	5	4	host	gene-PA1305	False	
gene-PA0282	8	10	7	6	0	2	5	1	host	cysT	False	
gene-PA3479	17	125	8	89	3	26	24	2	host	rhlA	False	
gene-PA2146	0	1	1	1	0	0	0	0	host	gene-PA2146	False	
gene-PA4166	12	5	5	6	3	1	0	2	host	gene-PA4166	False	
gene-PA0434	43	33	34	43	3	4	1	1	host	gene-PA0434	False	
gene-PA4991	88	57	94	87	25	18	5	11	host	gene-PA4991	False	
gene-PA4073	23	18	16	17	4	2	0	2	host	gene-PA4073	False	
gene-PA1332	22	23	12	26	3	4	2	0	host	gene-PA1332	False	
gene-PA4004	153	207	181	276	29	38	17	8	host	gene-PA4004	False	
gene-PA4345	37	16	16	24	6	6	5	2	host	gene-PA4345	False	
gene-PA1129	10	14	5	9	0	1	0	0	host	gene-PA1129	False	
gene-PA4497	121	91	138	136	10	16	7	5	host	gene-PA4497	False	
gene-PA0105	118	80	85	100	16	20	5	1	host	coxB	False	
gene-PA1147	12	13	14	15	3	2	3	1	host	gene-PA1147	False	
gene-PA5499	73	49	26	44	11	8	5	9	host	np20	False	
gene-PA0211	9	4	11	46	2	2	1	1	host	mdcD	False	
gene-PA5497	145	311	105	195	16	31	16	16	host	nrdJa	False	
gene-PA2219	10	10	6	9	1	4	1	1	host	opdE	False	
gene-PA1016	32	28	5	10	2	4	4	2	host	gene-PA1016	False	
gene-PA1368	32	47	14	21	4	9	5	3	host	gene-PA1368	False	
gene-PA1950	219	139	68	93	17	17	12	10	host	rbsK	False	
gene-PA2687	186	166	21	47	9	8	6	2	host	pfeS	False	
gene-PA2234	32	42	64	82	8	14	9	4	host	pslD	False	
gene-PA4999	184	238	171	281	40	49	30	23	host	waaL	False	
gene-PA2821	96	96	61	98	14	16	6	2	host	gene-PA2821	False	
gene-PA0021	7	14	5	5	0	0	0	2	host	gene-PA0021	False	
gene-PA2771	73	71	45	63	19	14	29	7	host	gene-PA2771	False	
gene-PA2698	26	11	19	25	5	2	0	2	host	gene-PA2698	False	
gene-PA2524	105	66	38	52	9	16	6	2	host	gene-PA2524	False	
gene-PA0124	17	22	5	13	3	3	2	3	host	gene-PA0124	False	
gene-PA2537	27	17	33	48	19	22	10	4	host	gene-PA2537	False	
gene-PA5097	26	7	18	9	2	3	2	3	host	gene-PA5097	False	
gene-PA1230	1	4	1	5	0	1	1	0	host	gene-PA1230	False	
gene-PA1126	65	72	33	47	11	18	4	2	host	gene-PA1126	False	
gene-PA2577	17	16	7	22	1	5	1	2	host	gene-PA2577	False	
gene-PA1461	258	231	210	294	17	25	10	14	host	motD	False	
