Geneid	5_R1	5_R2	15_R1	15_R2	35_R1	35_R2	Entity	Symbol	is_outlier	outlier_info
gene-PA1436	15	12	2	15	0	11	host	gene-PA1436	False	
gene-PA0115	16	8	6	6	0	6	host	gene-PA0115	False	
gene-PA0708	4	9	1	2	2	5	host	gene-PA0708	False	
gene-PA1549	16	11	6	12	2	7	host	gene-PA1549	False	
gene-PA1367	11	7	1	3	2	7	host	gene-PA1367	False	
gene-PA4372	11	10	3	15	3	8	host	gene-PA4372	False	
gene-PA4890	11	16	10	11	3	4	host	desT	False	
gene-PA0380	8	15	6	3	3	3	host	gene-PA0380	False	
gene-PA5256	7	7	2	5	0	5	host	dsbH	False	
gene-PA1428	1	0	0	4	0	0	host	gene-PA1428	False	
gene-PA3826	10	9	4	4	2	1	host	gene-PA3826	False	
gene-PA1651	8	4	2	1	1	5	host	gene-PA1651	False	
gene-PA0451	6	11	1	10	3	9	host	gene-PA0451	False	
gene-PA2559	9	4	2	7	0	3	host	gene-PA2559	False	
gene-PA2677	12	8	4	4	3	8	host	gene-PA2677	False	
gene-PA4304	16	12	2	3	1	7	host	rcpA	False	
gene-PA0346	7	6	2	6	2	2	host	gene-PA0346	False	
gene-PA2662	9	7	0	3	0	3	host	gene-PA2662	False	
gene-PA1158	12	12	1	10	1	6	host	gene-PA1158	False	
gene-PA0348	11	14	5	7	0	7	host	gene-PA0348	False	
gene-PA1480	32	17	4	8	5	18	host	ccmF	False	
gene-PA1946	11	12	7	11	2	9	host	rbsB	False	
gene-PA5355	10	9	3	9	0	9	host	glcD	False	
gene-PA3550	8	4	0	6	0	5	host	algF	False	
gene-PA0108	21	20	6	10	1	8	host	coIII	False	
gene-PA3614	13	16	5	11	1	13	host	gene-PA3614	False	
gene-PA0994	11	15	2	9	3	17	host	cupC3	False	
gene-PA3736	23	30	11	8	4	11	host	hom	False	
gene-PA5340	16	14	4	3	1	5	host	gene-PA5340	False	
gene-PA5112	19	16	11	12	2	15	host	estA	False	
gene-PA2747	2	3	6	3	0	1	host	gene-PA2747	False	
gene-PA0116	11	8	3	2	1	2	host	gene-PA0116	False	
gene-PA4176	13	6	1	3	1	1	host	ppiC2	False	
gene-PA0030	5	4	2	6	2	4	host	gene-PA0030	False	
gene-PA3073	6	6	3	4	1	3	host	gene-PA3073	False	
gene-PA5380	15	15	9	5	4	8	host	gbdR	False	
gene-PA1142	8	3	3	1	0	3	host	gene-PA1142	False	
gene-PA0043	15	16	8	9	1	13	host	gene-PA0043	False	
gene-PA3569	5	2	0	9	2	7	host	mmsB	False	
gene-PA0751	12	3	4	1	0	4	host	gene-PA0751	False	
gene-PA4720	20	11	7	11	2	13	host	trmA	False	
gene-PA3093	18	15	5	10	1	5	host	gene-PA3093	False	
gene-PA3572	2	6	0	1	0	1	host	gene-PA3572	False	
gene-PA1634	8	8	3	7	3	11	host	kdpB	False	
gene-PA3185	15	12	6	4	7	5	host	gene-PA3185	False	
gene-PA1129	2	4	0	0	1	1	host	gene-PA1129	False	
gene-PA3097	6	5	0	3	0	4	host	xcpX	False	
gene-PHIKZ060	95	82	366	239	32	140	phage	gene-PHIKZ060	False	
gene-PA1022	6	4	1	3	0	2	host	gene-PA1022	False	
gene-PA2142a	1	4	0	2	0	3	host	gene-PA2142a	False	
gene-PA2500	7	4	3	4	1	4	host	gene-PA2500	False	
gene-PA5012	20	13	3	11	1	3	host	waaF	False	
gene-PA2062	4	3	2	2	1	4	host	gene-PA2062	False	
gene-PA1667	4	7	1	8	1	5	host	gene-PA1667	False	
gene-PA1305	17	10	1	9	0	1	host	gene-PA1305	False	
