Geneid	0_R1	0_R2	10_R1	10_R2	35_R1	35_R2	Entity	Symbol	is_outlier	outlier_info
gene-PA1715	3	22	0	0	0	1	host	pscB	False	
gene-PA2803	7	2	0	0	0	0	host	gene-PA2803	False	
gene-PA5220	7	7	0	0	0	0	host	gene-PA5220	False	
gene-PA3642	9	13	0	0	0	0	host	rnhB	False	
gene-PA0615	7	3	3	5	8	10	host	gene-PA0615	False	
gene-PA1578a	1	11	1	0	0	0	host	gene-PA1578a	False	
gene-PA2496	3	4	0	0	0	0	host	gene-PA2496	False	
gene-PA1420	3	2	2	1	1	1	host	gene-PA1420	False	
gene-PHIKZ060	2	2	5071	5177	2690	2667	phage	gene-PHIKZ060	False	
gene-PA2021	1	3	0	0	0	0	host	gene-PA2021	False	
gene-PA4166	2	1	0	0	0	0	host	gene-PA4166	False	
gene-PA2032	6	12	0	1	3	1	host	gene-PA2032	False	
gene-PA2393	7	3	0	0	1	1	host	gene-PA2393	False	
gene-PA2135	4	1	2	3	0	5	host	gene-PA2135	False	
gene-PA0255	14	8	0	0	0	0	host	gene-PA0255	False	
gene-PA2014	10	10	2	2	3	0	host	liuB	False	
gene-PA0221	13	12	0	0	0	0	host	gene-PA0221	False	
gene-PA4597	11	5	1	0	0	0	host	oprJ	False	
gene-PA2341	6	4	1	0	0	1	host	gene-PA2341	False	
gene-PA2551	5	6	1	3	2	3	host	gene-PA2551	False	
gene-PA1076	2	9	0	0	0	0	host	gene-PA1076	False	
gene-PA3467	12	7	0	0	1	5	host	gene-PA3467	False	
gene-PA2017	7	3	0	0	0	0	host	gene-PA2017	False	
gene-PHIKZ241	1	1	347	319	133	124	phage	gene-PHIKZ241	False	
gene-PA1008	5	21	0	0	1	2	host	bcp	False	
gene-PA2435	9	10	0	0	0	0	host	gene-PA2435	False	
gene-PA4123	18	5	1	0	0	0	host	hpcC	False	
gene-PA3204	10	10	1	1	0	0	host	gene-PA3204	False	
gene-PA5542	15	6	1	1	1	1	host	gene-PA5542	False	
gene-PA1866	10	10	1	1	0	1	host	gene-PA1866	False	
gene-PA2287	5	3	0	0	0	0	host	gene-PA2287	False	
gene-PA0966	6	14	2	3	2	2	host	ruvA	False	
gene-PA5214	7	22	2	0	3	0	host	gcvH1	False	
gene-PA2392	6	7	0	0	0	1	host	pvdP	False	
gene-PA2291	9	15	1	0	0	0	host	gene-PA2291	False	
gene-PA5328	5	0	1	0	0	1	host	gene-PA5328	False	
gene-PA1231	6	2	0	0	0	1	host	gene-PA1231	False	
gene-PA1044	1	2	0	0	2	0	host	gene-PA1044	False	
gene-PA4118	17	10	1	0	0	0	host	gene-PA4118	False	
gene-PA4181	9	3	1	0	0	0	host	gene-PA4181	False	
gene-PA1807	7	11	1	1	1	1	host	gene-PA1807	False	
gene-PA1330	9	7	0	0	0	0	host	gene-PA1330	False	
gene-PA2495	8	1	0	0	0	0	host	oprN	False	
gene-PA3782	7	6	0	0	1	0	host	gene-PA3782	False	
gene-PA0441	19	9	0	0	3	1	host	dht	False	
gene-PA3789	11	11	0	0	0	1	host	gene-PA3789	False	
gene-PA3110	10	10	4	1	1	2	host	gene-PA3110	False	
gene-PA1726	16	25	1	1	3	1	host	bglX	False	
gene-PA1490	1	1	1	1	0	0	host	gene-PA1490	False	
gene-PA2321	2	11	0	1	0	0	host	gene-PA2321	False	
gene-PA3726	6	5	0	0	1	0	host	gene-PA3726	False	
gene-PA2754	4	1	1	1	0	0	host	gene-PA2754	False	
gene-PA4324	6	14	0	1	1	1	host	gene-PA4324	False	
gene-PA0564	13	6	4	2	8	5	host	gene-PA0564	False	
gene-PA2166	3	1	0	2	2	3	host	gene-PA2166	False	
gene-PA0543	6	2	0	0	0	0	host	gene-PA0543	False	
gene-PA5099	15	3	0	0	2	3	host	gene-PA5099	False	
gene-PA2662	7	0	0	0	0	1	host	gene-PA2662	False	
gene-PA1286	6	1	1	2	5	4	host	gene-PA1286	False	
gene-PHIKZ219	0	2	2658	2498	2534	2705	phage	gene-PHIKZ219	False	
gene-PHIKZ_p25	0	0	168	148	47	48	phage	gene-PHIKZ_p25	False	
gene-PA3833	7	4	2	0	0	2	host	gene-PA3833	False	
gene-PA1131	6	9	0	0	0	1	host	gene-PA1131	False	
gene-PA1848	8	5	0	0	0	0	host	gene-PA1848	False	
