Geneid	Ctrl_R1	Ctrl_R2	Ctrl_R3	0_R1	0_R2	0_R3	2_R1	2_R2	2_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	20_R1	20_R2	20_R3	30_R1	30_R2	30_R3	Entity	Symbol	is_outlier	outlier_info
gene-SAURSH1000_RS09570	9	3	12	14	5	12	8	3	9	6	3	3	3	4	3	1	3	1	0	0	0	host	gene-SAURSH1000_RS09570	False	
gene-SAURSH1000_RS12835	145	209	127	148	210	123	164	160	135	140	177	51	87	356	45	38	59	24	52	55	22	host	arcC	False	
gene-SAURSH1000_RS13180	22	25	41	35	38	29	40	39	29	40	37	18	26	17	5	8	5	2	7	8	0	host	vraE	False	
gene-SAURSH1000_RS03000	141	296	168	208	245	134	174	150	216	198	103	82	343	117	44	167	78	40	127	59	17	host	mnhG2	False	
gene-SAURSH1000_RS11930	149	136	169	219	68	131	184	71	102	208	73	55	165	185	34	44	61	19	42	76	13	host	cntA	False	
gene-SAURSH1000_RS12485	30	179	27	42	34	27	47	30	28	49	46	20	24	21	9	4	9	4	10	8	5	host	gene-SAURSH1000_RS12485	False	
gene-SAURSH1000_RS06935	346	179	295	489	298	271	545	271	309	514	389	229	212	386	115	68	78	45	58	96	12	host	gene-SAURSH1000_RS06935	False	
gene-SAURSH1000_RS05330	593	173	267	345	179	69	395	131	191	367	205	169	172	227	59	181	35	61	76	81	56	host	gene-SAURSH1000_RS05330	False	
gene-SAURSH1000_RS07145	724	1238	718	827	725	762	915	929	503	953	1298	399	938	1564	273	270	426	139	121	462	72	host	gene-SAURSH1000_RS07145	False	
gene-SAURSH1000_RS05125	22	13	24	44	17	31	36	19	19	41	18	20	15	21	7	2	2	1	4	4	1	host	srtB	False	
gene-SAURSH1000_RS09780	567	214	205	328	304	167	266	265	277	260	352	153	148	414	45	151	56	33	100	74	30	host	gene-SAURSH1000_RS09780	False	
gene-SAURSH1000_RS11700	7	25	18	17	19	16	14	34	19	26	22	9	21	20	7	2	8	2	4	5	1	host	gene-SAURSH1000_RS11700	False	
gene-SAURSH1000_RS12025	34	30	29	63	42	49	59	46	22	68	62	19	34	45	15	11	18	3	13	10	4	host	gene-SAURSH1000_RS12025	False	
gene-SAURSH1000_RS09190	929	843	1342	1280	900	1446	1463	961	1216	1335	1103	553	726	1071	351	204	294	175	132	283	93	host	gene-SAURSH1000_RS09190	False	
gene-SAURSH1000_RS10060	980	923	880	1080	1231	861	1291	1306	882	931	1291	439	412	930	140	212	226	84	134	268	54	host	prmC	False	
gene-SAURSH1000_RS10655	245	340	246	238	390	227	340	321	206	258	359	97	139	312	55	56	78	24	52	101	16	host	gene-SAURSH1000_RS10655	False	
gene-SAURSH1000_RS02790	71	116	111	164	96	122	220	129	129	281	204	57	179	286	53	37	63	16	23	68	7	host	gene-SAURSH1000_RS02790	False	
gene-SAURSH1000_RS12115	330	273	1339	303	84	1011	284	70	379	411	97	230	1052	422	271	334	286	150	145	430	55	host	gene-SAURSH1000_RS12115	False	
gene-SAURSH1000_RS10580	51	100	100	125	71	86	152	98	102	179	123	57	108	111	33	29	43	8	21	43	8	host	gene-SAURSH1000_RS10580	False	
gene-SAURSH1000_RS12855	0	1	0	1	0	1	0	1	1	1	2	0	1	6	0	0	0	0	0	0	0	host	gene-SAURSH1000_RS12855	False	
gene-SAURSH1000_RS09660	16	27	12	30	31	12	48	44	18	52	40	12	27	27	4	7	6	5	6	6	1	host	gene-SAURSH1000_RS09660	False	
gene-SAURSH1000_RS09320	308	645	371	449	308	308	422	310	308	580	348	199	488	848	141	266	217	105	217	242	41	host	putP	False	
gene-SAURSH1000_RS12990	15	15	8	18	18	7	22	19	14	21	11	9	10	7	1	4	2	2	4	5	1	host	gene-SAURSH1000_RS12990	False	
gene-SAURSH1000_RS00570	20	18	13	33	17	34	26	14	18	33	20	12	33	26	7	5	7	5	4	7	1	host	gene-SAURSH1000_RS00570	False	
gene-SAURSH1000_RS07550	346	339	351	504	354	401	561	412	392	616	577	208	316	481	82	78	120	46	69	136	24	host	mtnN	False	
gene-SAURSH1000_RS10930	162	168	148	154	206	152	238	216	118	194	260	90	151	327	46	56	83	25	31	115	12	host	gene-SAURSH1000_RS10930	False	
gene-SAURSH1000_RS12335	273	261	277	510	470	247	444	445	376	265	460	178	113	241	32	109	78	19	131	127	18	host	gene-SAURSH1000_RS12335	False	
gene-SAURSH1000_RS06010	359	382	345	592	515	367	613	521	409	460	537	194	230	358	63	87	93	43	80	119	23	host	gene-SAURSH1000_RS06010	False	
gene-SAURSH1000_RS04355	44	342	63	62	146	66	58	81	55	135	53	24	113	123	28	25	30	15	19	27	6	host	opp3b	False	
gene-SAURSH1000_RS11260	8	9	11	14	12	11	24	15	14	25	28	9	8	20	4	7	10	2	3	0	2	host	gene-SAURSH1000_RS11260	False	
gene-CPT_phageK_gp059	0	0	0	0	1	0	99	6	65	1764	323	1431	3055	1993	1741	410	612	510	202	199	220	phage	gene-CPT_phageK_gp059	False	
gene-SAURSH1000_RS02825	25	25	23	57	10	40	41	32	25	99	50	20	51	62	6	15	18	1	13	12	2	host	gene-SAURSH1000_RS02825	False	
gene-SAURSH1000_RS10105	292	239	208	418	208	205	498	226	269	324	254	199	174	319	46	74	64	18	80	70	17	host	gene-SAURSH1000_RS10105	False	
gene-SAURSH1000_RS04720	50	77	55	71	76	53	81	109	68	88	128	27	24	58	13	17	11	1	9	13	3	host	gene-SAURSH1000_RS04720	False	
gene-SAURSH1000_RS10290	483	520	536	778	401	664	778	539	461	945	740	319	601	728	178	124	250	70	113	229	41	host	gene-SAURSH1000_RS10290	False	
gene-SAURSH1000_RS07245	214	169	231	425	93	127	420	94	203	443	95	141	315	168	82	200	59	76	120	66	49	host	gene-SAURSH1000_RS07245	False	
gene-SAURSH1000_RS01695	72	77	90	161	54	90	133	68	75	149	79	40	92	88	28	22	23	10	18	23	3	host	gene-SAURSH1000_RS01695	False	
gene-SAURSH1000_RS03580	349	253	273	611	308	308	573	401	367	473	574	185	267	429	70	110	118	45	113	100	17	host	ytxJ	False	
gene-SAURSH1000_RS02590	166	148	192	215	189	182	276	178	167	220	226	99	137	240	63	43	70	25	35	59	12	host	gene-SAURSH1000_RS02590	False	
gene-SAURSH1000_RS07690	502	473	482	769	593	429	846	572	507	676	680	296	356	514	107	148	176	48	170	179	29	host	gene-SAURSH1000_RS07690	False	
gene-CPT_phageK_gp121	0	1	0	58	0	1	180	26	95	3504	562	4924	14559	8951	12771	7962	9067	8318	3668	4931	2882	phage	gene-CPT_phageK_gp121	False	
gene-SAURSH1000_RS12385	6	10	3	4	1	6	8	2	6	3	4	3	1	3	2	0	3	4	2	1	1	host	gene-SAURSH1000_RS12385	False	
gene-SAURSH1000_RS03970	65	204	73	105	119	61	129	127	84	202	121	71	251	338	60	69	87	49	41	44	30	host	gene-SAURSH1000_RS03970	False	
gene-SAURSH1000_RS00190	11	14	8	21	13	14	13	17	11	15	10	6	14	6	2	3	4	0	2	1	1	host	gene-SAURSH1000_RS00190	False	
gene-SAURSH1000_RS06415	83	61	101	153	52	78	165	75	86	135	120	75	103	89	36	44	37	21	48	39	14	host	gene-SAURSH1000_RS06415	False	
gene-SAURSH1000_RS11390	37	55	38	61	47	73	80	39	51	66	55	36	57	57	12	21	17	6	15	18	5	host	gene-SAURSH1000_RS11390	False	
gene-SAURSH1000_RS04045	409	503	530	505	640	564	590	500	527	541	465	238	322	415	162	103	158	50	77	146	38	host	gene-SAURSH1000_RS04045	False	
gene-CPT_phageK_gp058	0	0	0	0	0	0	49	3	17	1098	114	716	2031	1025	881	226	362	249	95	128	89	phage	gene-CPT_phageK_gp058	False	
gene-SAURSH1000_RS12500	40	39	31	46	48	26	33	41	34	28	51	25	23	38	8	17	12	10	9	10	2	host	gene-SAURSH1000_RS12500	False	
gene-SAURSH1000_RS00215	12	9	14	27	16	14	28	17	17	29	13	4	17	15	3	8	8	0	3	1	2	host	gene-SAURSH1000_RS00215	False	
gene-SAURSH1000_RS07975	387	437	393	512	593	496	587	571	339	573	522	195	354	458	113	92	149	53	68	137	37	host	mutM	False	
gene-SAURSH1000_RS03390	564	529	717	1147	545	609	1310	631	778	1117	828	422	568	768	177	185	233	97	155	267	53	host	saeR	False	
gene-SAURSH1000_RS13025	21	19	36	55	29	16	48	33	28	58	34	16	27	36	8	5	14	2	9	8	5	host	icaC	False	
gene-CPT_phageK_gp231	0	0	0	15	1	0	58	9	14	1354	137	1536	4202	2287	2547	1474	1987	1535	782	985	436	phage	gene-CPT_phageK_gp231	False	
gene-SAURSH1000_RS04995	593	416	389	999	373	393	985	469	504	1066	543	339	714	527	159	246	152	66	237	99	39	host	gene-SAURSH1000_RS04995	False	
gene-SAURSH1000_RS01545	264	232	142	211	491	176	221	422	197	154	326	91	66	141	23	53	29	17	45	24	6	host	tatC	False	
gene-SAURSH1000_RS10140	276	596	243	286	456	252	363	400	234	296	392	103	167	374	68	54	68	33	36	55	14	host	gene-SAURSH1000_RS10140	False	
gene-SAURSH1000_RS05650	187	230	206	244	251	248	211	337	161	357	314	101	193	204	64	41	57	26	22	63	13	host	gene-SAURSH1000_RS05650	False	
gene-SAURSH1000_RS08295	164	224	148	231	193	147	244	186	169	233	183	118	176	148	50	60	49	17	44	48	16	host	gene-SAURSH1000_RS08295	False	
gene-SAURSH1000_RS06235	126	121	139	183	174	154	216	156	175	212	160	58	112	141	43	32	34	15	29	35	6	host	gene-SAURSH1000_RS06235	False	
gene-SAURSH1000_RS00865	56	64	47	85	46	48	101	52	74	117	56	33	70	110	19	29	25	4	18	29	5	host	gene-SAURSH1000_RS00865	False	
gene-SAURSH1000_RS10250	65	126	89	68	54	82	91	72	71	82	70	27	49	87	14	19	21	7	13	27	14	host	gene-SAURSH1000_RS10250	False	
gene-SAURSH1000_RS01470	39	79	72	49	25	55	71	18	47	101	13	30	71	21	20	42	20	16	23	69	8	host	gene-SAURSH1000_RS01470	False	
