Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	Entity	Symbol	is_outlier	outlier_info
gene-b0629	207	24	137	26	74	10	49	1	49	2	107	3	host	ybeF	False	
gene-b2919	62	13	72	12	40	6	34	3	41	4	92	0	host	scpB	False	
gene-b4301	79	18	105	27	29	11	40	3	43	1	124	2	host	sgcE	False	
gene-b1834	1445	362	1606	593	277	158	170	44	211	34	321	29	host	letB	False	
gene-b0801	1228	477	1345	596	390	413	134	93	129	32	213	38	host	hcxB	False	
gene-b2489	134	7	73	19	73	4	80	7	90	1	155	2	host	hyfI	False	
gene-b2214	439	34	371	124	109	57	56	28	74	7	170	11	host	ftp	False	
gene-b0817	386	313	203	224	76	84	50	27	39	16	74	11	host	mntR	False	
gene-b4769	113	13	92	32	26	21	7	3	9	0	17	0	host	ybiE	False	
gene-b0039	199	45	194	58	92	27	70	6	95	3	180	3	host	caiA	False	
gene-b4392	1287	306	1011	313	187	69	156	36	177	18	379	21	host	slt	False	
gene-b4814	171	26	130	49	32	37	25	6	11	0	27	0	host	zbiJ	False	
gene-b0939	39	3	46	5	24	2	17	1	25	1	68	0	host	elfD	False	
gene-b0322	91	14	63	5	20	6	22	3	18	0	43	0	host	yahH	False	
gene-b4554	282	246	132	75	41	28	30	10	25	7	49	15	host	yibT	False	
gene-b1184	104	25	80	31	50	21	40	5	51	7	136	3	host	umuC	False	
gene-b1850	494	509	629	475	267	271	172	81	164	40	185	60	host	eda	False	
gene-b0588	572	96	781	326	112	68	61	16	74	10	129	11	host	fepC	False	
gene-T4p273	5	0	8214	1191	15023	2028	10136	1221	4924	242	6616	186	phage	ndd.4	False	
gene-b1711	521	80	273	159	78	60	60	24	79	9	139	15	host	btuC	False	
gene-b1234	942	227	851	484	128	136	69	37	74	17	112	15	host	rssA	False	
gene-b1827	416	383	171	221	60	90	50	32	47	24	81	31	host	kdgR	False	
gene-b3227	197	24	153	29	97	20	94	6	92	7	291	7	host	dcuD	False	
gene-b4753	7	4	7	2	17	2	9	2	6	0	10	0	host	yqfH	False	
gene-b1567	22	2	10	1	13	2	14	2	5	0	21	0	host	ydfW	False	
gene-b4536	658	96	246	48	47	16	21	3	17	4	28	4	host	yobH	False	
gene-b0549	20	0	21	0	18	1	22	0	33	2	66	1	host	ybcO	False	
gene-b4808	24	0	13	4	15	1	9	6	6	1	8	1	host	chiZ	False	
gene-b3907	145	33	128	25	120	7	110	2	122	2	335	0	host	rhaT	False	
gene-b1504	19	3	37	3	28	3	17	1	30	0	108	1	host	ydeS	False	
gene-b1563	371	146	528	138	90	59	26	10	54	12	47	15	host	relE	False	
gene-b2789	71	8	82	18	90	9	55	3	93	0	259	2	host	gudP	False	
gene-b3290	776	352	1166	678	203	234	111	70	145	46	251	34	host	trkA	False	
gene-b3017	1573	497	1883	1032	258	280	186	90	216	63	304	64	host	ftsP	False	
gene-b4679	231	17	87	22	46	7	23	4	15	2	22	4	host	yohP	False	
gene-b4765	168	18	32	29	16	3	14	2	7	1	10	2	host	yadX	False	
gene-b2873	112	11	89	13	39	9	60	2	75	2	200	3	host	hyuA	False	
gene-b4553	87	22	54	13	17	4	23	4	33	0	75	0	host	ysaB	False	
gene-b1974	95	10	70	6	42	3	25	0	22	1	72	0	host	yodB	False	
gene-b3367	225	41	124	29	75	20	70	8	82	1	192	2	host	nirC	False	
gene-b2624	358	3	27	5	165	5	281	4	42	5	90	4	host	alpA	False	
gene-b4349	831	428	1120	625	277	359	168	102	178	58	356	51	host	hsdM	False	
gene-b2379	1011	888	555	1021	165	289	94	44	105	27	269	36	host	alaC	False	
gene-b0656	2334	252	1671	299	273	101	194	25	201	27	265	27	host	insH3	False	
gene-b4665	1798	136	877	68	333	39	247	13	237	14	150	9	host	ibsC	False	
gene-b3503	108	34	124	30	44	9	37	8	64	1	129	4	host	arsC	False	
gene-b2074	275	72	157	61	68	18	65	9	77	5	170	2	host	mdtA	False	
gene-b2434	330	83	183	126	54	51	43	8	54	6	107	11	host	ypeA	False	
gene-b2875	166	32	193	37	100	13	87	7	139	1	364	5	host	yqeB	False	
gene-b2755	127	44	150	53	67	24	61	6	68	1	172	8	host	cas1	False	
gene-b2960	1188	586	947	499	194	179	94	55	87	37	107	49	host	trmB	False	
gene-b0060	483	78	331	231	154	45	137	4	173	8	355	9	host	polB	False	
gene-b2486	132	11	103	24	74	13	94	7	101	1	237	0	host	hyfF	False	
gene-T4p064	19	0	1220	11	60274	1770	22615	1545	16509	1258	11290	972	phage	a-gt.5	False	
gene-b2649	26	5	42	3	30	3	26	1	39	1	63	3	host	ypjB	False	
gene-b3884	389	156	271	134	106	43	91	14	94	4	248	8	host	csqR	False	
gene-b2676	121	38	167	123	64	23	42	9	62	5	147	3	host	nrdF	False	
gene-b0122	728	39	205	53	56	26	31	6	27	4	70	2	host	yacC	False	
gene-b0321	96	22	109	18	57	9	71	5	66	1	200	2	host	yahG	False	
gene-b4435	300	14	130	14	79	5	41	1	24	2	27	0	host	isrC	False	
gene-b2376	33	10	28	7	23	2	13	2	22	1	38	0	host	ypdI	False	
gene-b3632	830	291	1272	264	247	119	128	49	136	38	242	33	host	waaQ	False	
gene-b4225	169	60	79	73	60	26	52	13	68	9	132	5	host	chpB	False	
gene-b4514	22	1	30	0	14	0	12	0	15	1	34	0	host	ybfQ	False	
gene-b2335	50	9	46	3	29	3	22	0	45	1	91	1	host	yfcR	False	
gene-b2886	67	10	76	8	45	6	27	1	35	0	96	2	host	ygfS	False	
gene-b1722	1102	227	1111	317	204	165	85	48	109	42	86	38	host	ydiY	False	
gene-b4781	961	43	338	48	71	15	20	5	31	0	23	8	host	evgL	False	
gene-b3448	285	78	145	56	64	19	42	5	78	10	135	5	host	yhhA	False	
gene-b0576	1186	217	1091	368	220	467	125	42	152	25	197	46	host	pheP	False	
gene-b1701	102	12	90	9	66	7	54	3	48	0	166	1	host	fadK	False	
gene-b2144	481	26	183	45	61	17	56	7	48	1	79	3	host	sanA	False	
gene-b4474	120	28	95	20	72	12	84	2	80	0	236	2	host	frlC	False	
gene-b1513	63	5	61	6	34	1	52	0	61	1	183	3	host	lsrA	False	
gene-b0186	360	211	299	434	163	160	161	64	191	42	411	32	host	ldcC	False	
gene-b1652	852	108	566	178	89	65	45	21	53	10	74	13	host	rnt	False	
gene-b2156	1084	517	1177	799	218	201	128	59	127	37	253	49	host	lysP	False	
gene-b2161	73	12	51	17	61	5	63	3	58	2	196	0	host	nupX	False	
gene-b2846	23	6	34	2	18	2	18	1	40	2	48	3	host	yqeH	False	
gene-b1923	807	352	787	337	308	330	128	140	153	60	149	75	host	fliC	False	
gene-b3587	24	0	56	8	31	2	36	0	32	1	108	1	host	yiaW	False	
gene-b2180	1132	120	1025	382	222	130	183	37	156	32	200	33	host	yejF	False	
gene-b1190	1114	649	1899	809	280	283	103	79	144	60	178	92	host	dadX	False	
gene-b4828	14	1	15	4	3	1	3	0	7	1	8	2	host	motR	False	
gene-b3641	1523	440	1845	585	217	199	115	56	172	26	197	41	host	slmA	False	
gene-b3563	34	5	46	4	27	3	26	0	27	2	85	0	host	yiaB	False	
gene-b0593	1271	290	1495	665	239	182	152	51	164	27	283	16	host	entC	False	
gene-b1620	126	54	116	69	41	22	44	6	44	9	111	6	host	malI	False	
gene-b2455	50	7	54	4	43	4	60	3	55	3	112	1	host	eutE	False	
gene-b4482	126	32	157	62	64	33	83	30	68	13	186	24	host	yigE	False	
gene-b2899	299	66	217	116	86	35	70	7	81	6	177	7	host	trhA	False	
gene-b0711	253	515	659	609	87	177	69	32	46	21	90	21	host	pxpB	False	
gene-T4p085	11	0	2197	43	65763	3504	68966	7172	110331	10541	106752	9772	phage	nrdC.1	False	
gene-b2992	144	80	216	123	91	57	51	17	50	15	78	9	host	hybE	False	
gene-b1413	1909	738	2282	1051	503	440	212	124	255	65	365	93	host	hrpA	False	
gene-b1837	202	30	62	22	26	9	22	3	16	1	28	1	host	yebW	False	
gene-b1086	756	530	511	489	124	175	56	82	73	37	114	44	host	rluC	False	
gene-b2429	231	51	140	69	90	24	87	8	98	5	193	4	host	murP	False	
gene-b1116	1476	324	800	412	139	97	76	37	86	22	127	19	host	lolC	False	
gene-b0685	915	51	404	97	82	29	43	11	45	8	73	9	host	ybfE	False	
gene-b1869	848	105	395	140	136	49	124	18	75	2	87	17	host	yecN	False	
gene-b3881	91	9	87	10	68	7	93	2	93	1	195	1	host	yihT	False	
gene-b0624	450	106	178	88	54	32	40	16	36	3	69	0	host	crcB	False	
gene-b2933	80	4	106	8	67	7	86	5	110	2	283	5	host	cmtA	False	
gene-b0058	673	212	1093	425	327	255	183	108	177	64	210	72	host	rluA	False	
gene-b1349	67	9	48	10	35	5	33	0	34	2	78	1	host	recT	False	
gene-b1888	93	46	142	71	82	32	83	17	103	6	207	6	host	cheA	False	
gene-b3923	675	187	448	136	139	44	105	17	103	6	132	9	host	uspD	False	
gene-b1448	512	143	305	138	44	52	43	12	35	5	70	8	host	mnaT	False	
gene-b2413	1224	143	674	105	174	44	101	23	124	6	137	12	host	cysZ	False	
gene-b4662	351	38	133	32	115	25	93	12	48	10	54	16	host	sgrT	False	
gene-b0940	189	27	144	15	143	14	87	11	138	3	289	3	host	elfC	False	
gene-b0390	204	40	294	115	74	33	48	7	44	1	111	5	host	aroM	False	
gene-b1412	472	154	407	128	81	45	42	15	44	5	94	8	host	azoR	False	
gene-b0250	315	53	210	68	57	39	45	15	52	13	117	15	host	ykfB	False	
gene-T4p150	1	0	872	4	2549	56	5081	220	35768	3704	29303	3517	phage	5.4	False	
gene-b1551	3	0	35	5	2	1	6	0	13	1	13	0	host	ynfN	False	
gene-b3143	86	3	75	4	58	1	59	3	70	3	156	1	host	yraI	False	
gene-b2162	37	2	62	7	45	4	50	2	58	4	150	1	host	rihB	False	
gene-b3269	329	44	412	118	114	49	110	37	81	25	221	24	host	yhdX	False	
gene-b3351	292	171	92	148	73	44	57	14	49	15	176	8	host	kefG	False	
gene-b1681	262	189	472	372	117	167	47	28	52	15	140	8	host	sufD	False	
gene-b3661	1331	435	1017	206	262	104	124	30	113	13	213	17	host	nlpA	False	
gene-b0282	151	11	72	14	38	9	40	2	45	2	138	1	host	yagP	False	
gene-b1480	2017	93	1006	74	329	30	86	6	38	0	56	2	host	sra	False	
gene-T4p257	13	0	3089	51	81201	3194	15747	1497	39199	1999	34319	2371	phage	arn	False	
gene-b0048	2240	286	968	227	188	81	95	37	87	23	99	22	host	folA	False	
gene-b1149	69	7	97	19	45	9	61	1	79	2	165	0	host	ymfN	False	
gene-T4p274	21	0	30501	1486	56548	2593	43522	1667	21894	829	27070	938	phage	ndd.5	False	
gene-b1210	1508	229	1184	470	134	123	56	32	89	26	94	23	host	hemA	False	
gene-b3832	345	133	341	221	113	82	124	73	111	43	325	44	host	rmuC	False	
gene-b2561	245	35	195	37	71	12	44	6	58	2	110	6	host	yfhH	False	
gene-T4p254	14	1	12620	995	41207	3265	21041	3161	81215	7233	71389	8610	phage	t	False	
gene-b1560	62	5	64	12	40	7	35	0	44	1	124	0	host	ydfU	False	
gene-b3445	132	12	116	29	34	18	32	3	24	6	59	3	host	insB6	False	
gene-b0979	190	46	187	55	122	21	85	7	87	6	197	6	host	appB	False	
gene-b2553	2398	404	1111	296	273	112	86	36	88	23	96	16	host	glnB	False	
gene-b1818	2036	891	2016	1064	235	287	74	72	112	33	94	56	host	manY	False	
gene-b0056	826	180	754	187	239	140	80	40	65	28	114	21	host	yabP	False	
gene-b1706	1692	357	1586	595	195	182	108	53	145	27	168	37	host	selO	False	
gene-b2756	175	25	90	23	60	12	82	6	72	0	155	2	host	casE	False	
gene-b0245	84	24	117	37	40	26	29	11	22	2	65	9	host	ykfI	False	
gene-b2482	139	13	126	18	109	7	121	5	121	3	301	1	host	hyfB	False	
gene-b2837	1772	167	240	156	95	45	64	15	78	5	198	10	host	galR	False	
gene-b1475	50	18	79	14	41	13	40	5	41	2	95	3	host	fdnH	False	
gene-b1148	177	15	48	7	25	3	25	3	18	0	40	0	host	ymfM	False	
gene-b2900	348	104	158	47	38	13	26	4	30	5	42	3	host	yqfB	False	
gene-b4534	5	0	3	0	6	0	8	0	11	0	14	0	host	ynfP	False	
gene-b2492	156	32	113	53	62	26	39	6	68	1	128	3	host	focB	False	
gene-b1931	59	7	50	9	25	1	19	1	28	2	73	0	host	yedK	False	
gene-b2430	133	36	149	75	72	22	67	5	83	6	144	6	host	yfeW	False	
gene-b1295	630	22	222	86	39	14	21	2	32	1	74	6	host	ymjA	False	
gene-b1838	197	23	106	43	34	11	40	4	27	2	113	1	host	pphA	False	
gene-b0458	1207	132	468	149	153	45	72	24	88	10	114	13	host	ylaC	False	
gene-b0065	169	79	134	113	62	50	73	15	67	11	191	7	host	yabI	False	
gene-b3028	684	152	627	170	145	78	44	13	64	4	109	5	host	mdaB	False	
gene-b3204	564	398	826	597	103	160	42	42	35	22	58	30	host	ptsN	False	
gene-b3421	240	72	207	81	94	32	132	8	125	1	328	7	host	rtcB	False	
gene-T4p098	4	0	15316	1105	24914	2015	6211	473	6779	670	7016	793	phage	mobD.2	False	
gene-b2194	209	38	160	52	59	15	60	10	71	5	90	5	host	ccmH	False	
gene-b0110	359	161	241	179	73	45	48	10	60	11	86	10	host	ampD	False	
gene-b3116	166	28	163	22	71	16	79	9	92	6	203	13	host	tdcC	False	
gene-b1877	113	9	85	23	22	7	14	1	12	0	11	0	host	yecT	False	
