Geneid	0	2	5	10	15	21	28	35	42	49	Entity	Symbol	is_outlier	outlier_info
gene-Y11_RS02515	869	354	441	593	579	482	427	475	501	352	host	xyeB	False	
gene-Y11_RS16005	6654	4404	4482	5204	4829	3641	3149	3479	2541	2569	host	hemY	False	
gene-Y11_RS11320	601	345	314	357	482	228	266	359	243	342	host	hypB	False	
gene-Y11_RS04430	801	338	459	718	984	667	646	978	857	566	host	gene-Y11_RS04430	False	
gene-Y11_RS18075	3058	1755	1587	1379	1626	1387	1659	2230	2062	2124	host	gene-Y11_RS18075	False	
gene-g352	3	2049	4009	7480	6563	7257	6261	5837	5200	5070	phage	g352	False	
gene-Y11_RS03990	1082	734	758	772	684	495	493	542	471	519	host	sapF	False	
gene-Y11_RS17675	320	157	237	396	467	357	388	552	445	377	host	nrdG	False	
gene-Y11_RS15370	1459	905	863	964	1135	985	892	1123	1020	830	host	gene-Y11_RS15370	False	
gene-Y11_RS10750	4569	4539	5475	4694	5001	3509	3045	3177	2546	2222	host	ispD	False	
gene-Y11_RS04495	684	467	644	1161	1239	967	1058	1159	909	843	host	gene-Y11_RS04495	False	
gene-Y11_RS02475	3434	4140	5155	5796	6534	4384	4680	4725	4037	3627	host	mltG	False	
gene-Y11_RS19115	487	221	310	382	525	353	431	448	464	369	host	gene-Y11_RS19115	False	
gene-Y11_RS03465	637	293	358	466	605	531	581	495	605	425	host	gene-Y11_RS03465	False	
gene-Y11_RS04855	3216	2364	2814	3716	4222	3213	3674	3719	2615	2654	host	yciH	False	
gene-Y11_RS12240	1901	873	1287	1255	1583	1137	1223	1211	1102	991	host	gene-Y11_RS12240	False	
gene-g035	0	3145	5884	12178	11592	12105	13324	11423	10079	11208	phage	g035	False	
gene-g247	2	1017	1750	4527	5833	6751	7964	10322	9250	14625	phage	g247	False	
gene-Y11_RS05215	3003	1745	1640	2342	2939	2253	2913	3118	2472	2777	host	gene-Y11_RS05215	False	
gene-Y11_RS06005	155	79	90	89	131	118	85	177	170	120	host	gene-Y11_RS06005	False	
gene-Y11_RS02645	1838	1114	1225	1442	1672	1132	1145	1297	1046	1018	host	rluE	False	
gene-Y11_RS02185	1331	590	628	668	757	614	763	694	713	621	host	gene-Y11_RS02185	False	
gene-Y11_RS12505	5649	5071	4605	4605	3926	2941	2549	2781	2199	2543	host	ptsN	False	
gene-Y11_RS06960	478	223	237	306	325	341	322	457	455	312	host	gene-Y11_RS06960	False	
gene-Y11_RS14170	685	365	524	880	994	877	979	1402	1106	951	host	gene-Y11_RS14170	False	
gene-Y11_RS13220	1727	593	751	1247	1299	961	1261	1370	1544	986	host	gene-Y11_RS13220	False	
gene-Y11_RS18835	3731	3606	4496	5029	6235	4741	4616	5252	3990	3726	host	hrpB	False	
gene-Y11_RS21850	921	506	622	626	596	537	518	638	473	587	host	gene-Y11_RS21850	False	
gene-Y11_RS16620	5219	4689	4980	4916	4778	3911	3434	3646	2794	2803	host	nfi	False	
gene-Y11_RS03660	1634	716	825	975	1132	818	994	1184	992	948	host	btuD	False	
gene-Y11_RS16690	1336	1069	1117	1737	1741	1459	1427	1606	1374	1688	host	gene-Y11_RS16690	False	
gene-g091	3	545	979	2783	2447	2730	3001	3271	2247	3241	phage	g091	False	
gene-Y11_RS22610	115	51	82	124	149	143	126	211	128	134	host	gene-Y11_RS22610	False	
gene-Y11_RS03880	1416	1587	1668	1741	2020	1649	2140	2950	2680	3449	host	gene-Y11_RS03880	False	
gene-Y11_RS05250	1100	585	726	889	1116	804	868	1240	1005	1083	host	gene-Y11_RS05250	False	
