Geneid	0_R1	0_R2	0_R3	30_R1	30_R2	30_R3	45_R1	45_R2	45_R3	75_R1	75_R2	75_R3	135_R1	135_R2	135_R3	Entity	Symbol	is_outlier	outlier_info
gene-FTB24_03575	117	120	181	54	118	103	105	101	93	79	118	127	149	220	261	host	dpsA	False	
gene-FTB24_07525	17	14	127	16	8	57	20	20	33	18	26	48	32	139	173	host	asrB	False	
gene-FTB24_13070	24	13	111	17	21	46	21	26	25	22	26	40	41	145	104	host	spoIIIAE	False	
gene-FTB24_05790	2515	2718	1677	2199	3455	3258	2121	2302	2266	1624	1706	1806	1890	1400	1988	host	gene-FTB24_05790	False	
gene-FTB24_09125	1104	1627	1182	2285	3448	3105	1933	2522	2470	1213	1279	1549	1406	1245	1817	host	gene-FTB24_09125	False	
gene-FTB24_15240	1980	2148	1984	1665	2218	2220	1761	1931	1790	1619	1838	1931	1498	1099	1513	host	gene-FTB24_15240	False	
gene-FTB24_06415	852	440	1104	983	511	654	556	485	460	413	356	375	730	738	718	host	cas5	False	
gene-FTB24_14675	32	36	221	35	41	79	69	36	73	45	59	112	59	176	195	host	gene-FTB24_14675	False	
gene-FTB24_11645	119	89	235	113	85	126	84	94	100	65	68	82	158	215	230	host	gene-FTB24_11645	False	
gene-FTB24_18985	1247	1919	1905	691	1533	1518	892	1167	858	943	1135	874	818	439	633	host	gene-FTB24_18985	False	
gene-FTB24_02870	663	680	477	559	797	712	845	779	730	621	610	676	583	411	546	host	gene-FTB24_02870	False	
gene-FTB24_11145	730	756	729	535	622	697	516	596	504	541	497	610	1162	1055	1335	host	gene-FTB24_11145	False	
gene-FTB24_06410	902	484	1309	1117	560	727	585	489	521	450	417	462	896	990	962	host	gene-FTB24_06410	False	
gene-FTB24_08055	2036	1719	1295	1449	1561	1656	1155	1204	1187	821	800	1000	1424	1216	1936	host	gene-FTB24_08055	False	
gene-FTB24_13835	115	104	258	70	94	146	107	96	69	83	107	138	207	281	300	host	gene-FTB24_13835	False	
gene-FTB24_00755	841	620	1043	674	570	611	505	510	428	392	326	383	657	647	709	host	gene-FTB24_00755	False	
gene-FTB24_00310	68	94	263	80	98	167	114	75	117	56	96	122	85	186	191	host	gene-FTB24_00310	False	
gene-FTB24_09505	36	27	51	28	25	38	40	28	49	28	26	35	33	68	103	host	gene-FTB24_09505	False	
gene-FTB24_10810	144	189	239	132	147	196	202	194	202	165	185	229	221	356	454	host	asnB	False	
gene-FTB24_06690	445	608	418	331	551	440	409	504	489	407	536	482	618	463	634	host	gene-FTB24_06690	False	
gene-FTB24_09205	150	159	198	273	293	334	342	356	357	432	459	466	420	309	476	host	gene-FTB24_09205	False	
gene-FTB24_13440	320	427	454	259	388	301	333	426	364	335	386	381	505	426	598	host	gene-FTB24_13440	False	
gene-FTB24_08760	95	84	146	111	117	164	132	114	148	165	195	258	484	405	705	host	gene-FTB24_08760	False	
gene-FTB24_15830	2812	2301	2768	2069	2289	2063	2291	2417	2087	2455	2186	2560	3092	2191	3093	host	nth	False	
gene-FTB24_08635	349	504	337	324	495	548	372	429	429	392	419	443	669	532	803	host	gene-FTB24_08635	False	
gene-FTB24_07365	437	454	648	314	412	461	437	456	368	331	316	361	562	626	735	host	gene-FTB24_07365	False	
gene-FTB24_08505	1092	1301	774	890	1642	1615	1165	1318	1312	981	950	1053	1342	969	1516	host	gene-FTB24_08505	False	
gene-FTB24_07540	149	147	187	91	167	206	164	185	174	160	172	222	235	272	344	host	gene-FTB24_07540	False	
gene-FTB24_01825	169	141	261	132	104	163	148	154	144	104	103	149	204	239	305	host	gene-FTB24_01825	False	
