Geneid	0_R1	0_R2	0_R3	30_R1	30_R2	30_R3	60_R1	60_R2	60_R3	Entity	Symbol	is_outlier	outlier_info
gene-VC_RS03415	135	164	164	152	175	133	225	264	310	host	gene-VC_RS03415	False	
gene-VC_RS00480	481	527	612	375	522	411	408	601	600	host	gene-VC_RS00480	False	
gene-VC_RS07910	646	725	780	640	1007	694	994	1165	1170	host	gene-VC_RS07910	False	
gene-VC_RS03250	1141	1098	1560	1217	1386	1198	951	1371	1428	host	rimP	False	
gene-VC_RS09975	447	485	613	356	540	427	411	491	500	host	sixA	False	
gene-VC_RS13170	1029	1062	1252	805	957	968	710	987	931	host	gspC	False	
gene-VC_RS14405	1644	1164	1429	1114	943	953	826	849	1040	host	prtV	False	
gene-VC_RS02085	390	409	543	323	400	335	416	578	551	host	gene-VC_RS02085	False	
gene-VC_RS09225	457	428	566	596	556	396	362	573	541	host	gene-VC_RS09225	False	
gene-VC_RS12905	1857	2222	2930	2490	2433	2424	2747	2061	2742	host	rpmE	False	
gene-VC_RS08645	57	81	73	77	101	94	86	110	129	host	gene-VC_RS08645	False	
gene-VC_RS07145	380	302	443	469	583	470	689	709	792	host	gene-VC_RS07145	False	
gene-VC_RS07395	228	303	366	296	349	301	408	398	457	host	gene-VC_RS07395	False	
gene-VC_RS18495	449	497	651	257	283	255	109	110	87	host	gene-VC_RS18495	False	
gene-VC_RS08210	356	314	330	194	267	244	65	94	73	host	gene-VC_RS08210	False	
gene-VC_RS12705	225	250	349	202	249	191	189	212	241	host	pilM	False	
gene-VC_RS13845	425	410	446	450	490	467	469	539	520	host	gene-VC_RS13845	False	
gene-VC_RS02005	94	111	176	100	86	92	87	98	116	host	gene-VC_RS02005	False	
gene-VC_RS18725	63	57	79	69	117	56	22	85	73	host	gene-VC_RS18725	False	
gene-VC_RS08005	501	589	667	531	638	490	963	967	1010	host	mgtE	False	
gene-VC_RS16325	693	710	828	927	1187	860	2142	2745	2694	host	gene-VC_RS16325	False	
gene-VC_RS10090	1641	1773	2267	1396	1853	1556	1403	1927	1840	host	pgm	False	
gene-VC_RS05895	83	89	111	52	84	50	54	70	62	host	hutG	False	
gene-VC_RS07100	58	66	87	73	69	57	102	97	131	host	gene-VC_RS07100	False	
gene-VC_RS14690	161	191	232	215	256	158	273	295	319	host	gene-VC_RS14690	False	
gene-VC_RS17030	711	893	929	610	854	639	1340	1203	1398	host	gene-VC_RS17030	False	
gene-VC_RS04610	224	214	297	224	204	190	284	295	317	host	gene-VC_RS04610	False	
gene-VC_RS18505	306	258	332	193	208	156	56	99	82	host	gene-VC_RS18505	False	
gene-VC_RS10875	636	813	778	651	1284	602	1136	653	689	host	gene-VC_RS10875	False	
gene-VC_RS17010	1048	1124	1423	822	1070	1099	822	983	1086	host	gene-VC_RS17010	False	
gene-VC_RS04815	273	257	323	317	389	289	357	528	510	host	gene-VC_RS04815	False	
gene-VC_RS14365	123	168	171	268	283	225	681	589	571	host	emrD	False	
gene-VC_RS03955	100	97	132	103	114	86	140	219	192	host	gene-VC_RS03955	False	
gene-VC_RS12160	2060	1882	2183	1562	1698	1985	1490	1579	1696	host	mlaE	False	
gene-VC_RS14395	49	51	66	46	69	57	66	131	93	host	gene-VC_RS14395	False	
gene-VC_RS14520	167	252	300	179	275	202	276	322	352	host	ulaG	False	
gene-VC_RS06610	517	612	709	410	408	423	364	427	419	host	gene-VC_RS06610	False	
gene-VC_RS04240	556	640	844	512	787	656	419	566	543	host	gene-VC_RS04240	False	
gene-VC_RS13120	397	400	405	278	358	316	226	328	301	host	gene-VC_RS13120	False	
gene-VC_RS07090	699	905	922	703	829	707	1022	911	1016	host	rstR	False	
gene-VC_RS16975	349	344	377	271	287	272	341	419	469	host	gene-VC_RS16975	False	
gene-VC_RS08330	1128	1131	1511	1020	1258	905	895	1159	1185	host	purR	False	
gene-VC_RS17700	837	800	967	753	842	648	551	640	685	host	gene-VC_RS17700	False	
gene-VC_RS02230	229	228	250	189	197	172	130	220	169	host	apaG	False	
gene-VC_RS10020	1307	1263	1649	1203	1300	1146	1335	1441	1508	host	znuA	False	
gene-VC_RS14290	2211	2187	3259	2085	2680	2408	2333	2713	3099	host	gene-VC_RS14290	False	
gene-VC_RS07735	2363	2365	2715	1616	1744	1538	1383	1540	1787	host	gene-VC_RS07735	False	
gene-VC_RS11395	923	949	1219	685	845	732	777	924	1032	host	gene-VC_RS11395	False	
gene-VPVV882_gp17	857	688	741	4806	4582	5155	12885	10428	12185	phage	gene-VPVV882_gp17	False	
gene-VC_RS11995	2059	2387	2556	1584	1926	1445	1091	1348	1290	host	leuB	False	
gene-VC_RS16835	315	379	519	301	436	326	393	491	529	host	gene-VC_RS16835	False	
gene-VC_RS01060	569	604	726	409	456	405	168	213	204	host	gene-VC_RS01060	False	
gene-VC_RS11835	635	640	820	421	430	525	293	376	373	host	acpS	False	
gene-VC_RS18005	200	204	276	135	162	132	73	113	112	host	gene-VC_RS18005	False	
gene-VC_RS09695	642	660	850	480	605	537	358	454	483	host	gene-VC_RS09695	False	
gene-VC_RS10080	553	592	713	586	690	539	952	888	841	host	gene-VC_RS10080	False	
gene-VC_RS11010	1041	1032	1344	968	1205	958	1223	1546	1583	host	gene-VC_RS11010	False	
gene-VC_RS01370	928	1036	1243	671	745	652	444	443	491	host	gene-VC_RS01370	False	
gene-VC_RS07565	135	140	154	93	150	109	185	277	248	host	gene-VC_RS07565	False	
gene-VC_RS09295	124	99	158	107	158	98	131	162	175	host	gene-VC_RS09295	False	
gene-VC_RS09135	719	854	1175	687	882	788	781	901	1022	host	lpoB	False	
gene-VC_RS00220	227	253	284	229	323	268	216	361	287	host	dprA	False	
