Geneid	0_R1	0_R2	0_R3	1_R1	1_R2	1_R3	4_R2	4_R3	7_R1	7_R2	7_R3	20_R1	20_R2	20_R3	Entity	Symbol	is_outlier	outlier_info
gene-b1314	88	111	35	104	73	44	28	17	5	21	9	5	8	2	host	ycjR	False	
gene-b1821	1691	3221	1202	6584	5665	3613	1001	1036	349	915	444	261	450	107	host	mntP	False	
gene-b4418	2455	3266	1637	3663	2095	2670	868	1038	173	541	305	113	156	42	host	sraB	False	
gene-b1163	284	285	166	576	445	426	287	368	57	152	83	39	51	13	host	bluF	False	
gene-b3628	0	1	0	0	0	0	1	0	0	1	0	0	0	0	host	waaB	False	
gene-b2586	604	846	367	954	731	503	232	211	46	130	79	39	59	26	host	yfiM	False	
gene-b0737	3734	5994	2176	6016	4364	3969	1840	1640	426	1046	471	342	511	149	host	tolQ	False	
gene-b1151	1	0	1	1	1	0	0	0	0	0	0	0	0	0	host	beeE	False	
gene-b4141	1289	1310	507	2397	1684	1106	253	223	69	192	112	70	99	28	host	yjeH	False	
gene-b3682	104	113	47	189	119	80	26	29	14	23	10	3	6	1	host	glvB	False	
gene-b4421	528	653	258	889	734	472	227	293	66	181	101	34	53	15	host	ldrB	False	
gene-b3427	7	8	4	15	9	9	13	6	1	6	2	2	0	0	host	yzgL	False	
gene-b1126	3518	4859	2006	5471	4723	3957	2331	2777	550	1301	647	291	412	145	host	potA	False	
gene-b0583	168	138	54	229	159	113	28	23	6	16	11	3	10	6	host	entD	False	
gene-b1403	12	13	5	13	10	4	2	2	1	0	0	1	0	0	host	insC2	False	
gene-b3344	1232	1575	676	2260	1818	1243	274	248	90	255	110	86	140	42	host	tusC	False	
gene-T4p055	0	0	18	240	284	241	14997	10549	21379	49913	22564	23894	28162	11916	phage	46.1	False	
gene-b0652	1363	1526	759	2133	1038	883	242	307	73	177	126	60	69	23	host	gltL	False	
gene-b4311	45	37	11	81	62	45	40	36	9	36	13	3	4	1	host	nanC	False	
gene-b0334	89	84	34	122	79	39	21	19	7	17	9	6	7	4	host	prpD	False	
gene-b3116	329	367	118	504	329	216	111	102	28	95	58	16	32	10	host	tdcC	False	
gene-b2578	695	960	404	2177	1710	712	242	269	85	248	131	47	105	19	host	eamB	False	
gene-b2317	2619	2232	1072	2767	1716	1371	734	839	244	451	247	138	207	83	host	dedA	False	
gene-b1725	2638	3658	1437	5487	4307	2246	689	615	201	494	303	146	232	72	host	yniA	False	
gene-b0618	450	547	233	984	653	385	127	156	43	102	55	26	33	6	host	citC	False	
gene-b1566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	flxA	False	
gene-b2152	3166	3493	1586	4741	3607	2535	757	812	271	555	342	177	243	82	host	yeiB	False	
gene-b0843	586	567	303	689	532	374	216	228	44	115	62	30	42	13	host	ybjH	False	
gene-b1326	1983	2510	999	3225	2697	1626	526	448	150	405	218	119	204	60	host	mpaA	False	
gene-b2147	161	289	134	384	332	196	106	77	17	67	36	17	23	6	host	preA	False	
gene-b1602	6261	6042	2696	7325	3853	3410	953	1221	327	673	466	322	346	122	host	pntB	False	
gene-b1357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	ydaS	False	
gene-b0622	621	527	284	968	589	456	79	82	26	76	41	27	24	19	host	pagP	False	
gene-b0845	1647	1489	801	2077	1364	1225	326	386	100	264	150	83	147	47	host	ybjJ	False	
gene-b1153	0	0	0	1	0	1	0	0	0	0	0	0	0	0	host	ymfQ	False	
gene-b1773	27	37	17	34	32	19	22	15	4	6	8	3	1	1	host	ydjI	False	
gene-b1168	52	79	21	119	77	71	41	45	12	42	12	4	12	3	host	pdeG	False	
gene-b2304	5026	4125	2055	5316	3211	2705	826	1036	293	684	459	217	286	76	host	yfcH	False	
gene-b0554	162	100	55	305	219	128	37	25	5	21	13	6	9	1	host	essD	False	
gene-b2166	15	30	1	40	24	20	10	11	4	14	3	4	0	0	host	psuK	False	
gene-b0383	180	220	84	277	218	153	51	42	15	37	24	4	25	5	host	phoA	False	
gene-b1994	1	0	0	0	0	0	0	0	0	0	0	0	0	0	host	insH6	False	
gene-b0467	1995	1873	835	2889	1993	1228	407	372	125	305	199	91	160	44	host	priC	False	
gene-b0823	517	525	188	820	577	346	114	126	43	102	68	23	38	19	host	ybiW	False	
gene-b2239	794	945	366	1367	909	609	142	126	41	92	71	27	35	16	host	glpQ	False	
gene-b0940	293	321	115	550	350	227	180	158	32	98	47	11	37	9	host	elfC	False	
gene-b1538	4117	4613	1827	5450	3340	2468	645	700	207	507	326	194	285	77	host	dcp	False	
gene-b2577	528	771	258	1222	997	515	212	173	51	159	58	35	70	14	host	yfiE	False	
gene-b2089	749	703	306	1042	697	436	178	159	53	143	75	29	53	14	host	insF5	False	
gene-b1851	3929	5560	2022	6107	4638	2813	1675	1508	428	1079	642	276	444	88	host	edd	False	
gene-b0246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	yafW	False	
gene-b2745	5836	5495	2552	5797	4084	3261	1760	1619	369	947	513	253	429	133	host	truD	False	
gene-b1412	1620	1931	795	1867	1447	1037	491	593	165	416	292	78	124	40	host	azoR	False	
gene-b3561	456	503	208	981	682	480	101	110	28	83	45	21	29	12	host	wecH	False	
gene-T4p021	0	1	19	4393	5003	4813	43329	53842	20935	46693	29302	10039	10970	4060	phage	modB	False	
gene-b3565	280	346	112	391	266	158	59	58	10	54	33	14	27	9	host	xylA	False	
gene-b2272	32	28	11	46	29	16	8	9	3	3	5	0	2	1	host	yfbM	False	
gene-b3203	7188	9983	3926	11544	7359	5029	1478	1491	473	1239	644	342	453	173	host	hpf	False	
gene-b3999	5873	7346	2959	8870	6882	4483	1878	1905	394	1395	605	338	497	161	host	yjaG	False	
gene-b3861	341	555	239	857	728	572	334	329	71	218	116	37	60	19	host	yihF	False	
gene-b2335	33	39	20	41	38	26	13	16	3	10	3	2	1	0	host	yfcR	False	
gene-b1154	0	2	0	0	0	0	0	0	0	0	0	0	0	0	host	ycfK	False	
gene-b2164	157	149	59	271	218	123	38	36	10	24	12	4	7	0	host	psuT	False	
gene-b0244	282	270	136	469	190	218	84	92	13	55	27	16	19	6	host	thrW	False	
gene-b1111	1377	1611	572	1765	1014	682	201	177	73	167	78	50	90	30	host	comR	False	
gene-b1291	2113	2813	1202	3548	2738	1645	581	606	143	397	214	121	191	65	host	sapD	False	
gene-b1811	1154	1348	605	2079	1524	1046	322	343	111	325	169	70	94	33	host	yoaH	False	
gene-b4502	602	952	365	1209	962	672	216	216	43	142	71	39	63	19	host	yeiW	False	
gene-b3270	112	139	59	153	101	72	31	35	5	17	13	5	6	1	host	yhdY	False	
gene-b4264	597	687	245	974	714	486	118	74	31	86	46	21	40	10	host	idnR	False	
gene-b1330	423	598	246	823	634	453	144	136	41	103	55	22	41	14	host	ynaI	False	
gene-b1868	1163	1535	767	2008	1612	1073	433	514	140	305	257	68	96	32	host	yecE	False	
gene-b2048	885	870	390	1130	834	602	391	415	108	224	128	53	82	25	host	cpsG	False	
gene-b3114	462	487	190	655	500	256	146	115	27	85	40	24	32	13	host	tdcE	False	
gene-b2427	192	133	79	187	115	88	14	11	5	21	7	10	9	4	host	murR	False	
gene-b3693	573	555	255	749	454	332	102	100	38	70	52	23	35	14	host	dgoK	False	
gene-b2072	33	44	11	66	56	25	9	9	1	8	4	1	1	0	host	pphC	False	
gene-b2171	2484	3873	1261	3512	2909	2223	1414	1583	400	953	619	197	278	87	host	yeiP	False	
gene-b1512	1	0	0	1	0	0	0	0	0	0	0	0	0	0	host	lsrR	False	
gene-b4431	11	13	6	27	19	16	5	6	2	2	5	1	1	1	host	rprA	False	
gene-b2015	1734	1987	950	2869	2148	1359	321	301	103	274	139	101	139	37	host	yeeY	False	
gene-b3820	192	212	115	378	234	164	137	138	21	72	30	23	43	9	host	yigI	False	
gene-b1446	4221	4724	1866	5792	3318	2330	787	690	198	571	318	166	234	67	host	ydcY	False	
gene-b1440	125	153	54	190	128	67	51	24	9	22	9	3	10	0	host	ydcS	False	
gene-b4266	145	144	39	276	175	107	47	30	16	37	23	6	12	4	host	idnO	False	
gene-b0127	4721	6901	2214	8102	5298	3758	1379	1285	392	939	435	314	418	158	host	yadG	False	
gene-b2051	16	26	5	19	20	14	10	6	5	5	1	1	5	0	host	gmm	False	
gene-b0762	1398	1629	508	2255	1093	1027	711	513	127	442	189	100	131	40	host	acrZ	False	
gene-T4p079	0	0	68	615	311	208	36776	27373	40592	98495	45409	60485	68870	29485	phage	49	False	
gene-b4506	125	135	55	197	120	118	23	33	8	25	7	3	4	5	host	ykgO	False	
gene-b4603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	host	rseX	False	
gene-b3440	8802	11846	4670	14324	10085	6423	1796	1943	547	1640	924	462	803	215	host	yhhX	False	
gene-b3804	6245	6597	3142	9357	6714	4661	1056	1104	332	871	501	261	439	129	host	hemD	False	
gene-b0400	508	570	259	686	541	392	171	135	39	110	57	30	48	14	host	phoR	False	
gene-b1537	216	213	80	281	259	143	66	70	23	37	26	10	18	5	host	ydeJ	False	
gene-b4381	2606	3289	1157	3493	2365	1392	719	742	234	574	361	170	209	66	host	deoC	False	
gene-b4669	552	1589	233	619	282	310	64	51	13	35	14	14	22	6	host	ilvX	False	
gene-T4p114	0	6	123	850	403	184	78797	55855	91536	185111	110698	150550	146315	72763	phage	vs.3	False	
gene-b0998	271	244	125	450	311	183	44	38	15	41	20	10	12	4	host	torD	False	
gene-b3963	5502	6423	2279	7388	5412	3673	919	802	291	755	437	250	389	92	host	fabR	False	
gene-b2324	3714	4088	1987	5370	3624	2732	754	633	192	539	267	167	305	74	host	mnmC	False	
gene-b2647	1	2	1	6	3	1	1	2	0	2	3	1	0	1	host	ypjA	False	
gene-b1036	3467	4273	1697	4884	3947	2756	1523	1576	304	862	453	174	254	88	host	ycdZ	False	
gene-b3911	8277	8426	4464	12866	9734	6405	1504	1622	467	1275	765	429	639	188	host	cpxA	False	
gene-b3752	1347	1370	536	1840	1269	842	205	207	68	172	104	57	91	25	host	rbsK	False	
gene-b2983	98	87	35	123	88	70	20	17	8	15	6	5	6	1	host	yghQ	False	
gene-b2590	691	1742	629	1341	822	1110	1185	871	150	521	230	132	204	46	host	gltW	False	
gene-b4682	0	1	1	2	1	2	1	3	1	2	0	0	0	0	host	yqcG	False	
gene-b4476	552	583	255	783	561	374	166	188	45	132	65	36	52	15	host	gntU	False	
gene-b0377	982	1113	485	1810	1119	918	296	294	82	214	117	60	85	39	host	sbmA	False	
gene-b0971	61	76	38	136	68	77	74	40	7	33	17	26	37	8	host	serT	False	
gene-b4452	48	57	39	121	117	77	32	19	10	17	16	12	10	1	host	gadY	False	
gene-b2870	103	73	36	197	167	95	31	26	5	23	5	6	10	3	host	ygeW	False	
gene-b4063	323	353	145	476	361	225	121	103	29	89	48	15	20	4	host	soxR	False	
gene-b0385	383	368	220	616	434	345	127	91	33	77	54	23	29	10	host	dgcC	False	
gene-b2010	500	561	220	784	569	425	136	169	46	109	57	29	32	11	host	dacD	False	
gene-b0996	99	127	32	125	86	67	13	19	4	16	7	4	7	5	host	torC	False	
gene-b3525	101	100	40	145	86	66	16	18	7	22	9	3	4	2	host	pdeH	False	
gene-b0080	6437	8355	3390	10032	7606	4967	1688	1788	491	1152	685	410	508	184	host	cra	False	
gene-b0038	194	272	113	479	423	210	96	58	20	50	30	18	27	8	host	caiB	False	
gene-b3248	2810	2683	1261	4168	3158	2247	827	856	175	466	231	133	187	73	host	yhdE	False	
gene-b2465	997	1317	529	1493	1110	726	364	428	115	244	181	114	120	40	host	tktB	False	
gene-b1569	3	6	1	11	5	2	5	0	0	1	0	0	0	1	host	dicC	False	
gene-b3802	6677	9495	3550	9361	7159	5098	2202	2177	479	1266	743	469	738	206	host	hemY	False	
gene-b4027	52	61	15	58	38	19	11	11	0	4	6	3	3	1	host	yjbF	False	
gene-b1261	1940	2602	1109	2646	1676	1359	675	935	243	527	378	159	184	77	host	trpB	False	
gene-b1505	27	19	13	39	32	27	16	21	5	19	9	1	3	2	host	ydeT	False	
gene-b2198	678	2186	509	2268	2746	1446	671	516	123	367	196	120	278	70	host	ccmD	False	
gene-b3715	1224	1389	789	1627	1203	1082	498	787	165	483	375	79	133	57	host	yieH	False	
gene-b0953	1382	1934	636	3199	1689	1074	567	482	296	536	322	246	261	113	host	rmf	False	
gene-b2733	4621	5714	2490	5041	4112	3498	1716	1996	431	955	604	279	392	113	host	mutS	False	
gene-b1061	658	687	364	773	501	421	185	166	47	138	77	44	53	15	host	dinI	False	
gene-b2754	0	0	0	0	1	0	0	0	0	0	0	0	0	0	host	cas2	False	
gene-b4315	23	24	6	53	24	23	8	12	1	9	4	1	2	1	host	fimI	False	
gene-b0044	11	10	5	27	14	7	4	4	1	3	4	1	2	0	host	fixX	False	
gene-b1722	843	1066	517	1279	944	925	693	835	164	346	242	83	85	34	host	ydiY	False	
gene-b4300	650	779	283	1067	804	498	162	143	37	127	60	27	50	13	host	sgcR	False	
gene-b1188	485	463	217	891	526	319	118	93	31	126	52	34	44	21	host	ycgB	False	
gene-b2101	713	937	383	1132	925	627	228	193	46	151	78	55	58	25	host	yegW	False	
gene-T4p058	0	0	13	79	32	21	9731	6504	14246	32867	15682	13088	15623	7385	phage	47.1	False	
gene-b4501	0	0	0	0	1	0	0	0	0	0	0	0	0	0	host	torI	False	
gene-b2270	0	2	2	3	3	1	0	1	0	2	2	1	0	0	host	yfbK	False	
gene-b0674	6494	7752	3243	8251	5352	4241	1309	1409	410	969	717	290	390	134	host	asnB	False	
gene-b1668	419	490	218	1039	862	404	173	184	33	121	49	16	48	7	host	ydhS	False	
gene-T4p140	0	0	74	2151	950	412	1170	607	1282	2326	872	59650	57295	37868	phage	3	False	
gene-b3102	423	559	230	633	484	309	144	101	35	80	47	25	24	11	host	yqjG	False	
gene-b4376	526	516	206	646	379	298	187	192	76	148	95	45	61	22	host	osmY	False	
gene-b3897	333	345	147	513	341	236	104	101	27	81	48	17	28	4	host	frvR	False	
gene-b1688	2299	2680	1197	3226	2158	1722	530	559	118	345	248	137	184	54	host	ydiK	False	
gene-T4p250	0	3	32	4216	2058	859	3906	1932	8252	16672	6999	29685	25766	23080	phage	35	False	
gene-b2497	1805	1293	762	1273	772	706	460	413	107	257	143	81	100	63	host	uraA	False	
gene-b3890	73	107	46	169	87	70	24	35	5	18	10	5	6	2	host	yiiF	False	
gene-b3698	322	482	153	428	312	228	120	105	16	59	37	6	22	4	host	yidB	False	
gene-b2611	6137	5807	2836	9562	6829	4318	951	882	304	834	444	304	445	119	host	ypjD	False	
gene-b1038	8	12	6	21	18	8	11	9	0	3	1	2	3	0	host	csgF	False	
gene-T4p026	0	0	19	273	347	394	47182	40926	37108	85221	50445	11318	12578	5254	phage	mrh	False	
gene-b2200	1519	5032	1700	7336	6666	3769	1041	1182	293	687	415	256	445	114	host	ccmB	False	
gene-b2306	2631	2370	1163	2997	1463	1337	344	449	118	245	169	117	134	53	host	hisP	False	
gene-b2453	84	99	36	92	42	35	23	17	0	16	10	3	9	2	host	eutG	False	
gene-b2079	1997	2196	880	2594	1854	1291	303	279	85	280	158	123	150	48	host	baeR	False	
gene-b1529	1261	1259	484	1849	1391	885	227	189	69	204	104	50	92	32	host	marC	False	
gene-b1613	7523	11011	4324	12227	8915	5736	1829	1981	543	1455	924	361	533	166	host	manA	False	
gene-b0921	3457	3967	1502	4778	3426	2447	685	607	175	479	252	150	226	96	host	cmoM	False	
gene-b0399	449	566	198	670	504	347	147	109	24	99	45	24	43	16	host	phoB	False	
gene-b0697	202	184	84	259	195	114	25	20	19	25	16	11	11	6	host	kdpB	False	
gene-b1316	191	168	80	246	176	114	30	28	12	23	18	10	13	5	host	ycjT	False	
gene-b0632	9067	10845	4298	10988	8313	7128	2526	2842	615	1523	800	562	748	221	host	dacA	False	
gene-b1502	9	15	6	13	12	7	11	10	4	6	7	0	1	0	host	ydeQ	False	
gene-b3040	4267	4345	1827	6370	3976	2556	541	544	211	560	286	170	262	73	host	zupT	False	
gene-b0241	177	153	96	360	240	169	55	45	16	50	27	12	17	4	host	phoE	False	
gene-b4453	878	1009	357	1136	940	549	425	366	150	336	186	114	145	53	host	ldrD	False	
gene-b1884	95	80	36	158	101	51	14	20	7	15	8	5	7	1	host	cheR	False	
gene-b0336	2867	1471	1122	1230	629	734	451	357	96	244	150	76	118	60	host	codB	False	
gene-b0348	47	52	19	45	45	29	17	10	7	10	6	5	6	0	host	mhpB	False	
gene-b0040	51	80	30	76	52	20	13	14	4	14	2	5	6	2	host	caiT	False	
gene-b0749	1291	3089	1018	3330	3478	2018	748	596	125	468	134	104	192	35	host	lysQ	False	
gene-b0317	8	18	4	12	10	11	6	3	3	4	0	2	1	0	host	yahC	False	
gene-b3749	184	177	87	286	201	107	33	34	9	33	16	5	15	4	host	rbsA	False	
gene-b0570	1431	3514	894	5012	4003	1814	684	417	182	544	168	213	326	50	host	cusS	False	
gene-b1257	59	150	61	203	185	144	31	38	10	16	18	1	14	1	host	yciE	False	
gene-b1747	215	122	84	186	107	77	31	32	9	21	16	6	9	6	host	astA	False	
gene-b2196	1335	4173	994	4745	6987	3665	2587	1871	480	1504	713	333	802	221	host	ccmF	False	
gene-b3034	1750	2060	876	2657	1891	1393	541	580	125	386	197	107	147	56	host	nudF	False	
gene-b4523	1975	3175	816	3616	2380	1466	416	356	98	318	151	118	140	50	host	yciX	False	
gene-b0152	566	370	189	443	290	206	76	55	16	47	24	20	31	7	host	fhuD	False	
