Geneid	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	Entity	Symbol	is_outlier	outlier_info
gene-AUO97_RS17180	3	0	0	0	0	0	host	gene-AUO97_RS17180	False	
gene-AUO97_RS08455	0	0	0	0	0	0	host	gene-AUO97_RS08455	False	
gene-M172_gp35	3563	4180	29154	46956	157765	129184	phage	gene-M172_gp35	False	
gene-AUO97_RS10170	60	60	26	22	7	2	host	gene-AUO97_RS10170	False	
gene-AUO97_RS03240	101	63	26	33	11	14	host	gene-AUO97_RS03240	False	
gene-AUO97_RS13540	167	123	85	115	64	67	host	gene-AUO97_RS13540	False	
gene-AUO97_RS04845	5	10	0	6	5	2	host	gene-AUO97_RS04845	False	
gene-AUO97_RS07725	6	7	5	5	3	1	host	gene-AUO97_RS07725	False	
gene-AUO97_RS06740	22	28	6	8	7	1	host	gene-AUO97_RS06740	False	
gene-AUO97_RS09775	48	33	10	13	7	6	host	gene-AUO97_RS09775	False	
gene-AUO97_RS10955	962	705	206	229	135	94	host	ndhC	False	
gene-AUO97_RS18940	69	40	17	30	8	7	host	pgaA	False	
gene-AUO97_RS16235	84	60	35	35	15	17	host	gene-AUO97_RS16235	False	
gene-AUO97_RS00385	180	134	58	59	40	18	host	gene-AUO97_RS00385	False	
gene-AUO97_RS02225	121	107	52	71	23	41	host	gene-AUO97_RS02225	False	
gene-AUO97_RS09840	726	538	254	255	147	114	host	gene-AUO97_RS09840	False	
gene-AUO97_RS11310	72	73	18	34	17	9	host	gene-AUO97_RS11310	False	
gene-AUO97_RS14000	194	144	65	27	45	22	host	tssM	False	
gene-AUO97_RS11165	134	94	33	52	13	9	host	ccsA	False	
gene-AUO97_RS03495	193	133	46	47	26	23	host	gene-AUO97_RS03495	False	
gene-AUO97_RS11205	267	197	77	78	53	35	host	ligA	False	
gene-AUO97_RS06915	0	0	0	0	0	0	host	gene-AUO97_RS06915	False	
gene-AUO97_RS11470	507	398	114	135	74	54	host	cntA	False	
gene-AUO97_RS17205	12	21	2	9	0	3	host	gene-AUO97_RS17205	False	
gene-AUO97_RS08780	73	56	17	34	9	10	host	gspN	False	
gene-AUO97_RS06405	825	603	195	238	104	79	host	gene-AUO97_RS06405	False	
gene-AUO97_RS03680	1	1	0	0	0	0	host	cadR	False	
gene-AUO97_RS04175	197	164	37	44	36	25	host	gene-AUO97_RS04175	False	
gene-AUO97_RS07195	14	11	7	18	6	5	host	gene-AUO97_RS07195	False	
gene-AUO97_RS18605	53	25	13	13	7	4	host	gene-AUO97_RS18605	False	
gene-AUO97_RS13185	0	0	0	0	0	0	host	gene-AUO97_RS13185	False	
gene-AUO97_RS16925	1	0	0	0	0	0	host	gene-AUO97_RS16925	False	
gene-AUO97_RS06695	748	615	211	218	124	91	host	gene-AUO97_RS06695	False	
gene-AUO97_RS02835	41	38	21	17	5	0	host	gene-AUO97_RS02835	False	
gene-AUO97_RS19130	0	0	0	0	0	0	host	gene-AUO97_RS19130	False	
gene-AUO97_RS00465	40	25	8	11	3	4	host	gene-AUO97_RS00465	False	
gene-AUO97_RS11865	489	395	128	149	89	68	host	gene-AUO97_RS11865	False	
gene-AUO97_RS05340	0	0	0	0	0	0	host	gene-AUO97_RS05340	False	
gene-AUO97_RS00890	0	0	0	0	0	0	host	gene-AUO97_RS00890	False	
gene-AUO97_RS08390	0	0	0	0	0	0	host	gene-AUO97_RS08390	False	
gene-AUO97_RS06370	50	45	11	22	16	12	host	gene-AUO97_RS06370	False	
gene-AUO97_RS11850	347	283	115	137	67	34	host	betB	False	
gene-AUO97_RS15960	227	145	51	79	27	25	host	gene-AUO97_RS15960	False	
gene-AUO97_RS18045	57	45	37	44	30	18	host	gene-AUO97_RS18045	False	
gene-AUO97_RS18700	84	59	26	39	14	14	host	tsaE	False	
gene-AUO97_RS03150	127	110	27	25	21	12	host	gene-AUO97_RS03150	False	
gene-AUO97_RS08345	0	0	0	0	0	0	host	gene-AUO97_RS08345	False	
gene-AUO97_RS04675	589	561	148	142	81	66	host	gene-AUO97_RS04675	False	
gene-AUO97_RS06145	660	568	133	133	53	48	host	gene-AUO97_RS06145	False	
gene-AUO97_RS14590	9	3	1	4	2	2	host	gene-AUO97_RS14590	False	
gene-M172_gp24	36105	39313	99434	120094	75742	56909	phage	gene-M172_gp24	False	
gene-AUO97_RS04885	17	17	10	19	5	3	host	gene-AUO97_RS04885	False	
gene-AUO97_RS16615	0	0	0	0	0	0	host	gene-AUO97_RS16615	False	
gene-AUO97_RS06285	10	6	5	8	2	2	host	gene-AUO97_RS06285	False	
gene-AUO97_RS03835	0	0	0	0	0	0	host	gene-AUO97_RS03835	False	
gene-AUO97_RS08005	0	0	0	0	0	0	host	gene-AUO97_RS08005	False	
gene-AUO97_RS13350	11	19	7	15	5	5	host	gene-AUO97_RS13350	False	
gene-AUO97_RS08180	0	0	0	0	0	0	host	gene-AUO97_RS08180	False	
gene-AUO97_RS13630	39	22	9	6	6	5	host	gene-AUO97_RS13630	False	
gene-AUO97_RS16535	62	48	16	22	16	5	host	adeB	False	
gene-AUO97_RS13125	0	0	0	0	0	0	host	gene-AUO97_RS13125	False	
gene-AUO97_RS16525	1	0	0	0	0	0	host	gene-AUO97_RS16525	False	
gene-AUO97_RS17025	0	0	0	0	0	0	host	gene-AUO97_RS17025	False	
gene-AUO97_RS12770	0	0	0	0	0	0	host	gudD	False	
gene-AUO97_RS16255	285	266	135	138	51	36	host	gene-AUO97_RS16255	False	
gene-AUO97_RS03555	0	0	0	0	0	0	host	gene-AUO97_RS03555	False	
gene-AUO97_RS02930	16	17	5	15	0	1	host	sbmA	False	
gene-AUO97_RS16310	9	3	2	3	1	2	host	gene-AUO97_RS16310	False	
gene-AUO97_RS12495	148	117	21	27	16	9	host	dnaQ	False	
gene-AUO97_RS09685	129	105	19	32	24	8	host	gene-AUO97_RS09685	False	
gene-AUO97_RS11185	104	58	20	23	9	7	host	gene-AUO97_RS11185	False	
gene-AUO97_RS11685	19	20	4	17	3	1	host	gene-AUO97_RS11685	False	
gene-AUO97_RS11160	32	31	14	15	6	1	host	gene-AUO97_RS11160	False	
gene-AUO97_RS00490	205	179	49	57	38	17	host	queF	False	
gene-AUO97_RS02085	273	221	79	104	47	37	host	radA	False	
gene-AUO97_RS08805	361	288	96	149	58	38	host	trpE	False	
gene-AUO97_RS15260	173	155	46	28	24	20	host	gene-AUO97_RS15260	False	
gene-AUO97_RS00980	7	0	0	0	0	1	host	gene-AUO97_RS00980	False	
gene-AUO97_RS08090	0	0	0	0	0	0	host	gene-AUO97_RS08090	False	
gene-AUO97_RS13465	17	6	4	3	3	1	host	benA	False	
gene-AUO97_RS14840	350	327	110	145	47	50	host	gene-AUO97_RS14840	False	
gene-AUO97_RS15295	626	425	153	146	93	57	host	gene-AUO97_RS15295	False	
gene-AUO97_RS18870	227	190	130	104	62	37	host	gene-AUO97_RS18870	False	
gene-AUO97_RS00650	2	0	1	1	0	0	host	gene-AUO97_RS00650	False	
gene-AUO97_RS03880	263	182	54	78	29	20	host	gene-AUO97_RS03880	False	
gene-AUO97_RS02870	173	140	41	63	36	22	host	gene-AUO97_RS02870	False	
gene-AUO97_RS11085	31	26	15	9	3	5	host	gene-AUO97_RS11085	False	
gene-AUO97_RS16125	683	459	202	247	91	73	host	gene-AUO97_RS16125	False	
gene-AUO97_RS06275	403	303	91	107	61	63	host	gene-AUO97_RS06275	False	
gene-AUO97_RS03170	85	69	22	29	13	10	host	gene-AUO97_RS03170	False	
gene-AUO97_RS17105	10	9	7	8	2	2	host	gene-AUO97_RS17105	False	
gene-AUO97_RS14760	49	49	13	11	1	12	host	gene-AUO97_RS14760	False	
gene-AUO97_RS14670	33	18	10	10	3	1	host	madM	False	
gene-AUO97_RS14460	102	56	13	16	4	3	host	gene-AUO97_RS14460	False	
gene-AUO97_RS05940	1	0	0	0	0	0	host	gene-AUO97_RS05940	False	
gene-AUO97_RS12325	117	117	26	34	12	10	host	gene-AUO97_RS12325	False	
gene-AUO97_RS16145	20	32	5	6	0	0	host	gene-AUO97_RS16145	False	
gene-AUO97_RS18485	19	25	5	12	4	2	host	gene-AUO97_RS18485	False	
gene-AUO97_RS12505	127	111	21	36	11	11	host	gene-AUO97_RS12505	False	
gene-AUO97_RS14260	3	1	2	6	2	1	host	gene-AUO97_RS14260	False	
gene-AUO97_RS14785	5	3	4	1	2	2	host	gene-AUO97_RS14785	False	
gene-AUO97_RS16325	75	70	24	52	9	3	host	gene-AUO97_RS16325	False	
gene-AUO97_RS08185	0	0	0	0	0	0	host	gene-AUO97_RS08185	False	
gene-AUO97_RS19670	1	6	3	1	0	0	host	gene-AUO97_RS19670	False	
gene-AUO97_RS07545	185	153	52	60	35	20	host	gene-AUO97_RS07545	False	
gene-AUO97_RS06900	153	113	48	66	20	12	host	gene-AUO97_RS06900	False	
gene-M172_gp16	173470	186316	271505	354087	160806	124836	phage	gene-M172_gp16	False	
gene-AUO97_RS05045	119	71	34	41	32	15	host	gene-AUO97_RS05045	False	
gene-AUO97_RS06105	133	92	25	31	10	7	host	gene-AUO97_RS06105	False	
gene-AUO97_RS12865	0	0	0	0	0	0	host	gene-AUO97_RS12865	False	
gene-AUO97_RS16330	16	22	4	3	5	1	host	gene-AUO97_RS16330	False	
gene-AUO97_RS07865	82	66	42	38	29	26	host	gene-AUO97_RS07865	False	
gene-AUO97_RS06745	40	39	16	14	8	4	host	gene-AUO97_RS06745	False	
gene-AUO97_RS17055	61	65	28	26	6	8	host	gene-AUO97_RS17055	False	
gene-AUO97_RS03805	0	2	0	0	0	0	host	gene-AUO97_RS03805	False	
gene-AUO97_RS05125	0	0	0	0	0	0	host	gene-AUO97_RS05125	False	
gene-AUO97_RS16740	9	11	4	3	4	4	host	gene-AUO97_RS16740	False	
gene-AUO97_RS11235	160	147	42	50	23	19	host	bioA	False	
gene-AUO97_RS12305	79	57	19	14	19	6	host	ureG	False	
gene-AUO97_RS17160	2	2	0	1	2	0	host	gene-AUO97_RS17160	False	
gene-AUO97_RS17460	264	199	52	55	19	25	host	cydP	False	
gene-AUO97_RS17845	104	78	31	33	9	14	host	gene-AUO97_RS17845	False	
gene-AUO97_RS07460	68	39	22	34	11	5	host	gene-AUO97_RS07460	False	
gene-AUO97_RS16230	282	188	69	74	45	23	host	aroC	False	
gene-AUO97_RS09360	18	17	6	1	3	1	host	crcB	False	
gene-AUO97_RS11430	219	175	69	84	46	27	host	gene-AUO97_RS11430	False	
gene-AUO97_RS15585	0	0	0	0	0	0	host	gene-AUO97_RS15585	False	
gene-AUO97_RS09520	465	412	144	183	72	60	host	gene-AUO97_RS09520	False	
gene-AUO97_RS04695	180	140	34	39	8	14	host	gene-AUO97_RS04695	False	
gene-AUO97_RS04850	7	1	0	2	2	1	host	pilV	False	
gene-AUO97_RS05840	51	44	20	28	17	8	host	alc	False	
gene-AUO97_RS06400	19	22	9	14	4	8	host	gene-AUO97_RS06400	False	
gene-AUO97_RS14500	8	14	7	6	4	5	host	gene-AUO97_RS14500	False	
gene-AUO97_RS00935	0	0	0	0	1	0	host	gene-AUO97_RS00935	False	
gene-AUO97_RS13095	0	0	0	0	0	0	host	gene-AUO97_RS13095	False	
gene-AUO97_RS00915	0	0	0	0	0	0	host	gene-AUO97_RS00915	False	
gene-AUO97_RS10115	417	273	141	220	127	105	host	holA	False	
gene-AUO97_RS09915	139	112	37	38	9	12	host	iscX	False	
gene-AUO97_RS03135	294	211	67	89	35	31	host	gene-AUO97_RS03135	False	
gene-AUO97_RS10860	402	407	257	293	66	32	host	gene-AUO97_RS10860	False	
gene-AUO97_RS07900	447	379	133	154	69	50	host	gshA	False	
gene-AUO97_RS07390	404	311	119	134	53	40	host	tyrS	False	
