Geneid	0_R1	0_R2	10_R1	10_R2	35_R1	35_R2	Entity	Symbol
gene-PA1715	3	22	0	0	0	1	host	pscB
gene-PA2803	7	2	0	0	0	0	host	gene-PA2803
gene-PA5220	7	7	0	0	0	0	host	gene-PA5220
gene-PA3642	9	13	0	0	0	0	host	rnhB
gene-PA0615	7	3	3	5	8	10	host	gene-PA0615
gene-PA1578a	1	11	1	0	0	0	host	gene-PA1578a
gene-PA2496	3	4	0	0	0	0	host	gene-PA2496
gene-PA1420	3	2	2	1	1	1	host	gene-PA1420
gene-PHIKZ060	2	2	5071	5177	2690	2667	phage	gene-PHIKZ060
gene-PA2021	1	3	0	0	0	0	host	gene-PA2021
gene-PA4166	2	1	0	0	0	0	host	gene-PA4166
gene-PA2032	6	12	0	1	3	1	host	gene-PA2032
gene-PA2393	7	3	0	0	1	1	host	gene-PA2393
gene-PA2135	4	1	2	3	0	5	host	gene-PA2135
gene-PA0255	14	8	0	0	0	0	host	gene-PA0255
gene-PA2014	10	10	2	2	3	0	host	liuB
gene-PA0221	13	12	0	0	0	0	host	gene-PA0221
gene-PA4597	11	5	1	0	0	0	host	oprJ
gene-PA2341	6	4	1	0	0	1	host	gene-PA2341
gene-PA2551	5	6	1	3	2	3	host	gene-PA2551
gene-PA1076	2	9	0	0	0	0	host	gene-PA1076
gene-PA3467	12	7	0	0	1	5	host	gene-PA3467
gene-PA2017	7	3	0	0	0	0	host	gene-PA2017
gene-PHIKZ241	1	1	347	319	133	124	phage	gene-PHIKZ241
gene-PA1008	5	21	0	0	1	2	host	bcp
gene-PA2435	9	10	0	0	0	0	host	gene-PA2435
gene-PA4123	18	5	1	0	0	0	host	hpcC
gene-PA3204	10	10	1	1	0	0	host	gene-PA3204
gene-PA5542	15	6	1	1	1	1	host	gene-PA5542
gene-PA1866	10	10	1	1	0	1	host	gene-PA1866
gene-PA2287	5	3	0	0	0	0	host	gene-PA2287
gene-PA0966	6	14	2	3	2	2	host	ruvA
gene-PA5214	7	22	2	0	3	0	host	gcvH1
gene-PA2392	6	7	0	0	0	1	host	pvdP
gene-PA2291	9	15	1	0	0	0	host	gene-PA2291
gene-PA5328	5	0	1	0	0	1	host	gene-PA5328
gene-PA1231	6	2	0	0	0	1	host	gene-PA1231
gene-PA1044	1	2	0	0	2	0	host	gene-PA1044
gene-PA4118	17	10	1	0	0	0	host	gene-PA4118
gene-PA4181	9	3	1	0	0	0	host	gene-PA4181
gene-PA1807	7	11	1	1	1	1	host	gene-PA1807
gene-PA1330	9	7	0	0	0	0	host	gene-PA1330
gene-PA2495	8	1	0	0	0	0	host	oprN
gene-PA3782	7	6	0	0	1	0	host	gene-PA3782
gene-PA0441	19	9	0	0	3	1	host	dht
gene-PA3789	11	11	0	0	0	1	host	gene-PA3789
gene-PA3110	10	10	4	1	1	2	host	gene-PA3110
gene-PA1726	16	25	1	1	3	1	host	bglX
gene-PA1490	1	1	1	1	0	0	host	gene-PA1490
gene-PA2321	2	11	0	1	0	0	host	gene-PA2321
gene-PA3726	6	5	0	0	1	0	host	gene-PA3726
gene-PA2754	4	1	1	1	0	0	host	gene-PA2754
gene-PA4324	6	14	0	1	1	1	host	gene-PA4324
gene-PA0564	13	6	4	2	8	5	host	gene-PA0564
gene-PA2166	3	1	0	2	2	3	host	gene-PA2166
gene-PA0543	6	2	0	0	0	0	host	gene-PA0543
gene-PA5099	15	3	0	0	2	3	host	gene-PA5099
gene-PA2662	7	0	0	0	0	1	host	gene-PA2662
gene-PA1286	6	1	1	2	5	4	host	gene-PA1286
gene-PHIKZ219	0	2	2658	2498	2534	2705	phage	gene-PHIKZ219
gene-PHIKZ_p25	0	0	168	148	47	48	phage	gene-PHIKZ_p25
gene-PA3833	7	4	2	0	0	2	host	gene-PA3833
gene-PA1131	6	9	0	0	0	1	host	gene-PA1131
gene-PA1848	8	5	0	0	0	0	host	gene-PA1848
gene-PA2911	29	19	1	1	0	0	host	gene-PA2911
gene-PA5125	18	20	0	0	0	0	host	ntrC
gene-PA2217	9	1	0	0	3	1	host	gene-PA2217
gene-PA2725	11	12	1	1	0	0	host	gene-PA2725
gene-PA1225	7	5	2	1	1	1	host	gene-PA1225
gene-PA2693	4	3	0	0	0	1	host	gene-PA2693
gene-PA5446	6	15	6	2	4	7	host	gene-PA5446
gene-PA3178	5	2	1	2	1	2	host	gene-PA3178
gene-PHIKZ_p52	0	0	8	14	68	82	phage	gene-PHIKZ_p52
gene-PA1692	0	4	0	1	0	0	host	gene-PA1692
gene-PA3198	6	9	0	3	3	1	host	gene-PA3198
gene-PA4966	10	8	0	0	0	0	host	gene-PA4966
gene-PA0025	8	14	0	0	1	1	host	aroE
gene-PA4139	3	4	5	5	1	2	host	gene-PA4139
gene-PA2609	6	4	1	1	1	0	host	gene-PA2609
gene-PA4732	15	18	2	5	6	8	host	pgi
gene-PA3388	11	8	0	0	0	0	host	gene-PA3388
gene-PA1989	12	5	0	0	0	7	host	pqqE
gene-PA0436	16	15	4	2	3	4	host	gene-PA0436
gene-PA3063	21	13	0	0	0	2	host	pelB
gene-PHIKZ001	0	0	141	125	1664	1524	phage	gene-PHIKZ001
gene-PA2494	19	14	2	1	3	2	host	mexF
gene-PA0122	14	7	1	3	2	2	host	gene-PA0122
gene-PA3261	3	6	3	1	1	1	host	gene-PA3261
gene-PA2888	18	2	0	0	0	0	host	atuC
gene-PA0297	13	26	4	6	6	5	host	spuA
gene-PA1667	5	3	2	2	0	0	host	gene-PA1667
gene-PA4383	3	4	0	0	0	1	host	gene-PA4383
gene-PA2631	1	11	0	2	1	0	host	gene-PA2631
gene-PA3260	4	14	0	0	1	1	host	gene-PA3260
gene-PHIKZ010	0	0	2786	2692	2994	2891	phage	gene-PHIKZ010
gene-PA3264	7	5	0	0	1	0	host	gene-PA3264
gene-PA4868	28	6	0	1	1	2	host	ureC
gene-PA0732	3	3	2	3	3	1	host	gene-PA0732
gene-PA4960	22	23	0	0	2	2	host	gene-PA4960
gene-PA2048	1	0	1	2	7	2	host	gene-PA2048
gene-PA4607	6	15	1	1	2	2	host	gene-PA4607
gene-PHIKZ_p40	1	2	728	724	1043	1025	phage	gene-PHIKZ_p40
gene-PA1085	15	8	1	0	1	3	host	flgJ
gene-PA0910	2	0	1	1	0	2	host	gene-PA0910
gene-PA0048	7	1	0	1	0	0	host	gene-PA0048
gene-PA2059	7	2	0	0	0	0	host	gene-PA2059
gene-PA0565	4	1	0	0	0	0	host	gene-PA0565
gene-PA5547	11	11	1	2	1	2	host	gene-PA5547
gene-PA1866a	1	4	0	0	0	0	host	gene-PA1866a
gene-PA4876	7	1	0	1	0	0	host	osmE
gene-PA2450	4	8	0	1	1	3	host	gene-PA2450
gene-PA4452	13	24	0	0	0	0	host	gene-PA4452
gene-PA0627	3	1	2	0	1	2	host	gene-PA0627
gene-PA3490	1	0	0	0	0	0	host	gene-PA3490
gene-PA4587	4	1	5	3	0	0	host	ccpR
gene-PA3095	3	0	0	0	0	2	host	xcpZ
gene-PA1196	8	2	0	0	0	0	host	gene-PA1196
gene-PA3486	24	18	0	0	5	2	host	gene-PA3486
gene-PA2442	3	0	0	0	0	0	host	gcvT2
gene-PA0334	13	10	2	3	4	2	host	gene-PA0334
gene-PA5082	14	4	2	3	0	4	host	gene-PA5082
gene-PA2716	3	4	1	3	2	0	host	gene-PA2716
gene-PA5167	22	7	6	5	8	2	host	gene-PA5167
gene-PA2172	3	2	0	0	1	0	host	gene-PA2172
gene-PA4769	12	28	1	2	0	1	host	gene-PA4769
gene-PA3619	8	8	1	3	0	0	host	gene-PA3619
gene-PA4065	23	8	0	0	1	1	host	gene-PA4065
gene-PA5196	11	4	0	0	0	0	host	gene-PA5196
gene-PA2705	8	9	1	1	0	2	host	gene-PA2705
gene-PA1842	1	4	0	0	0	0	host	gene-PA1842
gene-PA0146	16	4	0	0	1	0	host	gene-PA0146
gene-PA0157	11	4	1	2	6	5	host	gene-PA0157
gene-PHIKZ257	2	1	6895	6520	5510	5304	phage	gene-PHIKZ257
gene-PA0309	3	6	1	0	1	0	host	gene-PA0309
gene-PA2438	5	4	0	0	0	0	host	gene-PA2438
gene-PA2449	10	10	1	1	2	1	host	gene-PA2449
gene-PA3724	16	25	0	0	0	0	host	lasB
gene-PA3734	20	12	0	1	0	1	host	gene-PA3734
gene-PA0391	25	18	2	0	1	1	host	gene-PA0391
gene-PA4183	0	1	0	0	0	0	host	gene-PA4183
gene-PA0740	16	4	0	1	3	5	host	sdsA1
gene-PA2592	7	19	1	2	0	0	host	gene-PA2592
gene-PA1879	0	2	0	0	1	1	host	gene-PA1879
gene-PA0487	4	5	0	0	0	0	host	gene-PA0487
gene-PA0112	16	3	0	0	2	3	host	gene-PA0112
gene-PA2654	12	14	0	1	2	2	host	gene-PA2654
gene-PA2570	2	6	0	0	0	1	host	lecA
gene-PA3269	8	6	0	0	1	0	host	gene-PA3269
gene-PA3511	3	0	0	0	0	0	host	gene-PA3511
gene-PA5269	4	2	1	1	1	1	host	gene-PA5269
gene-PA5440	15	6	0	4	2	5	host	gene-PA5440
gene-PA4559	9	29	0	0	0	0	host	lspA
gene-PA1145	6	4	0	0	1	0	host	gene-PA1145
gene-PA3730	16	10	1	1	2	2	host	gene-PA3730
gene-PA5543	3	1	0	0	1	0	host	gene-PA5543
gene-PA5230	23	8	0	1	2	2	host	gene-PA5230
gene-PA2130	9	5	0	0	1	0	host	cupA3
gene-PA5113	11	9	1	2	1	0	host	gene-PA5113
gene-PA0406	19	20	0	0	1	0	host	tonB3
gene-PHIKZ_p23	0	1	359	304	167	140	phage	gene-PHIKZ_p23
gene-PA2374	4	1	0	1	0	0	host	gene-PA2374
gene-PA2721	2	1	1	0	1	0	host	gene-PA2721
gene-PHIKZ250	1	1	2818	3134	1485	1528	phage	gene-PHIKZ250
gene-PA0206	17	5	0	0	0	1	host	gene-PA0206
gene-PA4150	11	1	0	0	1	2	host	gene-PA4150
gene-PA0447	15	11	2	1	0	2	host	gcdH
gene-PA2027	1	0	0	0	0	0	host	gene-PA2027
gene-PA1200	4	8	0	0	0	1	host	gene-PA1200
gene-PA3912	4	2	0	0	0	0	host	gene-PA3912
gene-PA3943	23	6	1	0	3	1	host	gene-PA3943
gene-PA5293	14	2	0	0	2	1	host	gene-PA5293
