Geneid	0_R1	0_R2	0_R3	30_R1	30_R2	30_R3	45_R1	45_R2	45_R3	75_R1	75_R2	75_R3	135_R1	135_R2	135_R3	gene_length	Entity	Symbol
gene-FTB24_07795	415.96280534305043	376.67685465406436	452.75963668804417	384.4528527365046	353.591030871308	415.88843420235503	328.8781930382728	334.6617220924713	304.70291918993723	420.3205687173449	355.67393678674864	333.8645433162343	748.9327699329375	591.6759821145075	610.543324263515	798	host	gene-FTB24_07795
gene-FTB24_03575	4.3722117842960255	3.8443148320692386	6.216389496685299	2.36517264484432	4.042179513164925	3.830221735575336	4.188738272056874	3.5149738169044906	3.570920026700233	3.213501158782988	4.581487367492004	4.860984592191223	5.685709453947665	9.945345209770966	9.320253486294508	876	host	dpsA
gene-FTB24_07525	0.7026566724049944	0.4960719391887325	4.824388667651883	0.7751183078502147	0.30311156082284485	2.344447284749775	0.8824758841562822	0.7698562515272361	1.4014901180060053	0.809846667173158	1.11654635638159	2.032079457293969	1.3506017169434354	6.9500976476271354	6.833012961709819	792	host	asrB
gene-FTB24_09150	436.19036725967857	483.63976895763534	413.64927086962564	1014.8513273496026	1088.2138050055594	1052.70971312223	915.8586861740797	732.7271843107225	868.2686310306296	660.217854381165	682.1484750482515	737.0642488670553	695.6081200014744	508.8071486493074	619.4061361557862	231	host	gene-FTB24_09150
gene-FTB24_13070	0.6482284036630817	0.30101112010179104	2.7553965369312934	0.5381700132474883	0.5199413654708701	1.236363028747667	0.6055007799210926	0.653996696841949	0.6938069891118839	0.6468082292274068	0.7296243516949005	1.106577922288795	1.1307946305844483	4.7376903260767635	2.6842443180436217	1212	host	spoIIIAE
gene-FTB24_00685	431.9318056414855	442.22565046826395	320.3568392733839	324.7352248822425	433.51723202070986	466.1435160211966	523.1854590040364	539.9326247640086	558.6040815524444	490.54509188039907	488.24945956871	475.0836729166921	529.9174962429195	385.0165769266369	441.27938946358785	591	host	gene-FTB24_00685
gene-FTB24_05790	125.31182492882624	116.09830792849101	76.79473433474213	128.42011471636195	157.8048612201674	161.53867203241998	112.81668412739846	106.81808219820643	116.01010437996742	88.0797617192164	88.31658134397016	92.16732990548398	96.16099210703433	84.38474723442033	94.65473272415572	657	host	gene-FTB24_05790
gene-FTB24_09125	63.071605516621524	79.68466263869033	62.06211959283651	153.00470157970014	180.57196773123866	176.5215696018266	117.8895375381049	134.1823170462948	144.991857234548	75.43304767952145	75.91795741248131	90.64031903882707	82.02253725489729	86.04309370680956	99.19542177092455	573	host	gene-FTB24_09125
gene-FTB24_15240	57.92346566780298	53.86987872455629	53.3427413140536	57.08964534159524	59.47975223288823	64.62695379550107	54.99551855868528	52.608632617769516	53.805197023715806	51.5551717450823	55.86554151368857	57.85978519085952	44.74909200762855	38.892771637547916	42.296084447638684	1119	host	gene-FTB24_15240
gene-FTB24_06415	34.95072092231548	15.47360807093533	41.62266957312022	47.26327591795698	19.215677632164034	26.69719630627603	24.34837221428491	18.528645572471298	19.389036219030448	18.44177147352209	15.173148172088975	15.756255190484252	30.578943008615937	36.62307093856467	28.145753246947272	798	host	cas5
gene-FTB24_14675	0.7811611486350037	0.7533825040028307	4.958236580272358	1.0014112366521233	0.9174719055778728	1.919062465981448	1.798118647180183	0.8184243640396927	1.8310295948892779	1.1957467568999651	1.4964142184649498	2.800360057478937	1.4707055608998147	5.197388458618564	4.5488032906443925	1341	host	gene-FTB24_14675
gene-FTB24_11645	5.745617392054998	3.6838515433560235	10.428021494708481	6.394726039764271	3.7620704783543357	6.053849905287729	4.329598497134892	4.226715207499976	4.961026966392939	3.416167357102112	3.4112049335878667	4.055167412564513	7.789864327591895	12.55769855730936	10.611809991176536	678	host	gene-FTB24_11645
gene-FTB24_18985	474.6652485822916	626.2075952093994	666.4388066477253	308.28528094026365	534.9108401325664	574.9950662533917	362.4636296654557	413.6921037567264	335.57540127883334	390.7227664459149	448.87560406016956	340.75137039112013	317.9489193067247	202.14702617602342	230.24837922918096	86	host	gene-FTB24_18985
gene-FTB24_02870	33.80632289290571	29.724577611202022	22.353580695417854	33.40796127316101	37.25297738879272	36.12732146416181	45.995962672332574	36.99195263179563	38.2462723792293	34.46767964772488	32.31643156572453	35.30500664588307	30.355404710601352	25.35175805681889	26.604122423226734	642	host	gene-FTB24_02870
gene-FTB24_11145	24.97067931143104	22.169283903055085	22.91813850916029	21.44939455344129	19.50366112053202	23.72529593423729	18.842381636881722	18.98624796869929	17.71413214984393	20.143772273134648	17.66334872535757	21.37187015429864	40.58791021780014	43.6557857697641	43.63757928905374	957	host	gene-FTB24_11145
