Geneid	0_R1	0_R2	5_R1	5_R2	10_R1	10_R2	15_R1	15_R2	gene_length	Entity	Symbol
gene-PA2589	27.651140245721407	30.984386803869	13.47212420847465	23.334949376404072	0.7820258865758288	1.6139557922303966	0.0	0.0	1215	host	gene-PA2589
gene-PA4119	48.56938203012403	53.82617953488823	86.20406614809292	73.77834366034077	10.596596121073963	4.859866883667737	5.064361358813575	3.2888968976877377	807	host	aph
gene-PA2246	181.7972694726813	131.62947540804487	79.71735834397744	128.87256132877704	2.0566265198909788	4.2444941289176015	0.0	3.8299275561818242	462	host	bkdR
gene-PA1033	95.93911977779507	90.21334763168184	82.86300695983532	48.578130594336514	4.4400067859328605	6.108898092087015	3.1829747792543266	1.37805804591589	642	host	gene-PA1033
gene-PA2214	6.3484760768237924	4.377699862399074	9.279269225224889	2.1430055549758844	0.0	1.4822042989870992	0.0	0.0	1323	host	gene-PA2214
gene-PA3210	48.10443212851018	35.82492938940602	39.37471353713983	48.71471390434871	4.57122348132469	2.021604420164878	0.9362977357531628	4.8644028342433066	1455	host	trkH
gene-PA4724	209.49971053518516	137.89754566557082	830.4945956576275	128.58033329855306	8.618244464305054	5.558266121201621	1.5445727953751154	2.0061525294285745	882	host	gene-PA4724
gene-PA5368	63.31621715557889	52.677675999089736	84.49883214828681	85.02801244012724	10.744205211583845	13.015196598849109	8.037246050270513	3.9146604667168208	2034	host	pstC
gene-PA1496	55.862118718248794	81.57319602752078	43.22701825694552	43.26003819252375	0.0	1.150795943403716	2.398438742114176	4.153583406000007	852	host	gene-PA1496
gene-PA3978	270.2785634673998	279.5627838356654	268.33821169338853	304.69323243124336	25.96069541501727	25.003085633733193	9.925779275197463	16.114995728196746	549	host	gene-PA3978
gene-PA3440	502.50629869628324	426.95201638763274	432.8243751112109	363.48671144014037	24.363114158708516	18.8553489188455	6.549582718850249	8.50685832190386	312	host	gene-PA3440
gene-PA2568	754.8151335458878	461.3484064546671	431.2813292106362	514.2267888314927	18.63061670960063	36.04699058014581	6.6780059094159405	10.842074331838253	408	host	gene-PA2568
gene-PA3091	474.38987484065797	333.8269751320694	193.2407816153083	163.4175673516298	10.55734946877369	10.894201597555178	5.2032796044199205	4.9150736971000075	1440	host	gene-PA3091
gene-PA0504	163.00890537870697	147.5323086815059	238.26245870883116	276.50386520905	17.979765470837286	15.699067804337155	2.9744829814865756	1.2877922350480369	687	host	bioD
gene-PA4546	114.23670228634904	94.52863770671898	113.02883869821954	119.24554638959032	8.350445907504612	5.539424541129752	2.5655615923179886	3.3322533539661072	1593	host	pilS
gene-PA0925	164.6869382281937	99.36734908254368	260.77475719712885	194.57229847678101	6.9864812661002365	19.225061642744432	18.364516250893836	8.673659465470603	408	host	gene-PA0925
gene-PA5205	418.75524891356946	334.13636065119084	99.09783672579913	141.3559433378324	1.3535063421504734	15.363617637577816	7.762468407526223	2.52055061389744	702	host	gene-PA5205
gene-PA1439	240.1684515827825	220.02770153991816	220.65556378218594	180.67427715701095	18.63061670960063	14.418796232058325	3.3390029547079703	13.010489198205905	408	host	gene-PA1439
gene-PA1503	45.365151965636684	26.813411657194326	37.89034933633496	19.68886353634094	2.199447805994519	0.0	0.0	0.0	432	host	gene-PA1503
gene-PA0730	232.53139118598776	214.86361766495918	163.14250079697712	188.38513948392657	9.470047696242181	6.514804942059575	6.788936240137136	1.9594978194418635	903	host	gene-PA0730
gene-PA1695	113.50045742753889	33.91534231234309	51.61280017706167	20.433847562040324	5.136007849673687	5.299881858270086	0.6136545970814647	3.188155911632437	1110	host	pscP
gene-PA4506	106.57210303038458	101.29511070495634	58.94054341207661	55.42050476895968	1.9550647164395722	6.052334220863988	0.7007783979016727	1.8203976655925955	972	host	gene-PA4506
gene-PA0550	91.21757731436291	130.639780104225	158.96853330582638	238.04280125140022	8.334749580610808	8.600685471754087	8.535797027073006	2.2173264798947403	798	host	gene-PA0550
gene-PA4637	220.76313583277576	1328.561300175822	821.3649920650674	934.9034556610922	91.95110827641601	154.62737751368638	68.35980242756962	28.53913759606456	279	host	gene-PA4637
gene-PA2937	36.241785758955245	74.9734228861356	13.243228894252995	18.350785431929417	3.0749561559535024	6.346136852944764	0.0	0.0	309	host	gene-PA2937
gene-PA1816	581.8493984904333	949.6507092191739	745.5348088039996	880.0204592761294	35.90353665493886	63.512754252953265	20.223272956449893	22.684955525076962	741	host	dnaQ
gene-PA4733	291.81369756223796	282.4124658135452	215.37672254337767	175.55395351288516	7.354190806421302	4.553304073281576	3.8662139475565973	2.282541964597527	1938	host	acsB
gene-PA0027	541.66263365963	591.7701202105266	292.524095575621	429.57520442925687	13.288971359295555	8.380155075042444	6.8803697248527875	5.499383157594415	1287	host	gene-PA0027
gene-PA4819	0.0	8.910302950698423	4.197084849563257	14.539468457605617	0.9745245663483407	1.0056186090050934	0.0	0.0	975	host	gene-PA4819
gene-PA1563	134.82868313866283	131.2565873757275	127.5176629222831	99.05785167292211	8.075026505860896	7.406822615901538	1.9296221041371842	3.341693165167144	1059	host	gene-PA1563
gene-PA0532	115.9629920068346	137.08158385689882	112.9984382574723	128.61837481728045	1.8740857045160397	7.735527761577641	1.3435041474564615	5.234989736556221	507	host	gene-PA0532
gene-PA3666	254.27026791174254	235.02538217784246	561.436132774911	534.1674281163803	31.213033212026566	19.893759439013802	7.239345536584238	8.5479542558261	1035	host	dapD
gene-PA3294	60.950898763700124	70.04955149920143	45.53441110375232	38.406143095562	4.137132592988238	3.7947872037928048	1.9772325188981883	0.4280180287750369	2067	host	gene-PA3294
gene-PA5347	683.890796917079	869.4913948073396	624.7569050876604	822.423368479829	21.759422569228217	32.43311925989709	6.932891631149373	38.27003947360311	393	host	gene-PA5347
gene-PA3088	170.2506861413083	273.9316109843096	235.02257223483443	204.33847562040324	18.19002780092764	19.874556968512824	3.8353412317591546	3.985194889540547	888	host	gene-PA3088
gene-PA1664	39.71174396991905	61.61379699951038	58.044790472683346	80.4311021059034	0.0	6.9537457005671355	19.32359156767166	6.274562166510648	141	host	gene-PA1664
gene-PA3738	78.02892836898808	83.9376364920866	82.11687749145503	88.50111235064287	2.1185316659746536	3.2791911163209564	2.278115728295739	0.9863024141337808	897	host	xerD
gene-PA2029	214.64197615741244	376.46029966700837	204.60788641620877	132.3091629642111	19.003229043792643	6.5365209585331066	4.5410440184028396	5.89808843652001	300	host	gene-PA2029
gene-PA4085	22.48737309139994	38.76637829955806	16.43436838684408	26.568105012893792	0.0	1.3125544093439974	0.0	1.1843551077349417	747	host	cupB2
gene-PA3760	33.210889085163615	33.206645041649914	11.326652470648174	23.54255568758205	2.6299447075236952	2.3261640421826	0.5386766332624958	0.6996546188042716	2529	host	gene-PA3760
gene-PA1501	164.47661008230838	144.23766270766603	94.07259145572817	65.17692756857689	2.4269768893732624	3.7566212405362682	3.479727217166927	5.6495099966666755	783	host	gene-PA1501
gene-PA4300	82.88520246353168	44.45381406324322	71.79224084779254	99.48057365730156	8.334749580610808	5.375428419846305	5.2281756790822165	3.880321339815795	912	host	tadC
gene-PA4008	48.03369031655649	18.9271141109607	43.4624595328548	34.74505329942519	1.5525513924667191	0.8010442351143513	0.0	3.6140247772794174	1224	host	gene-PA4008
gene-PA4214	11.888229086536274	138.33670982374144	17.376465937682273	310.0055456167822	1.0086639619847475	14.051438366273398	3.253932815734519	0.9391860567707021	1884	host	phzE1
gene-PA5103	164.2039853301638	113.22965626498484	84.00323782483646	77.6006820904464	1.8575981469983036	6.709039106998791	0.6658422314373665	2.5944670541876875	1023	host	gene-PA5103
gene-PA2972	169.23787261791924	220.06447702070372	530.0722446015772	514.1547783583334	24.61558166294384	22.01418975671772	4.7057450967905075	9.168013113761674	579	host	gene-PA2972
gene-PA5432	6.221506555287317	19.305656393179913	18.187367681440783	50.403490653032804	0.0	8.715361278044142	1.5136813394676132	1.9660294788400032	450	host	gene-PA5432
gene-PA3512	21.619134748102645	26.088724855648536	26.333061314827383	21.89340810218606	2.4457180236541367	1.2618766329214492	0.0	1.1386271112972992	777	host	gene-PA3512
gene-PA5095	82.15017458566	125.75867720909453	120.07505071373755	83.19238113946875	6.6912778323213535	6.904775660422296	0.0	1.0383958515000018	852	host	gene-PA5095
gene-PA0035	180.40056182617496	154.30171466667963	116.62903067094925	115.93739718053547	1.1773995690082182	4.859866883667737	5.064361358813575	2.1925979317918247	807	host	trpA
gene-PA2709	692.0229599188815	510.85736917337624	457.48224860239503	296.60515653515455	20.465015893315154	26.146083834132426	6.28759941009624	2.722194663009235	975	host	cysK
gene-PA1304	113.24233423001037	104.43118224380949	123.64219257119828	127.11406633988535	4.167374790305405	8.600685471754089	3.6514242838034527	3.449174524280707	2052	host	gene-PA1304
gene-PA0803	190.45428230471376	223.26269298235277	204.14392295494753	270.01869992696146	6.463683348228789	20.009758036325838	4.633718386125346	8.024610117714298	441	host	gene-PA0803
gene-PA4870	52.4284260277021	86.7669950255277	91.95860063649832	127.42455502171212	17.79328562152869	7.344405571385512	0.0	0.0	267	host	gene-PA4870
gene-PA2594	46.66129916465488	75.41272028585905	80.99062170641598	56.113261078571675	1.9795030253950672	5.10665699885399	2.8381525115017747	1.843152636412503	960	host	gene-PA2594
gene-PA0495	133.77300784406174	138.3681857531666	83.7984517745565	93.53890116923748	6.485743700953121	5.577236312741558	3.0996887497630303	2.012999466389082	879	host	gene-PA0495
gene-PA1915	150.11193142117654	147.7855479710478	79.30538233186387	73.26088757708256	6.751793264913407	4.433686696679432	3.0801655163585147	4.000641381360471	1548	host	gene-PA1915
gene-PPLUZ19_gp40	0.0	0.0	438.1228472929857	610.2243798018251	14.682406545976654	74.67217651304377	14168.9595315927	12277.593694100344	906	phage	gp40
gene-PA5320	377.45864832946626	407.1912638760032	341.8593304886201	384.5923914592453	22.791300342017642	11.353758488767182	11.831504266310127	8.049500347607953	1209	host	coaC
gene-PA4147	138.6421987959394	52.42750138722981	45.75895223365691	57.368190240073275	2.0237730611067777	5.22086338540983	1.0881095890741628	1.4132799768019193	1878	host	acoR
gene-PA3417	63.74494421400939	23.736462778499895	14.907678427410476	23.239314337976186	2.596069541501727	0.8929673440618998	1.240722409399683	0.8057497864098373	1098	host	gene-PA3417
gene-PA2962	389.21273236868524	338.5352068946241	471.9234031084752	510.6040818524057	10.507314637168129	30.978772315322782	5.380383908060236	9.783559017924187	633	host	tmk
gene-PA5216	257.5012435382806	309.2480144463079	70.72865209449192	68.25472692598191	2.3460776597274866	3.026167110431994	3.363736309928029	1.6383578990333358	1620	host	gene-PA5216
gene-PA1281	18.96800779051011	23.543483406316973	22.17971668468388	30.73383576404439	0.0	2.6571223408671165	0.9229764265046422	0.0	738	host	cobV
gene-PA2037	91.9812057455209	132.80071646232588	78.4260208029274	108.67282378990645	3.251750349724956	8.053208573141404	2.3311314262848253	1.211106455137579	1461	host	gene-PA2037
gene-PA2057	15.42522286434872	18.234386203711846	8.05225841858358	6.69467851058582	1.4957283781025301	0.0	0.2680663529163424	0.34817523238016584	2541	host	gene-PA2057
gene-PPLUZ19_gp44	0.0	0.0	977.2316963162209	818.1163594801966	42.54454263535666	190.2420278976053	6154.131296581759	5119.012575875202	201	phage	gp44
gene-PA2279	47.552916346145096	24.593192857554033	34.752931875364546	60.19525157607421	4.03465584793899	6.245083718343733	2.89238472509735	3.7567442270828084	471	host	arsC
gene-PA4180	207.76198898131005	163.81624494212883	144.37052812822517	72.43202352055353	8.091399227892245	3.5783873860582704	1.2429865013876387	5.381467551569352	1644	host	gene-PA4180
gene-PA2433	145.16848629003738	96.52828196589957	197.02981654894177	136.50945385196383	14.076465958364919	3.6314005325183922	0.0	6.553431596133343	270	host	gene-PA2433
gene-PA4222	345.6993642459648	290.4242222626196	294.16090336939	295.84657557214905	28.642548123977317	31.26162197559312	2.7641137503321627	3.5901407874469617	1725	host	gene-PA4222
gene-PA3526	301.414603299634	257.80845493998027	343.13123808929424	284.693629270818	14.754059816609194	23.34471770904681	7.756441646340254	5.495113450173922	966	host	gene-PA3526
gene-PA1143	47.08938447809208	26.567417054834745	18.771365726257688	8.670325227012523	1.4528462571706913	1.4992020547094282	1.041523857431844	0.0	654	host	gene-PA1143
gene-PA5496	340.83035911574	545.5946371985629	355.8398024629718	468.4237446559027	5.5081823315341	18.47277662194139	10.859018304876356	1.2821931383739154	690	host	nrdJb
gene-PA5428	172.47740945350975	108.31556392213155	112.54559208812364	84.21375294751766	8.36225700496926	9.70770439386105	2.2480415932687325	1.9465638404356467	909	host	gene-PA5428
gene-PA2908	81.37120290294038	52.60396837378724	63.1849967134523	61.80264521489036	4.314992970888429	5.343205143215074	0.0	1.6071085658092668	1101	host	cbiD
gene-PA0435	37.85906625935487	27.41168250552929	44.26945480269561	70.92783294227485	1.9273051768552376	2.651732640378542	0.9211042633677159	0.5981834114117657	1479	host	gene-PA0435
gene-PA1259	22.48737309139994	9.968497277029215	7.04330073721889	6.506474697035214	0.0	1.125046636580569	0.7815910530813837	0.5075807604578321	1743	host	gene-PA1259
gene-PA3303	64.2783202778409	46.7866672793901	41.756711513511995	40.98498123891379	4.0398020926429945	1.6674798363604866	1.1584295965313367	0.0	1176	host	gene-PA3303
gene-PA5354	15.55376638821829	16.088046994316596	3.7890349336334954	10.500727219381831	0.0	0.0	0.0	0.0	1080	host	glcE
gene-PPLUZ19_gp48	0.0	0.0	2495.218127026936	2673.843711471862	123.59823768320419	470.31065433347965	3045.8222074653195	2578.615493283443	246	phage	gp48
gene-PA1831	318.9506525178941	562.0634139786558	506.4836569515154	374.83608555261736	24.05472030859828	31.71729579035052	10.538287806420092	9.954579639696219	711	host	gene-PA1831
gene-PA1023	155.5376638821829	182.96210307262012	147.10370918812396	105.00727219381834	6.2102055698668766	3.204176940457405	0.7420006566017712	0.0	918	host	gene-PA1023
gene-PA3303a	123.51520367114526	156.1486914154258	180.53637036724305	97.28614923839051	0.0	4.806265410686108	0.0	0.0	204	host	gene-PA3303a
gene-PA3368	50.444647745572844	69.56993294839609	79.8769526549764	110.68334096105175	4.28000654139474	7.36094702537512	2.0455153236048824	0.0	666	host	gene-PA3368
gene-PA1542	26.759167979730396	41.517540630494445	29.33446400232384	84.68328402727286	6.811193205660445	2.342839053237673	0.8138071717567813	1.0570050961505395	837	host	gene-PA1542
gene-PA0516	28.495449871544963	17.193332665681858	13.883486779725786	12.023733457307443	2.4177136188031354	0.8316184425614639	0.5777409692624477	0.750392930854963	1179	host	nirF
gene-PA0955	617.2748666922996	553.7515861993612	880.8615381763639	856.1878212417602	39.714167280653385	46.10398795203602	20.641109174558363	16.640374899272754	957	host	gene-PA0955
gene-PA1947	135.14427155320786	98.22838869328332	184.18713845686113	164.6004403664354	7.437663030838608	5.756231763874556	0.8886583206267789	2.308449485917812	1533	host	rbsA
gene-PA3110	402.9839473311103	517.7426032716431	1054.0406269925907	1129.7827876489453	67.66301250441319	59.42291780484642	20.64110917455836	16.08569573596366	660	host	gene-PA3110
gene-PA0542	1213.1937782810269	696.3826056111327	496.90486701079277	594.0411398393152	31.672048406321075	37.35154833447489	9.730808610863228	10.532300779500018	420	host	gene-PA0542
gene-PA5193	378.9273287867946	453.4885729941591	324.99239229420186	402.7627923407193	22.31922874270948	25.22482920239286	16.000322883634166	9.89612153778525	894	host	yrfI
gene-PA2231	87.67258715697157	120.91225298442535	133.84231957636482	147.97475726686298	7.273330531723001	4.776163539637969	1.8960517822141292	4.3096679598789205	1437	host	pslA
gene-PA1870	19.7160419005584	88.3709623631475	19.21200811419801	59.898514420417506	2.2304259441071177	4.603183773614864	6.395836645637803	0.0	426	host	gene-PA1870
gene-PA4977	74.99137365748106	82.7385273993425	90.12490234999673	148.5102849598288	2.2622891718800764	2.9180897136308515	0.4054503587859678	1.5798451169250025	1680	host	aruI
gene-PA2659	679.5334829804109	805.9642960259577	754.8640469724207	623.9267046856003	43.049386183349036	79.32671066180954	11.021951500977766	20.04204808526217	309	host	gene-PA2659
gene-PA0358	82.20125241441792	115.03370389718603	226.16415769667296	249.73232091690474	16.410387775295895	25.400988180828136	4.7057450967905075	3.0560043712538913	579	host	gene-PA0358
gene-PA2692	239.97239570393936	115.8339383590795	194.86465372972265	129.6089759649415	16.28848203753655	9.337887083618723	9.082088036805677	0.0	525	host	gene-PA2692
gene-PA2922	7.178661409946905	2.4750841529717844	0.0	7.269734228802808	0.0	0.0	0.0	0.7561651841692321	1170	host	gene-PA2922
gene-PA5149.1	3867.976114964812	5944.109994742237	1561.481238439488	2089.0920468033332	75.01274622549727	116.10925386868018	44.81293439213329	69.84578411668431	76	host	gene-PA5149.1
gene-PA3314	66.16154359167481	61.23062662016017	40.717987346509204	52.89545427673684	7.090757105892776	6.097500894154017	4.236048524629514	3.301168901037318	804	host	gene-PA3314
gene-PA0710	21.20968143847949	36.563743168901354	31.001194911546783	0.0	0.0	0.0	0.0	0.0	396	host	gloA2
gene-PA4439	338.7880518413695	300.97905290035504	349.3675863083001	288.36072742756795	17.63477082757298	18.925339078158213	6.573894458712351	7.88163265459244	1347	host	trpS
gene-PA0332	173.48431740705016	259.8838360620373	236.0860227879332	224.1501387214199	14.211816592579966	20.95038768760611	5.821851305644666	1.89041296042308	468	host	gene-PA0332
gene-PA4721	462.65864425971364	588.9861272495567	312.1137250416744	284.32053784682165	9.39425164594269	15.233417488106817	5.772513582715474	7.497570046423741	708	host	gene-PA4721
gene-PA2102	176.88597068954135	277.5976736274236	124.81526840204457	117.36106892250284	4.140137046577918	2.136117960304937	1.4840013132035423	1.9274798812156893	459	host	gene-PA2102
gene-PA2936	4.810443212851019	14.927053912252513	7.031198845917828	24.357356952174356	0.0	0.0	0.0	3.0402517714020667	582	host	gene-PA2936
gene-PA5408	1012.3129310298008	343.5752408955748	393.03209820062705	352.39728634535646	21.47257519072615	22.157698164519008	3.8483423884769827	0.0	177	host	gene-PA5408
gene-PA1373	41.917951968247884	18.255939851706778	48.37065872723612	35.74715649151263	2.24624456782419	6.181107289393009	2.1470657297412954	0.6971735740567387	1269	host	fabF2
gene-PA3109	314.5126242037511	378.64685191043475	497.3893371443749	610.898660884479	34.99673857052051	39.72471300765976	13.798752542108074	16.29306197933704	543	host	gene-PA3109
gene-PA0499	147.56137342668637	111.3787868837303	87.43926769923453	80.77482476447565	6.767531710752366	5.586770050028297	3.8812342037631113	3.78082592084616	702	host	gene-PA0499
gene-PA1022	166.12399702599643	174.35736794887623	174.97009484108608	131.12164616872082	7.462000933426431	5.988958993420386	5.349397403877691	3.088004417026183	1146	host	gene-PA1022
gene-PA2932	27.744556260065057	13.044362427824264	3.6866285840758333	10.216923781020162	1.7120026165578957	1.7666272860900287	0.6136545970814647	0.0	1110	host	morB
gene-PA2109	281.72859872999175	12.141922259861582	454.6841920360195	89.15711790041179	11.951716379743802	10.277548676938848	1.4280012636486918	3.709489582716987	477	host	gene-PA2109
gene-PA1364	269.00820158982526	175.19367901284267	24.271398151388944	20.179333446498898	1.1271191603672979	4.6523280843652	0.8080149498937437	1.0494819282064074	843	host	gene-PA1364
gene-PA0163	84.20084059787347	61.69100727143958	30.768103220482523	35.52877630617913	3.5720355345474895	2.4573387062154537	2.560739108121902	1.1086632399473701	798	host	gene-PA0163
