Geneid	5_R1	5_R2	15_R1	15_R2	35_R1	35_R2	gene_length	Entity	Symbol
gene-PA1436	50.51545715539094	47.38833746133463	4.78936809191327	48.4889109386515	0.0	27.29389971415664	3111	host	gene-PA1436
gene-PA0115	370.045238464568	216.96117416072408	98.67366976120651	133.20000170432215	0.0	102.24120651504072	453	host	gene-PA0115
gene-PA0708	49.01476404223664	129.32027880895794	8.71328896721765	23.52421082731303	75.32709490963754	45.14158533266418	855	host	gene-PA0708
gene-PA1549	68.81383129082484	55.47606377477875	18.34941395805688	49.53990211170602	26.43869710498362	22.18164106863671	2436	host	gene-PA1549
gene-PA1367	137.68932372079917	102.74550227951855	8.90067152565244	36.045161751528035	76.94703243457599	64.55732095961652	837	host	gene-PA1367
gene-PA4372	108.21217272705061	115.35611724742726	20.985526949214346	141.64225533346934	90.71079739118325	57.984684258295395	1065	host	gene-PA4372
gene-PA4890	182.93010151477603	312.0108314120889	118.25177884081099	175.591430818158	153.344443208905	49.010864075463964	630	host	desT
gene-PA0380	416.99127618022214	916.8228721530597	222.38394229764452	150.09850938322867	480.6318369234336	115.21210584903841	201	host	gene-PA0380
gene-PA5256	149.0616680857654	174.79265326820533	30.28399214215891	102.20122081988131	0.0	78.44726719395909	492	host	dsbH
gene-PA1428	24.252096791731674	0.0	0.0	93.11666785811408	0.0	0.0	432	host	gene-PA1428
gene-PA3826	210.37963481984102	222.02577988284946	59.83824953390435	80.77590464800258	129.32663885088374	15.500423879288302	498	host	gene-PA3826
gene-PA1651	70.02109148890949	41.054056764748545	12.447555667453788	8.401503866897512	26.902533896299122	32.24398952333156	1197	host	gene-PA1651
gene-PA0451	47.19326943255893	101.45622474126202	5.592989539768086	75.50000096603846	72.52777719340102	52.156831701929555	1332	host	gene-PA0451
gene-PA2559	173.65037260820023	90.50037927698713	27.439639289027962	129.64309558146272	0.0	42.64757509329046	543	host	gene-PA2559
gene-PA2677	72.75629037519502	56.876974476162054	17.2450510809516	23.27916696452852	55.906828253246616	35.73708838835914	1728	host	gene-PA2677
gene-PA4304	133.9971966622297	117.8458176196739	11.910251106268733	24.11654707116624	25.741273440343768	43.193027692405295	1251	host	rcpA
gene-PA0346	202.03399641376467	203.0649006091075	41.046071994331086	166.22479551531111	177.42332272104713	42.53008866052659	363	host	gene-PA0346
gene-PA2662	78.97165186453329	72.02511340699918	0.0	25.267839519287243	0.0	19.395002743431093	1194	host	gene-PA2662
gene-PA1158	92.51130961614201	108.48058708036207	5.481870542289251	74.00000094684563	23.69560932587936	34.08040217168024	1359	host	gene-PA1158
gene-PA0348	105.24745566603553	157.07394595060643	34.01763500900042	64.28876794587603	0.0	49.34655492529591	1095	host	gene-PA0348
gene-PA1480	169.8383921220358	105.80154522617377	15.095971766912042	40.756231524524104	81.56619319622607	70.38794308710251	1974	host	ccmF
gene-PA1946	120.04787911907178	153.56783108563752	54.321910904997544	115.2318764744162	67.08819390389594	72.36760398642726	960	host	rbsB
gene-PA5355	69.84603876018721	73.71255892110602	14.899724133942184	60.33960077205793	0.0	46.31526655131345	1500	host	glcD
gene-PA3550	128.7484585441239	75.48649147066668	0.0	92.6875587896435	0.0	59.28733557515802	651	host	algF
gene-PA0108	247.7646645209344	276.69879474889643	50.33690585791278	113.25000144905768	36.26388859670051	69.54244226923942	888	host	coIII
gene-PA3614	97.0083871669267	140.00486024901429	26.53084781684862	78.79102664917346	22.936134667998616	71.47417677671828	1404	host	gene-PA3614
gene-PA0994	45.73252537869401	73.12753861220835	5.912588942040549	35.91642903098686	38.33611080222625	52.07404308018046	2520	host	cupC3
gene-PA3736	184.65044729704667	282.42359739887365	62.795772212016864	61.64965596123416	98.70446919193886	65.06614713466767	1305	host	hom
gene-PA5340	229.0034057711056	234.96717324578418	40.70962878126279	41.21557429785377	43.99225829763668	52.72685172052988	732	host	gene-PA5340
gene-PA5112	102.55600745313423	101.27090354951882	42.21972320282432	62.173725679606314	33.181177819546676	59.65387242569995	1941	host	estA
