Geneid	0_R1	0_R2	0_R3	0_R4	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	25_R1	25_R2	25_R3	gene_length	Entity	Symbol
gene-PA2194	16.896588921325357	28.409688454475027	16.077832743130188	59.98376780955982	26.790412209025796	5.225186824645736	42.92779444865684	1.987137338676192	0.4229272593435998	1.187528924174409	1.5844096947545359	0.49564865467960584	0.4338380455968551	1395	host	hcnB
gene-PA5386	18.300265174882668	32.82113076107053	20.7739895120046	33.80391096069725	13.340695734843646	6.036551238410603	11.17888548034211	0.8608871389606484	0.6107489925303539	1.714909781804659	4.290084480168046	0.9543545524886822	0.41767016812119595	966	host	cdhA
gene-PA2147	22.132151685679695	16.745710729856057	24.939114169755317	13.414439314333029	3.428496171480475	5.931690958682343	16.13137507854745	1.3014350175837033	0.6463043329405717	1.0369970887156812	1.5565151578750547	0.21640997598687017	0.0	2130	host	katE
gene-PA1818	247.48756221324592	187.09026549025793	180.52115886174838	152.88740248165084	74.26084088571211	49.541997419845885	184.07051205699682	8.969863957628103	7.496835594481632	20.80544358510351	4.837374512700124	3.2691719776739965	3.040327792946046	2256	host	ldcA
gene-PA0166	26.175752426760035	28.167388339724706	35.237355344330894	25.384466719553433	14.6548538221566	14.505742528120999	37.67754617797802	2.7582652611475496	1.118187210204827	2.551034949052702	6.08722434698471	0.6552284987235728	0.5735172457783586	1407	host	gene-PA0166
gene-PA0133	86.65713803400321	127.35617691969318	105.44337160226249	103.37948505198527	29.480321751311347	34.4076844825528	57.74761162572448	3.1706529595053943	3.427645762000417	5.714497845904631	7.072564109244358	2.7617024713357123	2.41730022138117	918	host	gene-PA0133
gene-PA0866	125.61926211130698	82.391099656292	54.904716466748134	64.7223400925612	22.0991116239066	15.067980610606307	84.4034859138496	3.027968788268214	1.9402793927602784	11.674438683744189	5.646343745709545	0.8121093179211302	1.421668014112316	1419	host	aroP2
gene-PA5364	414.38042306846717	388.415184093948	427.4724353482533	397.78555688634435	138.4329869043543	93.0985944869604	280.4883993249475	9.516473334557244	9.364817885465426	29.04711529645876	8.260906859486377	2.552343570609266	4.021289525631979	903	host	gene-PA5364
gene-PA3089a	101.48513720871043	94.67528677453802	121.97997841695877	134.92690210333305	47.730044740218375	27.536734565883027	95.98936332453758	4.77409745616955	3.059173842585372	5.522009497411002	3.683752540304295	1.0243405530045189	0.896598627566834	900	host	gene-PA3089a
gene-PA2107	7.38431752670704	4.966355312530409	26.62672339928763	17.902729160106105	10.766175505312415	2.4358013769025235	22.14382099933796	1.3895020488487657	1.478655455599804	0.6919811400264413	0.6924346880271233	0.0	0.5056007298309214	399	host	gene-PA2107
gene-PA2796	253.500264183886	276.64856525027346	282.3374029131534	270.57533844251276	86.00706113902986	77.8349258164761	280.4883993249475	6.150125545756753	10.216164965962282	30.77743388708513	4.634591264181541	3.741503643279492	3.929896581867616	924	host	tal
gene-PA3313	308.3721767142555	404.96488944258374	363.03565005047255	412.0291803425611	84.80606163663799	85.81125267379515	186.01834816342003	4.812598242106402	8.194215649782247	30.40392133991177	5.618818978886761	3.8870065627403614	2.001336222247397	1008	host	gene-PA3313
gene-PA1222	422.3600061000986	362.7755295132317	349.6501136304267	385.97541987151044	186.2213662662406	85.60642870222703	294.1737141452062	28.84566656201392	6.62330384127477	23.127587273267153	11.213495427092091	2.985448502927678	2.4389340905315433	1158	host	gene-PA1222
gene-EST35_0151	0.0	0.0	0.0	0.0	289.02215283652527	47.81720784177648	53.130643906570626	129.90818693969283	14.029948566416838	23.432881631079898	945.575778911135	2015.890868749576	45.905188035017794	813	phage	gene-EST35_0151
gene-PA1457	1209.9049842618242	833.8189550573868	891.6971315651591	794.1187771171021	316.32497331635216	210.02072214193944	768.9434825600272	12.121159983160764	12.462685398908361	46.89158888802752	5.777748756180691	6.426471150028349	3.835260289021628	789	host	cheZ
gene-PA2659	348.03077119805175	371.9462609792192	481.3491162084812	366.57141552100757	111.21563822963503	138.39135589935503	409.8398456155786	4.9340813045285055	19.72976195287376	42.889394154648556	3.5764587769944622	7.458790434498923	7.8343569399043735	309	host	gene-PA2659
gene-PA1110	138.8220537563005	130.9902407537029	154.4050359708339	182.27546609002547	71.29297821956669	32.80623626613019	138.07445817683774	4.288695142332794	5.255361935725323	13.591443910645927	5.051559390712642	1.2966336113981252	2.553603686108071	711	host	gene-PA1110
gene-PA0887.1	230.5833412035216	172.31093649562027	225.82548598932058	62.11468639028119	85.91408053239307	76.06054560397358	589.0256385823898	2.410483989089815	11.970680253594935	69.62533714126916	33.634262324517486	6.012433680678697	15.787932354981207	115	host	gene-PA0887.1
gene-PA0751	418.67586439357046	368.4432789518586	307.05383341953075	332.2870712895995	219.33748883510754	74.90441228393887	232.65945261924836	27.37339115741445	6.441695539713212	16.757543272490036	11.711352006747761	1.7763130976956973	2.5265423753689684	1038	host	gene-PA0751
gene-PA0501	266.2946546882388	287.5420893013564	215.33939377091102	387.53619191851584	83.70567547724865	66.0817159614401	265.37086536464767	5.4016028030806185	4.565931108336376	12.820585897803321	5.383593575693467	2.675516369787922	2.67641381363234	1206	host	bioF
gene-PA3304.1	21.824760690045252	58.71335613924838	61.20859132033773	68.0303708084032	25.456023861449797	10.798719437601187	87.26305756776144	5.1334381249134955	5.826997795400708	14.316320919213709	13.302439728876623	0.0	1.494331045944723	135	host	gene-PA3304.1
gene-PA1617	158.97532517029367	153.25136348396444	149.3256872010809	122.9685659396497	84.72941395430851	60.01446593918646	164.2067877342993	5.234998951125813	5.069802488354484	11.255894658991252	4.223727058352497	2.210806948930616	2.297937130004925	1668	host	gene-PA1617
gene-PA1218	21.787517071120263	20.289171703409213	42.9743400786379	26.701340078383513	12.70629177384653	8.29253199133197	17.869568102613265	1.7345063971550718	0.6711985515179998	1.8846448796624582	7.857833917031348	0.786609639679238	0.22950476814850698	879	host	gene-PA1218
gene-PA2983	516.5364941618022	810.0781448457619	731.2859326884017	640.1914611451151	187.0927697128371	127.59807637354234	504.74681293616726	15.908815321076258	18.86215677874404	72.0639604221876	7.602083662184572	5.4357694440098285	6.343858213916278	636	host	gene-PA2983
gene-PA1055	243.35573866776122	409.1749376960894	372.5908561408675	331.1212738462103	87.43468372765666	86.00749994549619	309.86107831030336	6.132868556312583	17.98376531987608	56.19744178781108	6.927410750572237	4.759104339180285	4.165613092677767	339	host	gene-PA1055
gene-PA1902	4.721703033904022	9.52680658509439	11.350494269568124	4.906036356375231	4.130484640980436	3.115015222384958	4.7197567194101735	0.0	0.3151621403762403	0.4424687097284457	3.099311031506018	0.0	0.0	624	host	phzD2
gene-PA3486	49.773403551462906	58.78593136315351	83.1714833498144	57.18251192795326	21.59356783055615	15.817654553222999	47.325916573368765	1.9416960027484915	1.2154584400171442	3.754147371540236	5.293402136098571	0.7597086919687408	0.415605049861017	2427	host	gene-PA3486
gene-PA3456	94.46289550576837	111.93634118913958	82.9019306650594	112.69153027040838	56.83883190438218	24.977190760253126	89.92757840952515	6.559828565729154	1.5012303480517093	5.901384195706414	4.499239743883109	0.8210363211104922	0.7186477549199813	1965	host	gene-PA3456
gene-PA0472	45.41568698506527	41.99871573544502	34.11709260217008	57.01967495502003	11.587640919590587	13.108272149689304	30.264644243154258	2.403517272358342	1.894616335209768	22.343391029986716	8.517346913998372	1.7763130976956973	1.9434941348992063	519	host	gene-PA0472
gene-PA4808	156.0074844634898	147.8787887835547	120.81378975199162	190.74613563550153	104.1105240282375	44.55335205065735	290.9543843743858	12.806231569613624	3.773881834441291	12.558941287644071	5.399957082002565	0.9828427480853592	0.7168965572229482	1407	host	selA
gene-PA4979	27.91539158029044	27.308537739185294	45.753930388956775	23.73152470060577	8.880008323761558	7.533990305303154	24.521595634351566	1.6713519476462544	1.8632841787618546	2.6159390383945316	4.521401696755919	0.5955468331421621	0.5212782718411825	1161	host	gene-PA4979
gene-PA1377	209.66483584256954	222.64896288759923	159.1619870609103	208.29523646393116	110.20813701252668	28.210137856654786	121.33486937090424	15.313795754657676	2.5779554853247517	8.789715492133617	12.675833881665062	1.7264166623671664	0.755560641208006	534	host	gene-PA1377
gene-PA1278	530.5674581545484	497.292003506996	400.2680048164943	699.8526652128836	306.95356358795607	144.29323386449863	393.05989292375307	28.410924794779863	10.17212977214348	25.91747752616275	8.997671434651297	1.766104401731929	1.5458597027014378	522	host	cobP
gene-PA4530	417.7650087310901	345.05050716162765	346.5006608859204	451.8435076080512	200.8936211453967	82.19920765935233	561.6745309865241	11.033061044590198	14.676207133938352	34.340855083401756	3.4363363249107235	5.733249363831262	6.021931080672765	201	host	gene-PA4530
gene-PA1040	144.9505943420174	107.4348308873295	196.74190067251413	141.38842125842837	63.83174658029205	40.983091841498485	128.1347607357943	5.844697624148498	1.579607836102602	3.880930369666367	7.489557122606625	1.3884134001567274	0.8101794827411151	498	host	gene-PA1040
gene-PA4231	153.3910067366388	188.3258593145703	141.0602306708592	123.36744391880246	40.825698645721374	44.485290764960865	99.47439738463372	3.4868636320167137	4.122875798632577	9.840058852828829	4.054444619831772	1.4495385184026208	0.8458477618555038	1431	host	pchA
gene-PA3889	39.34752528253351	46.57549886046146	30.26798471884833	46.879902960918876	20.652423204902178	15.57507611192479	52.441741326779706	2.3692791345754594	3.1516214037624026	7.964436775112022	4.280000948270215	0.9849428394274219	1.5086996136941915	936	host	gene-PA3889
gene-PA2681	26.928938593362286	21.30726634085627	34.27116979456698	40.59876967598256	20.323760986157502	12.540448379149765	35.890451096418005	2.6826354072128593	1.0573181483589995	3.8594690035668293	2.079537724365328	0.49564865467960584	0.21691902279842756	930	host	gene-PA2681
gene-PA2855	918.7520225970663	1001.4415180202445	1133.9103092523394	1196.0178093735403	327.95159773117786	193.33191251189223	932.4479941716444	55.14306114826432	18.326847904889327	59.376446208720445	21.290505273264074	10.739054184724793	5.784507274624734	279	host	gene-PA2855
gene-PA2162	6.886453615790979	4.987785108916732	9.76281276260588	10.64121226237159	4.942917254650446	1.5726290443108526	8.119135615123435	0.747588076443713	0.2121479779878899	0.2978430149628372	1.9372485042053336	0.0	0.0725403420361516	2781	host	gene-PA2162
