Geneid	wt-phage-35_R1	wt-phage-35_R3	wt-phage-35_R4	wt-phage-35_R5	wt-phage-60_R1	wt-phage-60_R2	wt-phage-60_R3	wt-phage-60_R4	wt-phage-120_R1	wt-phage-120_R2	wt-phage-120_R3	wt-phage-120_R4	gene_length	Entity	Symbol
gene-R0792_RS21710	123.80915815294513	100.31009169885995	157.30394672028496	120.39279887361134	50.232464179996484	68.44748377157839	114.24851899104787	112.41287418901813	163.36112728089708	137.88645154543033	120.44311380534032	102.56505697561273	1000.0	host	aroE
gene-R0792_RS24955	241.1020448241563	227.62674654741295	265.4504100904809	231.69934877562937	168.63755831855963	256.67806414341896	230.5371901069359	193.05689262896593	250.6108202604671	209.9634603078144	266.9822356018377	222.22429011382758	1000.0	host	gene-R0792_RS24955
gene-R0792_RS22780	8.688361975645273	7.716160899912304	11.797796004021372	9.086248971593308	0.0	8.555935471447299	14.281064873880984	12.218790672719361	20.420140910112135	12.535131958675485	14.051696610623036	19.53620132868814	1000.0	host	gene-R0792_RS22780
gene-R0792_RS12785	69.50689580516219	75.23256877414497	51.12378268409261	27.258746914779927	100.46492835999297	30.801367697210278	40.80304249680281	56.20643709450906	33.414776034728945	50.14052783470194	50.18463075222513	53.724553653892386	1000.0	host	gene-R0792_RS12785
gene-R0792_RS19125	17.376723951290547	9.645201124890379	25.561891342046305	24.9871846718816	3.588033155714035	11.97830966002622	10.200760624200703	17.106306941807105	20.420140910112135	9.401348969006614	20.073852300890053	12.210125830430087	1000.0	host	gene-R0792_RS19125
gene-R0792_RS19870	62.99062432342823	65.58736764925459	58.98898002010686	47.702807100864874	50.232464179996484	65.02510958299948	59.16441162036408	61.09395336359681	74.25505785495322	50.14052783470194	52.19201598231413	39.07240265737628	1000.0	host	rsmD
gene-R0792_RS08550	6.516271481733955	19.290402249780758	19.66299334003562	13.629373457389963	21.52819893428421	15.400683848605139	22.441673373241546	17.106306941807105	42.6966582665981	59.541876803708554	36.13293414160209	43.95645298954831	1000.0	host	gene-R0792_RS08550
gene-R0792_RS29315	6.516271481733955	11.574241349868455	11.797796004021372	6.814686728694982	17.940165778570172	15.400683848605139	16.321216998721123	9.77503253817549	14.851011570990643	12.535131958675485	10.036926150445026	19.53620132868814	1000.0	host	gene-R0792_RS29315
gene-R0792_RS02575	1036.0871655956987	941.3716297893011	1012.6441570118344	806.4045962289061	1011.8253499113578	857.3047342390195	844.6229796838181	823.546491341285	599.6095921787472	852.3889731899329	885.2568864692513	893.7812107874823	1000.0	host	gene-R0792_RS02575
gene-R0792_RS15020	130.3254296346791	133.10377552348723	151.40504871827426	152.19467027418793	107.64099467142104	126.62784497742004	132.60988811460913	114.856632323562	105.81345744330834	87.74592371072839	76.2806387433822	90.35493114518265	1000.0	host	gene-R0792_RS15020
