Geneid	0_R1	0_R2	0_R3	0_R4	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	25_R1	25_R2	25_R3	Entity	Symbol
gene-PA2194	16	20	19	82	87	15	61	20	3	6	16	3	3	host	hcnB
gene-PA5386	12	16	17	32	30	12	11	6	3	6	30	4	2	host	cdhA
gene-PA2147	32	18	45	28	17	26	35	20	7	8	24	2	0	host	katE
gene-PA1818	379	213	345	338	390	230	423	146	86	170	79	32	34	host	ldcA
gene-PA0166	25	20	42	35	48	42	54	28	8	13	62	4	4	host	gene-PA0166
gene-PA0133	54	59	82	93	63	65	54	21	16	19	47	11	11	host	gene-PA0133
gene-PA0866	121	59	66	90	73	44	122	31	14	60	58	5	10	host	aroP2
gene-PA5364	254	177	327	352	291	173	258	62	43	95	54	10	18	host	gene-PA5364
gene-PA3089a	62	43	93	119	100	51	88	31	14	18	24	4	4	host	gene-PA3089a
gene-PA2107	2	1	9	7	10	2	9	4	3	1	2	0	1	host	gene-PA2107
gene-PA2796	159	129	221	245	185	148	264	41	48	103	31	15	18	host	tal
gene-PA3313	211	206	310	407	199	178	191	35	42	111	41	17	10	host	gene-PA3313
gene-PA1222	332	212	343	438	502	204	347	241	39	97	94	15	14	host	gene-PA1222
gene-EST35_0151	0	0	0	0	547	80	44	762	58	69	5565	7111	185	phage	gene-EST35_0151
gene-PA1457	648	332	596	614	581	341	618	69	50	134	33	22	15	host	cheZ
gene-PA2659	73	58	126	111	80	88	129	11	31	48	8	10	12	host	gene-PA2659
gene-PA1110	67	47	93	127	118	48	100	22	19	35	26	4	9	host	gene-PA1110
gene-PA0887.1	18	10	22	7	23	18	69	2	7	29	28	3	9	host	gene-PA0887.1
gene-PA0751	295	193	270	338	530	160	246	205	34	63	88	8	13	host	gene-PA0751
gene-PA0501	218	175	220	458	235	164	326	47	28	56	47	14	16	host	bioF
gene-PA3304.1	2	4	7	9	8	3	12	5	4	7	13	0	1	host	gene-PA3304.1
gene-PA1617	180	129	211	201	329	206	279	63	43	68	51	16	19	host	gene-PA1617
gene-PA1218	13	9	32	23	26	15	16	11	3	6	50	3	1	host	gene-PA1218
gene-PA2983	223	260	394	399	277	167	327	73	61	166	35	15	20	host	gene-PA2983
gene-PA1055	56	70	107	110	69	60	107	15	31	69	17	7	7	host	gene-PA1055
gene-PA1902	2	3	6	3	6	4	3	0	1	1	14	0	0	host	phzD2
gene-PA3486	82	72	171	136	122	79	117	34	15	33	93	8	5	host	gene-PA3486
gene-PA3456	126	111	138	217	260	101	180	93	15	42	64	7	7	host	gene-PA3456
gene-PA0472	16	11	15	29	14	14	16	9	5	42	32	4	5	host	gene-PA0472
gene-PA4808	149	105	144	263	341	129	417	130	27	64	55	6	5	host	selA
gene-PA4979	22	16	45	27	24	18	29	14	11	11	38	3	3	host	gene-PA4979
gene-PA1377	76	60	72	109	137	31	66	59	7	17	49	4	2	host	gene-PA1377
gene-PA1278	188	131	177	358	373	155	209	107	27	49	34	4	4	host	cobP
gene-PA4530	57	35	59	89	94	34	115	16	15	25	5	5	6	host	gene-PA4530
gene-PA1040	49	27	83	69	74	42	65	21	4	7	27	3	2	host	gene-PA1040
gene-PA4231	149	136	171	173	136	131	145	36	30	51	42	9	6	host	pchA
gene-PA3889	25	22	24	43	45	30	50	16	15	27	29	4	7	host	gene-PA3889
gene-PA2681	17	10	27	37	44	24	34	18	5	13	14	2	1	host	gene-PA2681
gene-PA2855	174	141	268	327	213	111	265	111	26	60	43	13	8	host	gene-PA2855
gene-PA2162	13	7	23	29	32	9	23	15	3	3	39	0	1	host	gene-PA2162
gene-PA3830	59	47	68	54	71	53	77	22	13	14	43	6	3	host	gene-PA3830
gene-PA4521	132	93	162	165	215	115	138	58	15	54	48	5	13	host	gene-PA4521
gene-PA0911	16	8	29	21	47	19	21	12	9	11	20	3	3	host	gene-PA0911
gene-PA1024	31	22	25	43	66	24	58	26	10	15	26	1	2	host	gene-PA1024
gene-PA1540	23	13	23	26	39	28	36	12	7	11	8	2	1	host	gene-PA1540
gene-PA0828	32	18	27	37	52	26	37	14	9	5	27	1	2	host	gene-PA0828
gene-PA1405	206	127	194	278	319	180	224	143	24	57	58	12	7	host	gene-PA1405
gene-PA3029	122	82	138	130	98	75	138	27	17	44	22	8	6	host	moaB2
gene-PA1258	4	1	11	2	7	4	5	2	3	1	11	0	0	host	gene-PA1258
gene-PA4666	691	469	797	959	881	422	796	191	105	211	96	28	29	host	hemA
gene-PA2124	11	13	23	26	54	20	29	24	4	8	33	1	5	host	gene-PA2124
gene-PA5144	11	15	29	71	39	10	30	10	1	1	18	0	2	host	gene-PA5144
gene-PA3559	427	214	289	475	395	129	250	104	24	60	57	9	7	host	gene-PA3559
gene-PA1892	10	3	7	6	33	14	29	16	4	16	30	6	3	host	gene-PA1892
gene-EST35_0411	0	0	0	0	169	563	25	561	1526	809	676	1041	1060	phage	gene-EST35_0411
gene-PA2093	5	6	9	5	9	4	15	1	1	2	14	2	2	host	gene-PA2093
gene-PA0848	42	23	49	18	30	16	20	15	6	12	32	3	2	host	gene-PA0848
gene-PA4297	31	21	57	57	42	50	63	14	13	26	59	5	5	host	tadG
gene-PA4176	103	97	138	187	89	91	146	14	23	59	15	3	3	host	ppiC2
gene-PA4847	503	383	738	725	354	257	767	67	100	196	29	24	21	host	accB
gene-PA1113	72	42	95	96	101	56	129	32	27	38	50	10	16	host	gene-PA1113
gene-PA1166	18	10	30	47	21	27	26	3	7	7	17	2	3	host	gene-PA1166
gene-EST35_0027	0	0	0	0	3039	3821	564	6224	5273	5955	1343	1036	2647	phage	gene-EST35_0027
gene-PA0797	88	88	132	97	112	160	278	28	37	53	37	6	6	host	gene-PA0797
