Geneid	0_R1	0_R2	15_R2	15_R3	60_R1	60_R2	60_R3	120_R1	120_R2	120_R3	gene_length	Entity	Symbol
gene-VC_RS11855	47.90763949877268	58.24732058130983	64.82822940678068	67.45286569745696	60.60806498916828	55.32881591963537	47.32281580960218	63.03723984167525	62.43305945274194	62.082170669874884	678	host	rnc
gene-VC_RS08875	70.19850134113989	93.01604042041163	110.59567413373415	111.32740361614572	67.10933061270066	50.860346800419066	54.10538950808261	53.035946909219454	50.86725496388805	52.03857064087736	408	host	ybgC
gene-VC_RS06875	87.03640895309577	95.9443354895321	113.85346860902284	126.07966592121853	80.35051228581663	72.09155020691337	61.349222618522035	67.36576716960872	62.77056621472267	73.30516905535767	639	host	gene-VC_RS06875
gene-VC_RS03725	109.46020373183748	103.28290381772645	109.96874345284714	113.22846185931074	66.05459036461873	58.36272637887878	60.806222146858424	73.63517490481085	77.02862858769423	71.91942383460605	1854	host	secD
gene-VC_RS03860	296.5471717692095	464.7415804095058	332.32507758220953	326.2313817435716	1214.6578393889067	1046.4816194633247	1008.5350139026642	2060.3909199500995	2314.2845912763228	2122.367015785309	594	host	gene-VC_RS03860
gene-VC_RS11865	194.38978130308158	210.5213726398784	195.78510839806188	212.70523302740762	257.6975325711061	234.09612895733534	244.6978794594815	292.9083190131325	266.1665035857362	275.4482815560524	1794	host	lepA
gene-VC_RS09675	80.40449291324381	78.23039911675734	84.59548730923204	83.97008677915476	69.74689412649046	66.65384049380384	65.7523014662552	78.62504652019636	91.3723871042534	67.79640363175788	591	host	gene-VC_RS09675
gene-VC_RS10275	15.358724703834742	20.520306944052326	20.082863949350276	22.80581456504809	20.017284523253867	16.102360858335754	14.597760551163537	24.390142428431815	24.847175803893983	25.521545707402595	1434	host	gene-VC_RS10275
gene-VC_RS02195	1868.8835263225749	2167.2265255314182	2397.0909546666703	2423.3161997692973	1910.5582680792081	1498.9881338173843	1749.4339052920443	1866.0479442921926	1529.1401932807614	8670.076007857722	312	host	rplU
gene-VC_RS15340	77.79672361877537	94.66860966645956	79.3040255127424	81.42804378780943	151.59798865396345	121.08711031227311	156.34591864749387	308.4186326479298	400.29004203265566	337.33952796771075	204	host	gene-VC_RS15340
gene-VC_RS04835	50.81557359220547	41.6828493539506	57.67687401907504	66.05671482014576	39.11836438834752	26.333840553692347	28.57864348898795	50.25714160140226	53.93042327218764	47.104337954674975	855	host	gene-VC_RS04835
gene-VC_RS04765	77.37604592346685	90.50811127287544	85.96817862685059	99.23078557173366	141.93521484967474	119.96926134358446	120.11042969156898	144.16337487987212	152.8220924702258	140.55934445675013	1425	host	miaB
gene-VC_RS01375	7.029183573181748	6.819198507080174	7.259036773929988	6.890758130273696	10.206347742458691	10.07007079109928	8.757247053734213	15.872686291069307	19.154220181617916	16.145019850360004	678	host	gene-VC_RS01375
gene-VC_RS10190	65.322030327135	77.69221650251271	80.34635662572477	83.09361741074189	88.24815110494403	73.978686255155	81.8195608109688	82.0074644926022	79.04341041373206	75.25068156346182	561	host	smrB
gene-VC_RS17250	85.22542101100433	79.605647864117	110.35188148295282	111.84813385750782	91.15566248333383	59.578238819203854	68.79635876022392	106.05829759685847	115.38149297841235	98.08609881156666	291	host	gene-VC_RS17250
gene-VC_RS14360	41.265261093754646	48.31289998584341	42.59547736440342	46.06594573963574	100.23677382038929	91.02761728945075	88.85561409314033	130.3518007573413	167.5061467836702	136.35712322065464	1581	host	gene-VC_RS14360
gene-VC_RS02670	89.61916290936816	86.82204884224046	94.19013795125746	89.8960785189973	114.32913793384165	101.4525654669003	116.95860816250365	120.30704586913568	112.26616843397917	118.13605012756445	507	host	folK
