Geneid	0_R1	0_R2	15_R2	15_R3	60_R1	60_R2	60_R3	120_R1	120_R2	120_R3	gene_length	Entity	Symbol
gene-VC_RS11855	222.91339307143048	242.04257340265718	283.13149625419584	281.4191149946252	151.08514532982883	142.58467017354707	117.63902760393718	126.42435728570493	120.52452927229528	117.6540521376061	678	host	rnc
gene-VC_RS08875	326.6323760928303	386.5215011848316	483.01671946404315	464.4674333159773	167.29164625895032	131.0692385678975	134.49971860236627	106.36626092572025	98.19720535299159	98.62008105201811	408	host	ybgC
gene-VC_RS06875	404.9788602292594	398.68982184127833	497.2448455862208	526.0151312400802	200.29956125803378	185.78293675185148	152.50704696308455	135.10543670482332	121.17607260479424	138.92314152250086	639	host	gene-VC_RS06875
gene-VC_RS09675	374.1206730491935	325.0808265781881	369.4632279392547	350.33037163167575	173.86662381134047	171.7697316424311	163.4525899374249	157.68648814320153	176.39074619692425	128.48329112151364	591	host	gene-VC_RS09675
gene-VC_RS10275	71.46387241787424	85.27066739177295	87.71011287953299	95.1478055864027	49.899536338024355	41.49645666258402	36.28833844848145	48.91565824210981	47.96648112010417	48.36675710419539	1434	host	gene-VC_RS10275
gene-VC_RS15340	361.98676898171504	393.3886344546128	346.35324160272637	339.7247512254005	377.90687017622474	312.04654209880215	388.65780754752734	618.5490910671547	772.7439486589873	639.3037160803975	204	host	gene-VC_RS15340
gene-VC_RS04835	236.44395860079248	173.2100983134805	251.89859093355756	275.5942543274126	97.5151371312538	67.86340729222941	71.0431907477907	100.79322701837845	104.11052950650473	89.26904735816507	855	host	gene-VC_RS04835
gene-VC_RS01375	32.70666593498197	28.336691520311085	31.703194148197095	28.74883127073356	25.442612831010678	25.950993139970734	21.76949977012361	31.833471258990446	36.97645752431584	30.596981174156642	678	host	gene-VC_RS01375
gene-VC_RS10190	303.9422433432476	322.8444472286779	350.90552955369316	346.67366659137457	219.98697264402028	190.64616518966906	203.39393183003597	164.47009763034023	152.59014880414463	142.61014904161652	561	host	smrB
gene-VC_RS17250	396.5523655990367	330.79557435641505	481.95197685695484	466.6399643442711	227.23488229483425	153.53561051976666	171.0197630632576	212.70525394473745	222.7393667690436	185.88633192154626	291	host	gene-VC_RS17250
gene-VC_RS02670	416.9963683737817	360.78281232751107	411.3670068511742	375.0541151472136	285.00224224706034	261.4474997326764	290.7455251501549	241.28183577117568	216.72535708347877	223.8836827234818	507	host	folK
gene-VC_RS08985	192.92060519897544	222.27428936381668	249.29459212183943	273.5678259867699	111.51156264935595	122.32488105158113	101.12546202776822	153.54080405854538	172.91084446010402	154.66258619213448	741	host	gene-VC_RS08985
gene-VC_RS07960	72.39475714077841	78.08152938032995	79.04366650420701	84.4983223500436	48.96801777375951	39.83993228162724	46.05969395056368	52.4269218538882	63.71942480745237	48.24414542638917	1707	host	gene-VC_RS07960
gene-VC_RS06525	635.0449439663819	573.5321116134662	548.7797440261429	556.192448448818	611.4346431778572	730.4734183081652	661.7001120257988	561.0699362024833	507.614551594457	513.3466882042057	477	host	gene-VC_RS06525
gene-VC_RS07440	146.75642632014655	155.3472501029511	167.6536243902637	186.84861317397028	71.35648084900441	59.51344354240947	56.96458670217865	44.5424693125365	41.81816922196124	43.79101790819756	867	host	gene-VC_RS07440
