Geneid	0_R1	0_R2	0_R3	30_R1	30_R2	30_R3	60_R1	60_R2	60_R3	gene_length	Entity	Symbol
gene-VC_RS12620	228.91633571671838	223.8849972384267	224.11605266872712	190.23900894758455	197.77035337446563	228.73979960524034	118.28981119024054	131.82970034122079	139.37215294343548	1020	host	astA
gene-VC_RS03065	231.34533333418943	221.25079657793995	217.5888134912962	234.49434805800456	238.16716941806885	238.4975977395251	103.12445078123534	322.318639031283	126.03242106940938	381	host	gene-VC_RS03065
gene-VC_RS18015	57.25138884911093	64.38727420524431	70.22583928598739	38.90242931761416	43.37364091347512	43.700028962260674	31.59303983471372	29.87434875020469	27.18816222694464	1557	host	gene-VC_RS18015
gene-VC_RS15185	69.87678135430964	55.36259428210761	75.60541535812482	43.02267760878644	53.768509320788986	50.414362498668744	42.029713133528695	35.74391292050593	50.144478307691074	357	host	gene-VC_RS15185
gene-VC_RS01635	379.0174197031904	431.658857489139	414.6768929032303	296.7383486678186	353.25471248809873	295.9374197647258	205.81438842715647	216.60759408278318	197.0001892166762	1068	host	hemE
gene-VC_RS13050	162.70702664439855	195.74655612487186	184.01058264805206	139.32639214807307	151.08506751296073	150.01967909341474	142.18674274382445	145.98828081489137	148.71130132462727	2079	host	recG
gene-VC_RS06950	344.708514855478	334.8193872815831	380.5799869195997	165.1938612205234	219.97985829887085	199.5335633262166	104.06194578833748	107.27366710511954	103.38879709258487	165	host	ccoS
gene-VC_RS13570	102.86602186083522	113.47513779087639	93.7951658813663	72.62906997962672	85.67668738244	73.1623065529461	47.28088537623425	45.5717198851402	54.23568845120666	831	host	gene-VC_RS13570
gene-VPVV882_gp20	233.1020694719421	220.5591957272865	212.20864240447912	2447.8448278339756	2093.0854660412347	2566.677639726306	5070.426377141313	4911.836145165854	4694.34521022788	732	phage	gene-VPVV882_gp20
gene-VPVV882_gp47	515.9204633645926	466.72668037441366	520.2372628213826	2721.852927126095	2097.916885795802	2729.4417831352425	8385.392841191517	6580.615792788008	7791.51589875345	225	phage	gene-VPVV882_gp47
gene-VC_RS01710	6155.509193847822	5173.825445708946	5780.237395320236	6840.936259727458	6223.1939308588535	5626.846485799309	3127.88512726721	2377.127440502151	2196.3281498768692	77	host	gene-VC_RS01710
gene-VC_RS01995	215.2620710532699	222.2676705897222	241.85813112474983	223.37521549331527	159.11136137584376	168.87197644314446	125.70004787043246	127.82983587273594	139.58389636468226	2823	host	uvrA
gene-VC_RS16215	71.09295739620144	68.46875796114237	74.28623690040398	50.09058981029441	48.84314968835029	43.56228939793737	65.33839247971399	56.909191407621556	50.37414767398584	393	host	gene-VC_RS16215
gene-VC_RS00170	482.1026834022504	494.9807146827937	604.4792518440123	515.2917126354474	513.7062053943489	525.2889200823882	340.0789472392424	296.51858074914804	338.39071541122763	267	host	gene-VC_RS00170
gene-VC_RS08745	163.04582316005585	201.94006528804914	175.51257136707545	208.90236768491727	189.9005988284229	215.18325456748855	187.2922010512142	158.73372081902096	165.18181089592355	204	host	gene-VC_RS08745
gene-VC_RS18535	28.931707744678523	34.762898880859055	29.31779336423636	33.027766975862086	39.16770094202331	40.85340475401735	42.811701738560295	44.401452773946104	43.684259022065184	1644	host	gene-VC_RS18535
gene-VC_RS11160	240.08497460318222	281.89899287320156	294.32108121555734	249.7284649228326	267.95658821172736	249.61257529828669	248.71191070768526	272.9076577216854	265.83947691062696	816	host	tcdA
gene-VC_RS04610	83.99330284002875	86.29055688740512	70.24594056812788	43.42894168991935	60.37107489372057	48.774871035297394	67.77307655509216	81.252180026326	81.37081252657141	792	host	gene-VC_RS04610
gene-VC_RS03790	285.31878872428234	309.73013611260507	299.17387635717523	171.44662031434055	206.6378846446494	208.2311801891543	103.84560078669853	98.19026774380352	104.56701700247189	429	host	ndk
gene-VC_RS08725	41.45031200336495	47.04614202645135	54.69327919523923	38.79389778988265	46.67564213379128	44.47556629358426	57.361016695945494	58.387448696502474	53.985331965301455	987	host	gene-VC_RS08725
gene-VC_RS12950	108.30129843015628	143.50631137340062	134.97390613129755	138.00885231263638	146.57502816319473	140.2681307753503	95.78280941767058	106.31542396757189	100.88670536342084	906	host	fieF
