Geneid	0_R1	0_R2	0_R3	30_R1	30_R2	30_R3	60_R1	60_R2	60_R3	gene_length	Entity	Symbol
gene-VC_RS03415	32.60411936169723	37.724490711013345	30.84828839609065	35.45766209508897	31.79686796012187	27.308366551602433	36.188796545934444	34.921325503143876	40.21797368595312	1149	host	gene-VC_RS03415
gene-VC_RS00480	67.41221864388271	70.34690437547712	66.80261831938346	50.76362358858806	55.03913959995951	48.97119963530865	38.080849181507745	46.13346802278562	45.171507101818314	1980	host	gene-VC_RS00480
gene-VC_RS07910	271.61097657348165	290.3311518342747	255.42177592705434	259.90975277357086	318.5311125124094	248.0730842839723	278.32620651778456	268.28031737044216	264.2533165456371	660	host	gene-VC_RS07910
gene-VC_RS03250	694.3517530906323	636.4101001550579	739.3788250519993	715.3396094530824	634.5483381283899	619.8064433289449	385.41385767003925	456.9613131086106	466.8118641811592	456	host	rimP
gene-VC_RS09975	265.0454814264923	273.9021565050142	283.0882700651097	203.88753843375468	240.88748100778037	215.2514735982077	162.29592680014756	159.45658568479786	159.2585186282056	468	host	sixA
gene-VC_RS13170	311.050875557502	305.76051527861136	294.7602394894748	235.03889509905738	217.63842782990525	248.76930190199252	142.9312918625411	163.41100203040148	151.17692948683703	918	host	gspC
gene-VC_RS14405	165.4717201816095	111.58755973392526	112.02184358129982	108.30162236423209	71.40707604097157	81.54930156977046	55.36750234640904	46.80343691216072	56.23090764361278	2757	host	prtV
gene-VC_RS02085	140.36827522861262	140.20661232817946	152.21333608822664	112.28834528264801	108.31084316821945	102.50723999892776	99.7127293743302	113.94106697224639	106.53093562028046	771	host	gene-VC_RS02085
gene-VC_RS09225	449.70304302578637	401.13838968034196	433.785045532417	566.4788361647376	411.6157713296068	331.2914204246071	237.23082202872942	308.824918342781	285.97408379034124	282	host	gene-VC_RS09225
gene-VC_RS12905	2353.024902865478	2681.6340153550655	2891.550347077261	3047.4863563647714	2319.339463255734	2611.275006651075	2318.0681299710304	1430.344658734857	1866.3876674041696	219	host	rpmE
gene-VC_RS08645	43.93706973982792	59.46782903088247	43.825573946458256	57.329052239378775	58.571344919114004	61.60124139040043	44.147651134444025	46.44051273508369	53.41530714790016	360	host	gene-VC_RS08645
gene-VC_RS07145	191.0307379992518	144.59971310246783	173.4490404253812	227.73002964654415	220.49350465675934	200.8736132295666	230.6703612105556	195.21535689233798	213.87726623426147	552	host	gene-VC_RS07145
gene-VC_RS07395	206.76268112860197	261.71027155203177	258.50378830626465	259.2727190657925	238.1059915756644	232.0647516709703	246.40549470387364	197.68261035896592	222.62467274592223	306	host	gene-VC_RS07395
gene-VC_RS18495	235.97780278926714	248.78376286488708	266.4736796931288	130.46251262267128	111.89710134187172	113.93846630477834	38.15085074250317	31.663985955738884	24.562006986613703	528	host	gene-VC_RS18495
gene-VC_RS08210	422.1753529656879	354.66093667041014	304.79324346325023	222.21450818060904	238.21095344102724	246.00168411223737	51.33447806330701	61.05466009927087	46.50348743943603	234	host	gene-VC_RS08210
gene-VC_RS12705	61.39320410781731	64.97086095365724	74.16717326858495	53.23741433101719	51.11457069958605	44.307426494319266	34.34412868660186	31.682666773411892	35.324385052188894	1017	host	pilM
gene-VC_RS13845	330.35390781825504	303.53949458651493	270.00629879296025	337.85537716102306	286.54589244062765	308.6119763559842	242.7818844876402	229.4707688086489	217.12690808605106	357	host	gene-VC_RS13845
gene-VC_RS02005	40.44146443616964	45.484437708375225	58.97394850265679	41.55533837949534	27.8358866942324	33.65055442602774	24.92706748748489	23.092618594697008	26.80876421484659	645	host	gene-VC_RS02005
gene-VC_RS18725	153.35376141878996	132.1507311797388	149.77160815155887	162.22985391047717	214.2630752121836	115.89035334364245	35.66395318082382	113.32373921001285	95.45452684936869	114	host	gene-VC_RS18725
gene-VC_RS08005	102.75398268014372	115.0580645452567	106.54554380446858	105.19213317284003	98.44398952838287	85.44022724337277	131.53464046553788	108.62642809472108	111.27615164106462	1353	host	mgtE
gene-VC_RS16325	109.95175347007581	107.29218883660899	102.31699587208563	142.06152171055436	141.68609565203198	116.00394349639289	226.32957532405547	238.53898167685279	229.6076228911293	1749	host	gene-VC_RS16325
gene-VC_RS10090	276.4863635051581	284.5212463651207	297.48506965078485	227.1843216980279	234.88113863575882	222.88462179621686	157.42573272747484	177.82586793940644	166.53393510761433	1647	host	pgm
gene-VC_RS05895	22.78167601690281	23.2668943125554	23.728980324654444	13.78601433479994	17.345804764951943	11.667638371816484	9.870843259650727	10.523342513479987	9.141533484700323	1011	host	hutG
gene-VC_RS07100	95.80263326729396	103.83271735550906	111.9224540119922	116.46625640467488	85.74447240634086	80.04416624436529	112.20250205265674	87.75447536304776	116.23596738164318	168	host	gene-VC_RS07100
gene-VC_RS14690	66.48372394842382	75.12139778372058	74.61496934132815	85.7542641335791	79.53110484066399	55.46920292372682	75.0766741675865	66.72054183530693	70.76197250905376	672	host	gene-VC_RS14690
gene-VC_RS17030	268.4361468100335	321.1172869211068	273.1716513028329	222.44827054982915	242.56986976402519	205.10565305323078	336.9217988808068	248.76261292900494	283.5295658007192	735	host	gene-VC_RS17030
gene-VC_RS04610	78.48407991803391	71.41478907187906	81.04729428454608	75.80701122562482	53.77387202294895	56.59688522328859	66.26814440899632	56.6113688299574	59.66403229698501	792	host	gene-VC_RS04610
gene-VC_RS18505	235.87269018223407	189.41604802429234	199.31630890718003	143.69489717142991	120.62217567500707	102.23184741385603	28.747307715451928	41.796461461575326	33.953916171533436	360	host	gene-VC_RS18505
gene-VC_RS10875	346.0554347310285	421.3276252906967	329.6982742660228	342.1348786050627	525.6070369910941	278.47770200516436	411.64212056411833	194.60313250915286	201.38520724981234	510	host	gene-VC_RS10875
gene-VC_RS17010	175.29665589545888	179.06862187586069	185.3812333002356	132.8042486764595	134.6491806637824	156.2843236998578	91.56659884565286	90.05626964048123	97.58025747528418	1659	host	gene-VC_RS17010
gene-VC_RS04815	92.83916438833607	83.24200468919824	85.54992174479865	104.12515026670974	99.52352871375372	83.55487529017078	80.85180294970854	98.34461520370667	93.16623339750026	816	host	gene-VC_RS04815
gene-VC_RS14365	28.30196165487737	36.81811415952922	30.64474808768907	59.562651677276655	48.98977571186424	44.014859678755464	104.35456585406588	74.2292048872844	70.57767067326388	1206	host	emrD
gene-VC_RS03955	16.342596146486112	15.098493432785236	16.80132366793888	16.25870968929195	14.016303370770732	11.948816088056018	15.237088895115862	19.60258070475425	16.855516430925846	1698	host	gene-VC_RS03955
gene-VC_RS12160	735.707081195249	640.1741984048093	607.2114746397739	538.823524632661	456.229108173809	602.703347539365	354.38628099302287	308.8644560562885	325.3743770237538	777	host	mlaE
gene-VC_RS14395	14.480688866666004	14.35503150195246	15.190973156634836	13.130424810645653	15.340864072699965	14.32100098940721	12.98942703710516	21.203742671958054	14.763722608677359	939	host	gene-VC_RS14395
gene-VC_RS14520	43.39142901567866	62.3632663994273	60.70958373374239	44.922954986934776	53.75610141091228	44.62150643387838	47.758368355526066	45.82383585504683	49.130358286022606	1068	host	ulaG
gene-VC_RS06610	118.96027785017561	134.12313015257075	127.0592186793658	91.12196711822175	70.62836922417175	82.74793619606028	55.778358253861946	53.813022897912454	51.78991946076632	1206	host	gene-VC_RS06610
gene-VC_RS04240	504.2107487171171	552.7873722551166	596.1125610122606	448.4717302759654	536.9324222637475	505.76238237925753	253.04878010030163	281.12652628938366	264.51903129329486	306	host	gene-VC_RS04240
gene-VC_RS13120	221.2177132113086	212.29033121243182	175.76521652070235	149.6242515025564	150.07902765866265	149.70001752909408	83.86693042631845	100.10397487693835	90.09810844224121	498	host	gene-VC_RS13120
gene-VC_RS07090	572.1846622848573	705.5835499567175	587.8120379968651	555.8302318025507	510.5298687946606	492.0212125363935	557.1380875826522	408.4373976025221	446.7581976724968	339	host	rstR
