Geneid	0_R1	0_R2	0_R3	6_R1	6_R2	6_R3	12_R1	12_R2	12_R3	18_R1	18_R2	18_R3	gene_length	Entity	Symbol
gene-PA3733a	288.99146233535225	205.0327950096739	314.11572233725434	186.65111398431077	211.67142451318625	157.59653288888018	106.69701300939329	108.46926479440634	112.57937260365122	165.1318357716687	134.6423352348484	179.02067321767743	357	host	gene-PA3733a
gene-PA2175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	348	host	gene-PA2175
gene-PA3190	171.85974676561435	92.80991853634404	135.7223394895556	50.66248716866625	21.157669737907938	84.58789593872987	58.433088033202466	26.27996439199394	207.64477769459646	59.44236514744012	34.10001033748331	103.4041748741578	1263	host	gene-PA3190
gene-PA3483	367.4465273570481	212.68186525414689	241.08844100399256	272.7059024541961	329.7813908438952	561.9172258809509	523.0950937426809	419.9883213867685	609.20547416037	457.94363444960476	488.2342872547432	662.1556666748864	801	host	gene-PA3483
gene-PA3519	7.314637643625574	20.82888235976538	15.012901977168392	13.17911341515374	16.248180135832502	13.398315356987993	13.187758517282758	15.988244232701513	7.431014230654972	11.650030210065852	11.11382975233315	7.361713409208964	1038	host	gene-PA3519
gene-PA1737	62.04834703076475	111.7238155322355	84.04590181322243	74.88519106510817	71.37748358135744	38.16518221236879	97.94627241008706	84.46190653746255	40.88069779479058	226.91488911955537	221.22168794289843	58.13273168540893	2145	host	gene-PA1737
gene-PA3070	571.8233438777168	683.2128201554847	519.5398508292403	450.284424867795	414.6238213287013	356.0312698385613	435.6080937284299	395.44012933648827	479.6299276825806	422.1978073528605	461.75980031538876	413.54941849274405	981	host	gene-PA3070
gene-PA1340	154.8827731282279	176.38323860310692	142.95852091122683	150.39402561762597	108.04363216524109	230.5624491843364	111.20502161678286	113.18135449259383	789.4834391957547	83.60072127200843	127.02991118713103	410.16117881638365	669	host	gene-PA1340
gene-PA5359	423.1166864814248	549.5351261265557	434.21216802076503	269.03067936689473	272.35137349691485	226.66151257780137	238.8508277452259	211.5418268584989	294.68294175207456	314.91487911584255	269.0082993605305	230.03593228321267	456	host	gene-PA5359
gene-PA2165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2242190541713166	0.0	0.0	0.0	0.0	1542	host	gene-PA2165
gene-PA2211	0.0	0.0	0.0	0.0	0.22816032171258302	0.0	0.0	0.0	0.4228833756260889	0.0	0.0	0.0	960	host	gene-PA2211
gene-PA0173	14.46208356968256	32.00262771930354	12.804281215709334	17.23123529100193	22.111994607116614	8.428758388214264	5.668278816124018	19.427620105140992	7.346088353733201	5.278573211846504	13.184177466196353	8.60077582197972	1050	host	gene-PA0173
gene-PA0267	126.54323123472243	82.05324897798177	120.18563959290807	109.9541934880093	148.03041672712385	142.23529780111573	119.03385513860438	130.23091104378412	142.08881421036585	113.78924298719112	113.11841152420553	115.49022534033347	1200	host	gene-PA0267
gene-PA1758	151.82564410903467	177.6739815410229	145.59934311916174	162.6479016132502	174.9698185186187	193.7778979669304	167.36404742322125	202.8273711044082	198.21493905998173	145.01807061780943	168.55322329672833	167.80402167078358	1362	host	pabB
gene-PA3099	136.2773259450857	156.95981692979825	124.57312056892034	164.06851613852683	210.609527734692	126.43137582321398	157.18573178559294	175.53247370094795	159.26438515887162	127.90388936397297	168.60534644270336	221.76260736258362	390	host	xcpV
gene-PA4998	384.1919733881515	366.92185069519064	497.99642118283003	669.049143675016	735.4963513566178	640.896375140716	589.6838445806437	791.3382710951362	702.1812806709324	475.22638593456793	610.1816900797864	621.5821236108172	651	host	gene-PA4998
gene-PA1279	175.51952193318783	109.52273492732053	104.45641345589321	125.78371936717389	63.67747160523907	46.99272254792754	143.7198535054172	72.6851927084676	179.14877549250673	207.08039020647826	195.91071787285142	182.8792586273223	1056	host	cobU
gene-PA2419	31.480047158676733	28.305435164770063	38.138502820119406	24.623985104794855	16.403420486120503	23.206933888255133	21.849092352900946	19.29271615010641	33.979703838854014	28.1157483850855	22.586696589176327	18.871576905224902	681	host	gene-PA2419
