Geneid	0_R1	0_R2	10_R1	10_R2	35_R1	35_R2	gene_length	Entity	Symbol
gene-PA3821	20.111317678560557	14.271421036605066	3.864263864353185	2.846887024130202	0.7423724449315726	0.5894119635841796	1863	host	secD
gene-PA1715	12.078460617394684	17.503919041394955	0.0	0.0	0.0	0.2359927977986947	423	host	pscB
gene-PA2803	16.023441706140527	0.9047113580779649	0.0	0.0	0.0	0.0	744	host	gene-PA2803
gene-PA5220	14.502969135484857	2.8660199226703416	0.0	0.0	0.0	0.0	822	host	gene-PA5220
gene-PA3642	25.293014065138376	7.219775788226136	0.0	0.0	0.0	0.0	606	host	rnhB
gene-PA0413	21.80765331850678	5.534360463001801	0.1455544597511117	0.14297750440637733	0.013315616899731576	0.013455311156334797	7419	host	chpA
gene-PA0975	49.27100349963643	33.86693083823929	0.45277506787987315	0.0	0.3727870255815417	0.0	795	host	gene-PA0975
gene-PA0615	23.103567111179366	1.9567013093314125	2.0927684823517394	3.4261954302032076	1.5316056089784273	1.9345921214892996	516	host	gene-PA0615
gene-PA1578a	6.678678223735884	14.517956381392283	1.4115928586843105	0.0	0.0	0.0	255	host	gene-PA1578a
gene-PA2402	9.36960197407607	0.7406336088653788	0.30287574929051714	0.27462785894910374	0.10869938836536218	0.06461162036818632	15450	host	gene-PA2402
gene-PA2496	9.901528761934014	2.60893507910855	0.0	0.0	0.0	0.0	516	host	gene-PA2496
gene-PA1420	12.164735336090361	1.6026315485952523	1.7140770426880914	0.8418651628499311	0.23521086137882993	0.23767846064011394	420	host	gene-PA1420
gene-PA5016	35.221496471891804	17.810266662308553	1.313708682352187	1.075375208019985	0.3004518302284324	0.24288309846435005	1644	host	aceF
gene-PHIKZ060	10.137279446741966	2.003289435744065	5432.55292716957	5447.9199350926165	790.8965213863156	792.3605681589798	336	phage	gene-PHIKZ060
gene-PA2021	7.569168653567336	4.487368336066706	0.0	0.0	0.0	0.0	225	host	gene-PA2021
gene-PA5553	91.94940793946235	50.561896744413595	5.069805337528158	2.4900237211054304	0.2318980323453253	0.0	426	host	atpC
gene-PA0768	37.84584326783668	19.28781126905865	10.104033093740329	6.616764788715248	0.8087952426359766	1.0507889838826092	855	host	lepB
gene-PA4166	7.42075358192876	0.7332301202723376	0.0	0.0	0.0	0.0	459	host	gene-PA4166
gene-PA2032	7.17079135601116	2.8341273701473932	0.0	0.24812867957682178	0.2079759195349654	0.07005259892550726	1425	host	gene-PA2032
gene-PA2393	8.85036423858096	0.7495604124833029	0.0	0.0	0.07333968951678439	0.07410909685883287	1347	host	gene-PA2393
gene-PA3366.1	153.27566523473854	319.72499394475284	3.599561789644992	3.535833683969711	0.0	0.0	100	host	amiL
