Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	gene_length	Entity	Symbol
gene-b3655	246.23506857314956	216.75322733223678	147.1923048255783	53.28730105626499	17.232264117617902	9.738814564403928	19.075546410240488	7.9122273001285235	5.153887962485386	5.422017295615925	26.955989686406237	3.9746573840080215	1710.0	host	yicH
gene-b1310	0.0	7.962705567116201	3.2228920019122183	5.273472191277705	0.0	3.8773279101575318	0.0	2.737800547412785	0.272641869013148	1.9661457822961725	0.0	1.7521691484026083	1293.0	host	ycjN
gene-b1151	0.0	18.93630110037663	3.5166239312004204	9.808112116401139	1.0191316193237399	4.764778730551716	6.881684464453847	3.924024148678633	0.7437256047130809	2.7763208202132996	3.7402419964098232	1.865229769586969	474.0	host	beeE
gene-b3439	210.50822598399057	159.68621660685253	131.72181880229164	58.33571970841114	48.58446426603691	11.161300082450953	32.80665093830153	7.974084111921332	4.5585250426810395	5.199618087856374	38.20850660125552	6.192643232863634	696.0	host	yhhW
gene-b2964	54.60386674129441	90.51833724087098	52.380071490744214	27.664962347607453	15.756407231453906	6.456425762351095	12.326262984660174	5.560821657150481	9.815757981058086	3.569039023598134	25.38722729782706	2.989264415937112	1257.0	host	nupG
gene-T4p066	0.0	0.0	893.4222867028159	7861.347496899665	7009.981033107057	3697.7098658577565	432.4513078230656	914.6529176849087	731.7583836190613	983.3567731594337	181.31673132595802	1007.6108987962242	264.0	phage	55.1
gene-b3221	119.22070060959044	87.99810511351492	109.33297241583759	25.861355061671198	27.01027543343176	6.991945421124381	12.276037125299926	5.935443811154277	4.548721763019359	4.180764636890115	15.250535107941989	2.49549692560063	465.0	host	nanQ
gene-b2207	24.998929375658168	45.999009491155526	28.41272289867612	14.088015585376178	1.82980449833126	4.042445891030014	6.1778758260437945	3.9772458838329983	0.0	1.699349262372293	6.7154344935540005	1.674467634061029	264.0	host	napD
gene-b3126	13.695911502306112	17.462658991397902	17.29576906240207	11.73818574843795	5.012382750292635	3.8950288523832763	7.403835620317077	4.241216511142427	0.0	3.1809349616805362	2.299448386897868	1.2183869555230056	771.0	host	garL
gene-b3380	7.5302398510540005	18.07296046341138	12.226501785249383	14.600098303475429	3.1495901389369365	7.241326852277793	1.3292251166059998	6.381375023393384	1.723843210924207	3.3150467762137903	1.4448856612047727	3.15242072916135	1227.0	host	yhfW
gene-b1796	28.851223410595658	23.081470193708835	18.21726495507103	8.806934333153198	5.2794359296115045	4.475510052440398	4.456172726982409	3.606533035644349	3.852742476874321	2.2880855641996343	0.0	2.4156254393011567	183.0	host	yoaG
gene-b4539	155.287467180559	272.27648993946383	294.1552488333528	63.688879869888865	73.88104750909275	5.742374573523347	25.583674009028417	3.176449149575531	6.912273267333341	1.6420378754844434	20.857349485861835	1.7335664917337712	255.0	host	yoeB
gene-b1110	39.10943617880744	100.22006415705867	35.49836490550646	26.28719352560192	16.99685067338815	6.342566266236239	12.081179393152308	3.777752280770899	5.222606468651857	2.9354685035942127	22.981709155718136	3.786157372571327	540.0	host	ycfJ
gene-b3505	296.0117875918913	529.8723821667	213.24506401153863	112.79028991594753	48.750020762880546	11.232945441599083	26.60076196657389	7.736950839463337	10.421256026897055	5.823172762885526	36.144234583042945	3.8302807042129965	981.0	host	insH11
gene-b0527	30.3435280697644	81.9292702781001	57.47861184099997	29.33114049461079	12.95585713760984	7.274457561725221	9.373328839514722	6.03444203064317	2.026011130080462	4.239908964202442	6.792623395778759	3.281571627671327	522.0	host	ybcI
gene-b1381	70.49698083935604	77.8983225948047	43.250478190206984	19.394501455867875	7.685178892991292	3.177550491088709	8.649026156461312	2.92043483470023	2.9377161386166692	2.1185220804241256	10.073151740331001	1.4860900252291631	2640.0	host	ydbH
gene-b0759	408.83204855058676	345.5028846787268	278.6327987965879	93.620889412199	71.72401821187547	8.39493187989714	47.30904319884865	4.808227135078006	14.55859325332155	3.4408062940777056	59.27014750652971	2.934022934018441	1017.0	host	galE
gene-b0506	837.9052916617663	347.1395837750056	485.15188609667564	77.3321561397267	121.3590924628527	11.010273281861503	65.9579095545264	6.617602394949023	15.552614851500016	3.5186525903238075	76.04242000053796	3.8598941417509756	816.0	host	allR
gene-b2299	906.7015003608882	1043.822826954235	434.37105651849606	217.69746072518313	83.62509839887393	12.295102034236475	73.58839934226751	7.569009688317384	22.07344722938492	4.902137540662909	78.3591030408069	4.172292281555381	543.0	host	yfcD
gene-b3521	54.264342698095334	65.70525181809114	20.372974641421102	19.491552229900467	3.757198569906854	6.535600891730385	3.624353817945693	6.466623021790185	1.5667819405955572	4.752135803931764	11.819164708655041	3.376843062023075	900.0	host	rcdB
gene-b4139	158.90759950522755	177.46590718090903	120.63708650832005	63.58332211587735	34.624943575938495	17.91025111578555	18.72708914283004	5.073034654332528	13.983283499052206	4.474834800846734	33.310798239424436	4.037599409896636	1437.0	host	aspA
gene-b3686	107.68769577206596	54.76805143428552	89.36651304882747	26.008644157617564	22.52067074869243	10.471308855476675	22.810618434623244	6.923030197792824	4.93043268019581	5.298483853960792	16.530300291825235	2.962519660261821	429.0	host	ibpB
gene-b4212	135.11232380670685	60.97506496054578	63.43768052267845	19.686245400667396	13.946856333737479	7.230655825596259	10.701832139603423	7.795222978617116	4.626324627742787	5.573508761838367	13.959643356679184	3.6258157430455356	381.0	host	ytfH
gene-b4039	559.2531574062903	392.8108186091239	286.18116076256916	81.03154988504325	64.99112844675366	12.808063361100421	65.50037020383782	10.060173065199612	16.281318358598412	5.76550303956672	60.51981929130593	4.216430548418736	498.0	host	ubiC
gene-b0849	1534.8179895752924	109.4860145016988	48.455806493866255	30.993634287827597	13.106506639209956	6.926159320055751	6.3215473568820215	3.488348549275454	1.3663795993565906	2.5503412185680308	0.0	2.355937020016099	258.0	host	grxA
gene-b3747	173.73252748772006	110.73918845745699	154.73709763402428	39.40121726478243	37.99414284175471	12.601916504972136	32.723900844212714	8.796088305524536	7.921931160314616	6.096926920151765	32.2513322708083	3.5773939340854413	1869.0	host	kup
gene-b0498	42.9249909279594	10.016044484465114	36.138314219815705	8.567346063301938	10.47302737256266	5.448015562726781	2.2099718402107884	3.983712950310776	3.821419367306237	2.026324323695959	9.609076998906538	2.695484484098242	369.0	host	ybbC
gene-T4p143	2.233406888383674	0.0	14.102197490600672	195.9259182729677	3.269498392957378	160.16694596838457	60.712525884369484	1171.8702633396429	1402.9458594977477	3623.590003573811	2111.8507499728807	5887.113707437461	591.0	phage	53
gene-b1250	77.89140100205073	115.78698041251965	33.231254852252775	21.898213699374203	8.089661992622412	4.235414544334996	3.2515135926546286	2.631561186295518	3.0923327774912317	1.8841907610864725	7.0688784142673695	1.1897533189380998	1254.0	host	kch
gene-b3622	283.8926036908077	283.27009074636237	95.25027105079997	58.83870890197112	18.785992849534267	7.48501609058935	2.5888241556754945	4.071401092511494	6.434997256017467	3.0383285859303983	1.4070434176970286	3.771539004337461	1260.0	host	waaL
gene-b0119	963.5950959344603	299.6299116261831	583.1783124253524	94.43239537833973	208.93040453673296	12.306812014975096	193.19902583264232	6.859457836013276	29.134374928429786	4.037241883939024	156.28647548634768	4.41450558070635	363.0	host	yacL
gene-b1586	125.0926818954503	201.01527932793115	38.13123595987907	48.212320003287374	12.629238890443206	7.542949651662024	5.329932085214254	3.8235036059705467	1.1520455445555569	2.932210491936506	17.38112457155153	2.708697643334018	306.0	host	ynfD
