Geneid	0_R1	0_R2	2.5_R1	2.5_R2	5_R1	5_R2	10_R1	10_R2	20_R1	20_R2	30_R1	30_R2	gene_length	Entity	Symbol
gene-b1217	304.3773981008623	336.0037062098873	306.4966122674269	243.14535793974076	272.58463767281694	317.73367152130027	79.66519845627312	67.50058517391221	12.448633742139055	6.304020071012766	25.5740835347971	28.48077227436697	231.0	host	chaB
gene-b0334	5.258679852009962	7.741778183832827	10.100456540631114	5.76716675443848	3.114666251660766	5.698198902489436	2.9350336273363786	2.038999264459374	1.0169952627177485	0.9226793013027778	0.5457883681206699	1.8555654663602723	1452.0	host	prpD
gene-b3462	872.5845662179956	766.4130644649235	909.403522413688	939.2436546363472	890.5705689244131	989.7088834503144	372.4250035004279	329.4244949512862	61.61077697285673	59.84425897667598	56.19300977614059	57.98351749153465	1059.0	host	ftsX
gene-b4167	367.16744774855016	344.3240866787508	367.3108464133831	391.2001475999473	287.43150533140636	345.68930851174025	108.61899641010751	101.68389225951854	24.726760584866344	21.072042283881434	32.29882482351313	28.940733066911655	1548.0	host	nnr
gene-b4437	1497.17708727813	1775.1116692014334	980.4511115216477	985.1677796993731	1573.1530935565786	680.9780189340339	944.3470695954798	399.1041207346215	96.29260641139695	115.64168583207831	161.56940956278066	137.2940757579043	136.0	host	sibB
gene-b3502	34.404607194574474	35.68591086642942	35.67478010229004	28.97387939728446	25.889061308974213	30.206866259978504	15.767273672434962	9.562748488355977	3.5546287297635275	2.8447257083239936	3.462582949379506	4.1771799335738224	1290.0	host	arsB
gene-b4611	4529.220615593996	4615.006077153346	4236.570707553472	3477.789103064759	4102.135248293062	2835.7730183276053	2457.7237836908002	1553.6438089890485	330.3093561174329	389.9456681926131	423.2588794775795	429.9014348303059	144.0	host	sibE
gene-b3200	954.4503931398078	1123.8184026887648	1459.456673163381	1189.5821275546457	1250.6376850299605	1559.28653421851	487.40493914605406	495.7369946464763	87.12144307461702	82.98937390259063	97.34986505791045	97.35524200022859	558.0	host	lptA
gene-b4321	9.35039447644405	13.143248421787618	19.566524801000917	15.348550719946136	15.789389837574253	13.900848129056888	6.630031318893783	5.507118549097862	1.8215589491770197	1.7769456575167235	1.2865011534272934	3.216801511345912	1344.0	host	gntP
gene-b3632	336.13252975793233	410.2586781854367	570.8684485976158	324.8140074413558	560.6482588541263	563.1898400252336	190.15614967600794	180.21207412143542	25.230791396523436	24.537804269453982	24.01468819730948	26.09223987493214	1035.0	host	waaQ
