Geneid	wt-phage-35_R1	wt-phage-35_R3	wt-phage-35_R4	wt-phage-35_R5	wt-phage-60_R1	wt-phage-60_R2	wt-phage-60_R3	wt-phage-60_R4	wt-phage-120_R1	wt-phage-120_R2	wt-phage-120_R3	wt-phage-120_R4	Entity	Symbol	is_outlier	outlier_info
gene-R0792_RS21710	57	52	80	53	14	40	56	46	88	44	60	42	host	aroE	False	
gene-R0792_RS24955	111	118	135	102	47	150	113	79	135	67	133	91	host	gene-R0792_RS24955	False	
gene-R0792_RS22780	4	4	6	4	0	5	7	5	11	4	7	8	host	gene-R0792_RS22780	False	
gene-R0792_RS12785	32	39	26	12	28	18	20	23	18	16	25	22	host	gene-R0792_RS12785	False	
gene-R0792_RS19125	8	5	13	11	1	7	5	7	11	3	10	5	host	gene-R0792_RS19125	False	
gene-R0792_RS19870	29	34	30	21	14	38	29	25	40	16	26	16	host	rsmD	False	
gene-R0792_RS08550	3	10	10	6	6	9	11	7	23	19	18	18	host	gene-R0792_RS08550	False	
gene-R0792_RS29315	3	6	6	3	5	9	8	4	8	4	5	8	host	gene-R0792_RS29315	False	
gene-R0792_RS02575	477	488	515	355	282	501	414	337	323	272	441	366	host	gene-R0792_RS02575	False	
gene-R0792_RS15020	60	69	77	67	30	74	65	47	57	28	38	37	host	gene-R0792_RS15020	False	
gene-R0792_RS09840	70	119	81	69	74	97	61	69	67	53	67	73	host	gene-R0792_RS09840	False	
gene-R0792_RS28835	7	5	4	6	3	8	5	1	4	4	9	5	host	gene-R0792_RS28835	False	
gene-R0792_RS01760	321	332	292	221	323	431	324	262	314	224	297	302	host	gene-R0792_RS01760	False	
gene-R0792_RS23100	52	61	54	54	30	58	58	47	64	26	40	41	host	sphR	False	
gene-R0792_RS07545	35	41	31	28	16	39	38	26	28	13	37	27	host	gene-R0792_RS07545	False	
gene-R0792_RS26425	32	27	33	15	12	50	40	32	21	10	36	27	host	gene-R0792_RS26425	False	
gene-R0792_RS07975	10	14	12	7	5	16	15	13	9	11	15	7	host	pvdN	False	
gene-R0792_RS05585	2	3	5	4	3	3	2	2	1	4	5	5	host	gene-R0792_RS05585	False	
gene-R0792_RS20785	18	18	17	9	12	35	39	16	41	10	32	13	host	mdcE	False	
gene-R0792_RS07440	31	39	28	46	45	51	49	46	64	37	50	41	host	gene-R0792_RS07440	False	
gene-R0792_RS00460	46	65	74	69	21	58	57	31	65	41	66	35	host	gene-R0792_RS00460	False	
gene-R0792_RS02165	4	6	3	3	1	13	9	6	10	3	3	1	host	gene-R0792_RS02165	False	
gene-R0792_RS12790	32	37	29	15	31	36	24	35	28	20	26	30	host	gene-R0792_RS12790	False	
gene-R0792_RS03430	9	10	17	9	9	21	16	8	16	8	13	9	host	uraD	False	
gene-R0792_RS15095	172	174	180	138	75	196	165	124	190	77	156	150	host	gene-R0792_RS15095	False	
gene-R0792_RS21515	62	58	63	68	36	79	71	60	117	54	92	76	host	gene-R0792_RS21515	False	
gene-R0792_RS15790	87	148	159	117	49	136	112	94	118	60	81	72	host	gene-R0792_RS15790	False	
gene-R0792_RS12915	28	27	35	35	13	44	37	22	44	10	36	19	host	gene-R0792_RS12915	False	
gene-R0792_RS18430	111	125	125	106	45	128	126	75	141	57	156	91	host	gene-R0792_RS18430	False	
gene-R0792_RS04515	59	91	56	53	54	67	57	49	60	27	37	32	host	pscG	False	
gene-R0792_RS19965	213	228	306	193	125	337	332	234	413	179	366	231	host	ilvD	False	
gene-R0792_RS04210	87	100	61	61	70	99	94	57	98	45	88	68	host	tssF	False	
gene-R0792_RS15435	16	21	19	14	7	15	15	6	22	4	11	9	host	gene-R0792_RS15435	False	
gene-R0792_RS00090	25	24	33	17	10	24	19	8	21	7	17	11	host	gene-R0792_RS00090	False	
gene-R0792_RS08105	10	12	11	10	2	6	8	9	10	6	4	10	host	gene-R0792_RS08105	False	
gene-R0792_RS30030	353	315	210	265	226	187	161	189	108	118	113	105	host	gene-R0792_RS30030	False	
gene-R0792_RS07985	119	132	108	107	97	136	123	102	117	74	132	77	host	pvdF	False	
gene-R0792_RS14805	143	156	149	127	81	159	146	137	151	99	157	104	host	surE	False	
gene-R0792_RS01415	5	8	13	4	2	4	3	6	14	3	6	5	host	gene-R0792_RS01415	False	
gene-R0792_RS10970	7	5	7	3	4	3	3	4	2	1	2	6	host	gene-R0792_RS10970	False	
gene-R0792_RS28630	21	18	17	19	21	27	19	20	36	18	27	30	host	gene-R0792_RS28630	False	
gene-R0792_RS27470	13	10	6	11	6	12	16	10	7	4	9	14	host	gene-R0792_RS27470	False	
gene-R0792_RS02590	17	34	33	25	14	38	23	22	23	8	5	10	host	gene-R0792_RS02590	False	
gene-R0792_RS04020	4	4	5	5	4	5	5	4	5	2	6	2	host	gene-R0792_RS04020	False	
gene-R0792_RS14630	15	10	5	13	6	15	12	9	18	10	9	5	host	gene-R0792_RS14630	False	
gene-R0792_RS11690	53	49	56	50	40	44	60	38	56	20	42	30	host	gene-R0792_RS11690	False	
gene-R0792_RS24875	24	24	24	13	12	22	22	17	19	13	25	31	host	gene-R0792_RS24875	False	
gene-R0792_RS02875	29	50	42	38	13	50	48	23	67	16	30	29	host	gene-R0792_RS02875	False	
gene-R0792_RS21075	15	18	21	22	8	23	19	16	19	9	24	20	host	gene-R0792_RS21075	False	
gene-R0792_RS08350	28	29	24	18	14	20	9	15	5	12	22	25	host	gene-R0792_RS08350	False	
gene-R0792_RS16010	293	285	286	248	161	329	293	249	221	145	227	195	host	gene-R0792_RS16010	False	
gene-R0792_RS16035	24	33	44	28	9	49	32	22	36	5	31	19	host	gene-R0792_RS16035	False	
gene-R0792_RS14390	4	6	8	8	2	4	5	0	3	0	2	4	host	algK	False	
gene-R0792_RS14445	334	379	356	326	158	306	283	272	165	95	158	157	host	arnA	False	
gene-R0792_RS23725	137	136	155	122	64	157	123	86	171	100	165	129	host	argA	False	
gene-R0792_RS21450	58	70	70	54	27	69	55	31	61	27	41	35	host	ppkA	False	
gene-R0792_RS09780	8	9	9	9	3	13	10	10	21	11	10	5	host	gene-R0792_RS09780	False	
gene-R0792_RS07190	372	374	282	246	311	385	313	330	284	221	373	322	host	gene-R0792_RS07190	False	
gene-R0792_RS30190	30	38	28	22	21	24	15	21	25	12	15	13	host	gene-R0792_RS30190	False	
gene-R0792_RS07355	99	129	159	106	62	154	117	118	109	55	80	85	host	gene-R0792_RS07355	False	
gene-R0792_RS10935	70	70	83	74	39	90	87	59	109	55	86	69	host	atuR	False	
gene-R0792_RS28875	133	143	149	134	97	195	138	144	117	83	120	113	host	gene-R0792_RS28875	False	
gene-R0792_RS08620	8	11	12	19	5	10	11	7	13	3	13	5	host	gene-R0792_RS08620	False	
gene-R0792_RS04350	94	129	132	100	77	143	95	90	142	90	149	138	host	speE	False	
gene-R0792_RS25185	14	16	25	24	4	18	15	11	19	10	13	18	host	choE	False	
gene-R0792_RS10270	40	34	48	32	22	42	39	44	38	24	55	42	host	gene-R0792_RS10270	False	
gene-R0792_RS22125	117	147	144	119	78	186	133	112	147	71	135	100	host	gene-R0792_RS22125	False	
gene-R0792_RS12715	68	49	58	54	26	85	73	45	89	33	66	70	host	gene-R0792_RS12715	False	
gene-R0792_RS06735	14	14	8	12	3	13	8	9	7	5	15	3	host	gene-R0792_RS06735	False	
gene-R0792_RS28265	486	534	543	493	261	583	459	419	484	262	437	344	host	mlaD	False	
gene-R0792_RS08540	41	49	54	36	26	53	59	48	57	34	56	56	host	mexF	False	
gene-R0792_RS10645	174	179	169	171	103	192	195	166	189	143	218	164	host	gene-R0792_RS10645	False	
gene-R0792_RS07320	16	19	8	8	6	10	9	11	10	6	15	16	host	ptxR	False	
gene-R0792_RS08500	39	39	46	37	38	71	64	51	96	57	83	65	host	ptrC	False	
gene-R0792_RS22925	116	124	104	96	49	119	106	88	104	43	74	68	host	gene-R0792_RS22925	False	
gene-R0792_RS02170	3	5	3	3	1	5	2	1	0	1	2	1	host	gene-R0792_RS02170	False	
gene-R0792_RS25455	74	96	131	116	26	104	93	64	99	45	59	40	host	ureC	False	
gene-R0792_RS10430	263	312	276	238	183	401	351	249	417	214	354	318	host	tal	False	
gene-R0792_RS07695	9	9	8	7	5	4	5	10	13	3	12	3	host	gene-R0792_RS07695	False	
gene-R0792_RS03940	112	134	138	102	57	145	113	88	132	79	123	94	host	gene-R0792_RS03940	False	
gene-R0792_RS26860	90	116	117	92	40	125	97	78	132	64	119	67	host	radA	False	
gene-R0792_RS07065	17	27	18	23	9	20	19	14	17	17	13	17	host	gene-R0792_RS07065	False	
gene-R0792_RS07820	157	144	156	125	39	180	99	100	86	50	67	56	host	gene-R0792_RS07820	False	
